#SHEET_NAME,聊斋
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_9,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_9,,,,,,,,,,,,,,,
,SetChapterName,聊斋,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,二十四桥记偏,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,,2
,,,,,,,,,,默认1,,,,雨后，二十四桥静卧河水之上，两岸垂柳蘸水低垂。,雨後，二十四橋靜臥河水之上，兩岸垂柳蘸水低垂。,"After the rain, the Twenty-Four Bridges rested quietly over the river, with weeping willows on both banks dipping their branches toward the water.",雨上がりの川面には、二十四橋が静かに横たわり、両岸の柳が水面に浸るように低く垂れ下がっている。,"После дождя двадцать четыре моста тихо лежали над рекой, а ивы на обоих берегах склонялись к воде."
,,,,,,,,,,默认2,,,,柳丝将坠未坠，时而被风掠起，时而跌进河面，揉碎河中的倒影。,柳絲將墜未墜，時而被風掠起，時而跌進河面，揉碎河中的倒影。,"The willow strands seemed about to fall but never did, now swept up by the wind, now dropping onto the river’s surface, rippling the reflections within.",柳の枝は今にも落ちそうになりながら、時折風に揺られ、時には川面に落ち、水面に映る影を揺らめかせる。,"Ивовые ветви, словно готовые упасть, то поднимались под порывами ветра, то опускались на поверхность реки, размывая отражение в воде."
,,,,,,,,,,默认3,,,,在旁人眼中，此时河中的倒影大概仅有我一人。,在旁人眼中，此時河中的倒影大概僅有我一人。,"To others, the reflection in the water likely showed only me.",他人の目には、この時、川面に映る影は私一人しか見えないだろう。,"В глазах посторонних в это время в реке, наверное, был только я."
,,,,,,,,,,默认4,,,,但是，在我的眼中，始终有一抹紫白色的身影立于对面。,但是，在我的眼中，始終有一抹紫白色的身影立於對面。,"But in my eyes, there was always a purple-and-white figure standing opposite me.",しかし、私の目には、対岸に紫がかった白い人影がずっと立っている。,Но в моих глазах на противоположном берегу всегда стояла фигура в пурпурно-белом.
,,苏怜烟,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认5,,,,她的青丝如柳，随风起伏。,她的青絲如柳，隨風起伏。,Her dark hair swayed like willows in the wind.,彼女の黒髪は柳のようで、風に揺れている。,"Ее черные волосы, как ивы, колышутся на ветру."
,,,,,,,,,,默认6,,,,她的明眸如月，穿桥望来。,她的明眸如月，穿橋望來。,"Her bright eyes shone like the moon, gazing at me through the bridge.",彼女の澄んだ瞳は月のように、橋の向こうからこちらを見つめている。,"Ее ясные глаза, как луна, смотрят через мост."
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认8,,,,一切本该尘埃落定。,一切本該塵埃落定。,Everything should have come to an end.,すべてはとっくに決着がついているはずだった。,Все должно было улечься.
,,,,,,,,,,默认9,,,,往后本该一人独行。,往後本該一人獨行。,"From now on, I should have walked alone.",これからは一人で歩むはずだった。,Впредь я должен был идти в одиночестве.
,,,,,,,,,,默认10,,,,可是……,可是……,Yet…,しかし……,Но…
,,,,,,,,,,默认11,,,,好不容易与她重逢。,好不容易與她重逢。,"Now that I have finally reunited with her,",せっかく彼女と再会できたのだ。,С таким трудом мы снова встретились.
,,,,,,,,,,默认12,,,,何必清醒负此深情？,何必清醒負此深情？,why let clarity betray such deep affection?,なぜ、この深い想いを捨てて、冷静にならなければならないのか？,Зачем же отказываться от этой глубокой любви?
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,Se,短风,,1.9,,,,,,,,,,,,,,
,,,,,,,,,,默认14,,,,——呼,——呼,—Whoosh,――はあ,— Вздох
,,,,,,,,,,默认15,,,,一阵微风掠过。,一陣微風掠過。,—A gust of wind swept by.,そよ風が吹き抜けた。,Пронесся легкий ветерок.
,,,,,,,,,,默认16,,,,我向前踏出几步——,我向前踏出幾步——,I took a few steps forward—,私は数歩前に踏み出した――,Я сделал несколько шагов вперед —
,FadeOut,black,,,,,1,,,,,,,,,,,
,Se,风声,,1.5,,,,,,,,,,,,,,
,,,,,,,,,,默认17,,,,——呼,——呼,—Whoosh,――ふっ,— Хм
,BgEvent,最后的拥抱1,,,,,,,,,,,,
,FadeIn,black,,,,,2,,,,,,,,,,,
,Bgm,与雁同行,,,,0.2,3,,,,,,,,,,,
,Se,踏步,,2,,,,,,,,,,
,,,,,,,,,,默认18,,,,我不顾一切的向她跑来，裹着一阵携雨的风，将她拥入我的怀中——,我不顧一切的向她跑來，裹著一陣攜雨的風，將她擁入我的懷中——,"I ran towards her at all costs, wrapped in a gust of rain carrying wind, and embraced her into my arms——",私は彼女に向かって必死に走ってきて、雨を携えた風に包まれて、彼女を私の懐に押し込んだ。
,,,,,,,,,,默认19,,,,几年前，是她不舍与我分别，蓦然回首。,幾年前，是她不捨與我分別，驀然回首，擁入了我的懷中。,"Years ago, she was the one who couldn’t bear to part, turning back suddenly to embrace me.",数年前は、彼女が私との別れを惜しみ、振り返って私を抱きしめた。,"Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.","Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.",
,,,,,,,,,,默认20,,,,几年后，是我不想与她分别，紧紧相拥。,幾年後，是我不想與她分別，走上前，緊緊抱住了她。,"Years later, it was I who couldn’t bear to leave, stepping forward to hold her tight.",数年後、私が彼女との別れを惜しみ、歩み寄って彼女を抱きしめた。,"Несколько лет спустя уже я, не желая расставаться со ней, подошёл и крепко-крепко обнял её.","Несколько лет спустя уже я, не желая расставаться со ней, подошёл и крепко-крепко обнял её.",
,,,,,,,,,,默认21,,,,……,……,...,……,...,...,
,,,,,,,,,,默认22,,,,此时的我，近乎是通灵或是疯癫，竟能真切地感受到她的存在。,此時的我，近乎是通靈或是瘋癲，竟能真切地感受到她的存在。,"In that moment, I felt almost clairvoyant or mad, yet her presence was undeniably real.",霊感が目覚めたか、あるいは狂ったか……今の私は彼女の存在を確かに感じることができた。,"Может быть, я научился чувствовать духов, либо же просто сошёл с ума - но мне по-настоящему удалось её ощутить.","Может быть, я научился чувствовать духов, либо же просто сошёл с ума - но мне по-настоящему удалось её ощутить.",
,,,,,,,,,,默认23,,,,她的身子柔若无骨，无一丝暖意，却令人无比安心。,她的身子柔若無骨，無一絲暖意，卻令人無比安心。,"Her body was soft as if boneless, devoid of warmth, yet profoundly comforting.",骨が入っていないような柔らかさ、暖かさのない体なのに、それがとても安心できる。,"Её тело было мягким, будто не имевшим костей, в нём не было ни капли тепла - но оно давало мне ни с чем не сравнимое успокоение.","Её тело было мягким, будто не имевшим костей, в нём не было ни капли тепла - но оно давало мне ни с чем не сравнимое успокоение.",
,,方知宥,,,,,,,,默认24,,方知宥/35-2-1_方知宥_01,,[不要走。],[不要走。],"""Do not go.""",「行かないでくれ」,"""Не уходи.""","""Не уходи.""",
,,,,,,,,,,默认25,,,,我挤出了卡在喉咙间的三个字，说出了我的挽留。,我擠出了卡在喉嚨間的三個字，說出了我的挽留。,"I forced out the three words lodged in my throat, voicing my plea for her to stay.",喉から言葉を絞り出すと、彼女を引き留めた。,"Выдавил я застрявшие в горле два слова, не желая её отпускать.","Выдавил я застрявшие в горле два слова, не желая её отпускать.",
,,苏怜烟,,,,,,,,默认26,,,,[……］,[……］,"""...""",「……」,"""...""","""...""",
,BgEvent,最后的拥抱2,,,,,1,,,,,,,
,,,,,,,,,,默认27,,,,她的身子微微一僵，低下了头，下颌似枕在我的肩膀上，双手也从无所适从，缓缓移向了我的身后。,她的身子微微一僵，低下了頭，下頜似枕在我的肩膀上，雙手也從無所適從，緩緩移向了我的身後。,"Her body stiffened slightly as she lowered her head, her chin resting on my shoulder like a pillow, and her hands, previously hesitant, gradually moved to embrace me from behind.",彼女が体を強張らせた。うつむくと顎を私の肩に乗せ、ぎこちなく両手をゆっくりと私の後ろに回した。,"Её тело слегка напряглось, она опустила голову и подбородок её словно упёрся в моё плечо. Не зная, куда девать руки, она медленно переместила их мне за спину.","Её тело слегка напряглось, она опустила голову и подбородок её словно упёрся в моё плечо. Не зная, куда девать руки, она медленно переместила их мне за спину.",
,,苏怜烟,,,,,,,,默认28,,苏怜烟/35-2-1_苏怜烟_01,,[知宥……我早已在当年离世，此时的我无论是幻觉还是鬼魂，都不该再陪着你了……],[知宥……我早已在當年離世，此時的我無論是幻覺還是鬼魂，都不該再陪著你了……],"""Zhiyou... I died long ago. Whether I’m an illusion or a ghost now, I shouldn’t stay with you any longer...""",「知宥……私はもう死んでるのよ。今の私が幻覚にしろ幽霊にしろ、一緒にいるわけにはいかないわ……」,"""Чжию... Я уже давно мертва. Кем бы я сейчас ни была - иллюзией или духом - мне не стоит оставаться с тобой...""","""Чжию... Я уже давно мертва. Кем бы я сейчас ни была - иллюзией или духом - мне не стоит оставаться с тобой...""",
,,,,,,,,,,默认29,,,,她反抱着我，在我的耳边轻声低语，语气温柔而带着一种哀伤。,她反抱著我，在我的耳邊輕聲低語，語氣溫柔而帶著一種哀傷。,"She hugged me back, whispering softly in my ear, her voice gentle yet laced with sorrow.",私を抱きしめつつ、耳元でそう囁く。優しい口調にはどこか悲しさがこもっていた。,"Обняв меня в ответ, прошептала она мне ласковым, но в то же время скорбным голосом.","Обняв меня в ответ, прошептала она мне ласковым, но в то же время скорбным голосом.",
,,方知宥,,,,,,,,默认30,,方知宥/35-2-1_方知宥_02,,[我不在乎。］,[我不在乎。］,"""I don’t care.""",「そんなこと気にしない」,"""Мне это не важно.""","""Мне это не важно.""",
,,,,,,,,,,默认31,,,,我执拗地回应着。,我執拗地回應著。,I stubbornly replied.,それでも、と食い下がる。,Упрямо ответил я.,Упрямо ответил я.,
,,苏怜烟,,,,,,,,默认32,,苏怜烟/35-2-1_苏怜烟_02,,[今后，你若是当着旁人的面与我说话，不怕被笑话？],[今後，你若是當著旁人的面與我說話，不怕被笑話？],"""From now on, if you speak to me in front of others, won’t you fear being ridiculed?""",「人前で私に話しかけて笑われるかもしれないのよ。それでもいいの？」,"""Если потом ты при ком-нибудь постороннем заговоришь со мной - не боишься, что над тобой будут насмехаться?""","""Если потом ты при ком-нибудь постороннем заговоришь со мной - не боишься, что над тобой будут насмехаться?""",
,,方知宥,,,,,,,,默认33,,方知宥/35-2-1_方知宥_03,,[我早当过几年疯子了，如今又何惧世俗眼光？],[我早當過幾年瘋子了，如今又何懼世俗眼光？],"""I’ve already been a madman for years, why should I care for worldly judgments now?""",「とっくに狂人として何年も過ごしてきたんだ。今更人の目なんて恐れることがあるか？」,"""Я уже несколько лет и так провёл в сумасшествии - какой мне смысл теперь бояться взглядов окружающих?""","""Я уже несколько лет и так провёл в сумасшествии - какой мне смысл теперь бояться взглядов окружающих?""",
,,苏怜烟,,,,,,,,默认34,,苏怜烟/35-2-1_苏怜烟_03,,[若是你一直惦记着我，怎么能娶妻成家？],[若是你一直惦記著我，怎麼能娶妻成家？],"""If you keep clinging to me, how can you ever marry and settle down?""",「私にばかり気を取られて、妻を娶って家庭を持てると思う？」,"""Если ты так и не отпустишь мысли обо мне, как ты потом женишься и заведёшь семью?""","""Если ты так и не отпустишь мысли обо мне, как ты потом женишься и заведёшь семью?""",
,,方知宥,,,,,,,,默认35,,方知宥/35-2-1_方知宥_04,,[一直和你在一起，不就是娶妻成家了？],[一直和你在一起，不就是娶妻成家了？],"""Staying with you forever, isn’t that marriage and family?""",「君がいるのに家庭を持つ必要があるか？」,"""Если я всё время буду с тобой - разве это не будет считаться за семью?""","""Если я всё время буду с тобой - разве это не будет считаться за семью?""",
,,,,,,,,,,默认36,,,,她以担忧的问句询问我。,她以擔憂的問句詢問我。,She asked me with concern.,彼女が不安そうに尋ねる。,Она обеспокоенно задавала мне вопросы.,Она обеспокоенно задавала мне вопросы.,
,,,,,,,,,,默认37,,,,我以果断的反问回答她。,我以果斷的反問回答她。,I countered with a firm retort.,私がきっぱりと彼女に反問する。,А я решительно на них отвечал.,А я решительно на них отвечал.,
,,苏怜烟,,,,,,,,默认38,,苏怜烟/35-2-1_苏怜烟_04,,[不行……这不行……你不必为了我这样……我们能做的事终究有限……],[不行……這不行……你不必為了我這樣……我們能做的事終究有限……],"""No... this isn’t right... you shouldn’t sacrifice so much for me... our hands are tied...""",「だめ……やっぱりだめ……私のためにこんなことしなくてもいい……私たちができることには限りがあるんだから……」,"""Ну нет... Так нельзя... Тебе не стоит идти на такое ради меня... Да и что у нас вообще может получиться...""","""Ну нет... Так нельзя... Тебе не стоит идти на такое ради меня... Да и что у нас вообще может получиться...""",
,BgEvent,最后的拥抱3,,,,,1,,,,,,,
