#SHEET_NAME,结局-哭庙
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_5,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_5,,,,,,,,,,,,,,,
,SetChapterName,结局-哭庙,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,王家大院街道夜,,,,,,,,,,,,,,,
,BgEvent,哭庙1,,,,,1,,,,,,,,,,
,FadeIn,black,,,,,2,,,,,,,,,,,
,Bgm,曲终人散,,,,0.2,3,,,,,,,,,,,
,,,,,,,,,,默认1,,,,自五月五日起，扬州城的秩序便基本恢复了。,自五月五日起，揚州城的秩序便基本恢復了。,"Since the fifth day of the fifth month, order in Yangzhou had largely been restored.",五月五日を境に、揚州の町の秩序はおおよそ回復していった。,К пятому числу пятого месяца порядок в Янчжоу был по большей части восстановлен.
,,,,,,,,,,默认2,,,,那些曾经城中的恶兵与恶匪都已散去，只留下一具具尸首被抬到街上，百姓们或沉默、或哭泣地将它们堆叠起来，再而点燃。,那些曾經城中的惡兵與惡匪都已散去，只留下一具具屍首被抬到街上，百姓們或沉默、或哭泣地將它們堆疊起來，再而點燃。,"The marauding soldiers and bandits who once terrorized the city had all fled, leaving only corpses to be carried into the streets, where the townsfolk stacked them silently or tearfully before setting them alight.",町を荒らした悪兵や悪党たちは散っていき、残されたのは運び出された無数の死体だけだった。町民たちはみな黙したまま、あるいは泣き顔で彼らの死体を積み上げ、それに火をつけた。,"Наводившие на город ужас солдаты и бандиты ушли, осталось только множество трупов, которые вынесли на улицы. Жители молча или с плачем складывали их в груду, а затем поджигали."
,,,,,,,,,,默认3,,,,火光跃动间，那些躯壳的一部分化作了上升的青烟，另一部分则是化作了沉落的灰烬。,火光躍動間，那些軀殼的一部分化作了上升的青煙，另一部分則是化作了沉落的灰燼。,"In the flickering flames, some of those remains became rising smoke, while others turned to falling ash.",ふらりと炎が揺れ、骸の一部はもうもうと昇る煙となり、残りは積もる灰となった。,"В трепещущем пламени тела частью обращались в синий дым, вздымающийся вверх, частью же становились осыпающимся серым пеплом."
,,,,,,,,,,默认4,,,,待城中安定下来时，我与王生都回到了各自的屋宅。,待城中安定下來時，我與王生都回到了各自的屋宅。,"When calm finally returned to the city, both Scholar Wang and I retreated to our respective homes.",町の情勢が安定してくると、私と王書生はそれぞれ自分の家へと帰った。,"После того, как в городе стало спокойнее, мы с учёным Ваном вернулись каждый в свои дома."
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,烬志1,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
