#SHEET_NAME,记-第十八回二
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_18_2,chapter_bg_J,chapter_title_J18_2,Liang,265,,,,,,,,,,,
,*map_ji_18_2,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_18_2,,,,,,,,,,,,,,,
,SetChapterName,记-第十八回二,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Ambience,室内沙沙,,,,,,,,,,,,,,,
,Bg,青楼中庭破败夜,
,Wait,,,,,,0.5
,FadeIn,black,,,,,1,,,,,,,,,,,
,,方知宥,,,,,,,,默认1,,方知宥/33_方知宥_01,,[良叔。],[良叔。],"""Uncle Liang.""",「良さん」,"""Дядюшка Лян."""
,,良,好奇,,,,,,,默认2,,良/32_良_27,,[嗯？],[嗯？],"""Hm?""",「ん？」,"""А?"""
,,方知宥,,,,,,,,默认3,,方知宥/33_方知宥_02,,[一会儿我送送你吧。],[一會我送送你吧。],"""Let me see you off later.""",「送っていこう」,"""Давайте я Вас провожу."""
,,良,通常,,,,,,,默认4,,良/33_良_01,,[好。],[好。],"""Got it.""",「ああ」,"""Давай."""
,,,,,,,,,,默认5,,,,我向良叔提出了想要送他的请求。,我向良叔提出了想要送他的請求。,I asked Uncle Liang if I could see him off.,良に見送りを申し出た。,Я предложил дядюшке Ляну проводить его.
,,,,,,,,,,默认6,,,,他神色平静，只是淡淡点了点头，算是同意了。,他神色平靜，只是淡淡點了點頭，算是同意了。,"His expression remained calm, and he simply nodded faintly in agreement.",彼は平静なまま、ただこくりと頷き、同意した。,С невозмутимым лицом тот лишь слегка кивнул.
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认711,,,,……,……,...,……,...
,AutoSave,,,,,,,,,,,,,
,Bgm,死生别离,,,,0.2,3,,,,,,,,,,,
,FadeOut,black,,wipe_left,,,1.5,,,,,,,,,,,
,Bg,四艺堂小间夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1.5,,,,,,,,,,,
,,,,,,,,,,默认7,,,,随后，我与他一同回到我们曾住过的那间泠音阁小间，我帮他收拾行李。,隨後，我與他一同回到我們曾住過的那間泠音閣小間，我幫他收拾行李。,"Afterward, I returned with him to the small room at <ruby=泠音>Lingyin</ruby> Pavilion where we once lived and helped him pack his belongings.",その後、私は彼と共にしばらく住んでいた泠音閣の小間に戻り、彼の荷物の整理を手伝った。,"Потом я вернулся в маленькую комнатку в павильоне, где мы когда-то жили, и помог ему собрать вещи."
,,,,,,,,,,默认8,,,,良叔的行李并不多，所有的东西放一起，也不过是一个灰布包袱。,良叔的行李並不多，所有的東西放一起，也不過是一個灰布包袱。,Uncle Liang didn’t have much luggage; everything together fit into a single gray cloth bundle.,良の荷物はそう多くなかった。全ての物をまとめても、灰色の衣包み一つに収まってしまう。,"Вешей у дядюшки Ляна было мало, всё можно было сложить в один тканевый узелок."
,,,,,,,,,,默认9,,,,这里面装着少许银两和干粮，以及几件他贴身的旧物。,這裡面裝著少許銀兩和乾糧，以及幾件他貼身的舊物。,"Inside were a few taels of silver, some dry provisions, and a few of his personal old belongings.",中身は少しの金と干し米、そして普段身に着けている古物の品々だ。,"Среди его вещей была пара таэлей серебра, походные лепёшки, а также старые личные пожитки."
,,,,,,,,,,默认10,,,,临行前，琼华带着翠儿、红儿前来送行，交给良叔一些饯别的礼物和书信。,臨行前，瓊華帶著翠兒、紅兒前來送行，交給良叔一些餞別的禮物和書信。,"Before his departure, Qionghua came with Cui'er and Hong'er to see him off, giving Uncle Liang some parting gifts and letters.",出発前、瓊華が翠児と紅児を連れて見送りにやってきて、良に餞別の品と手紙を渡した。,"Перед уходом к нему пришли Цюнхуа и сёстры, чтобы проводить его и вручить прощальные подарки и письма."
,FadeOut,black,,wipe_left,,,1,,,,,,,,,,,
,Bg,泠音阁南面正门城破夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,Ambience,室外主风,,,,3,3,,,,,,,
,,,,,,,,,,默认11,,,,我并未写信，只是一直默默地跟在良叔身后，一路送他至泠音阁的正门前。,我並未寫信，只是一直默默地跟在良叔身後，一路送他至泠音閣的正門前。,"I didn't write a letter, but silently followed Uncle Liang all the way to <ruby=泠音>Lingyin</ruby> Pavilion's main gate.",私は手紙を書かなかった。ただ黙々と良の後ろをついていき、泠音閣の正門まで見送った。,"Я письмо не писал, а лишь просто шёл за дядюшкой Ляном вплоть до главных ворот ""Мелодичного павильона""."
,,,,,,,,,,默认12,,,,月光如霜，铺满了泠音阁前的青石街道。,月光如霜，鋪滿了泠音閣前的青石街道。,The moonlight lay like frost upon the bluestone street before <ruby=泠音>Lingyin</ruby> Pavilion.,月光が霜のように、泠音閣の前の青煉瓦の街道を白く照らした。,"Перед ""Мелодичным павильоном"" лунный свет обволакивал выложенную зеленоватым камнем дорогу, словно инеем."
