#SHEET_NAME,记-第十回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_10,chapter_bg_J,chapter_title_J10,Liang,265,,,,,,,,,,,
,*map_ji_10,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_10,,,,,,,,,,,,,,,
,SetChapterName,记-第十回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,FadeOut,black,,,,,1,,,,,,,,,,,
,Bg,碧竹坊昼,,,,,,,,,,,,,,,
,Ambience,室内沙沙
,AutoSave
,,,,,,,,,,默认1,,,,往事如烟，渐飘渐远。,往事如煙，漸飄漸遠。,"The past drifts like smoke, fading into the distance.",過ぎし事は煙の如く、緩やかに遠くへと流れゆく。,"Прошлое, словно дымка, начало уплывать куда-то вдаль."
,,,,,,,,,,默认2,,,,碧竹坊中的花魁、侍女、小厮，坊外邂逅的老先生……一张张面容都似蒙上了一层薄纱，在记忆的河流中缓缓淡去。,碧竹坊中的花魁、侍女、小廝，坊外邂逅的老先生……一張張面容都似蒙上了一層薄紗，在記憶的河流中緩緩淡去。,"The courtesan, maid, and servant boy of Jade Bamboo Hall, the old scholar met outside... each face seemed shrouded in mist, gradually dissolving in the river of memory.",<ruby=へきちくぼう>碧竹坊</ruby>の花魁、侍女、丁稚、そして外で出会ったご老公……一人一人の顔が、薄い膜で覆われるかのように、記憶の向こうに流れていく。,"Лица людей из ""Палаты зелёного бамбука"" - куртизанки, служанки, мальчика-слуги, а также лицо пожилого господина... Все они, словно окутываемые пеленой, начали растворяться в пучине воспоминаний."
,,,,,,,,,,默认3,,,,整条街的景象也一寸一寸暗了下来，沉入意识深处。,整條街的景象也一寸一寸暗了下來，沉入意識深處。,"The entire street scene darkened inch by inch, sinking into the depths of consciousness.",町の景色も徐々に暗くなっていき、意識の底へと沈んでいく。,"Воспоминание о той улице начало затухать, уходя куда-то в глубины подсознания."
,,,,,,,,,,默认4,,,,后来，我在现实中短暂醒转，与良叔在附近寻了一处屋舍歇下。,後來，我在現實中短暫醒轉，與良叔在附近尋了一處屋舍歇下。,"Later, I briefly surfaced into reality and rested at a nearby lodging with Uncle Liang.",その後、私は現実でしばらく目を覚まし、<ruby=りょう>良</ruby>と近くの小屋を探して一休みした。,Затем я на какое-то время вынырнул в реальность. Мы с дядюшкой Ляном нашли какой-то домик и отдохнули там.
,,,,,,,,,,默认5,,,,才躺上床不久，我便再度坠入了梦境。,才躺上床不久，我便再度墜入了夢境。,"Not long after lying down, I slipped back into dreams.",まともな寝台で寝るのは久しぶりで、すぐに夢の世界に落ちていった。,"Едва я успел прилечь, как сразу снова погрузился в сон."
