#SHEET_NAME,结局-通海
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_6,,,,,,,,,,,,,,,
,SetChapterName,结局-通海,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,哭庙1,,,,,1,,,,,,,
,FadeIn,black,,,,,2,,,,,,,,,,,
,Bgm,曲终人散,,,,0.2,3,,,,,,,,,,,
,,,,,,,,,,默认1,,,,自五月五日起，扬州城的秩序便基本恢复了。,自五月五日起，揚州城的秩序便基本恢復了。,"Since the fifth day of the fifth month, order in Yangzhou had largely been restored.",五月五日を境に、揚州の町の秩序はおおよそ回復していった。,К пятому числу пятого месяца порядок в Янчжоу был по большей части восстановлен.
,,,,,,,,,,默认2,,,,那些曾经城中的恶兵与恶匪都已散去，只留下一具具尸首被抬到街上，百姓们或沉默、或哭泣地将它们堆叠起来，再而点燃。,那些曾經城中的惡兵與惡匪都已散去，只留下一具具屍首被抬到街上，百姓們或沉默、或哭泣地將它們堆疊起來，再而點燃。,"The marauding soldiers and bandits who once terrorized the city had all fled, leaving only corpses to be carried into the streets, where the townsfolk stacked them silently or tearfully before setting them alight.",町を荒らした悪兵や悪党たちは散っていき、残されたのは運び出された無数の死体だけだった。町民たちはみな黙したまま、あるいは泣き顔で彼らの死体を積み上げ、それに火をつけた。,"Наводившие на город ужас солдаты и бандиты ушли, осталось только множество трупов, которые вынесли на улицы. Жители молча или с плачем складывали их в груду, а затем поджигали."
,,,,,,,,,,默认3,,,,火光跃动间，那些躯壳的一部分化作了上升的青烟，另一部分则是化作了沉落的灰烬。,火光躍動間，那些軀殼的一部分化作了上升的青煙，另一部分則是化作了沉落的灰燼。,"In the flickering flames, some of those remains became rising smoke, while others turned to falling ash.",ふらりと炎が揺れ、骸の一部はもうもうと昇る煙となり、残りは積もる灰となった。,"В трепещущем пламени тела частью обращались в синий дым, вздымающийся вверх, частью же становились осыпающимся серым пеплом."
,,,,,,,,,,默认4,,,,待城中安定下来时，我与王生都回到了各自的屋宅。,待城中安定下來時，我與王生都回到了各自的屋宅。,"When calm finally returned to the city, both Scholar Wang and I retreated to our respective homes.",町の情勢が安定してくると、私と王書生はそれぞれ自分の家へと帰った。,"После того, как в городе стало спокойнее, мы с учёным Ваном вернулись каждый в свои дома."
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,烬志1,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认5,,,,我回到方院后，查看了房中的一切，一时哭笑不得，也不知该感慨幸运还是不幸。,我回到方院後，查看了房中的一切，一時哭笑不得，也不知該感慨幸運還是不幸。,"After returning to Fang's Courtyard, I surveyed my room and found myself torn between laughter and tears, uncertain whether to count myself fortunate or unfortunate.",方院に戻り、中を見渡して思わず苦笑した。これを幸運と呼ぶべきなのか不幸と呼ぶべきなのか。,"Вернувшись во двор семьи Фан и увидев его состояние, я даже не знал, плакать мне или смеяться, считать себя удачливым или неудачливым."
,,,,,,,,,,默认6,,,,幸运的是，方院并未被整个烧毁，大体保持着原貌。,幸運的是，方院並未被整個燒毀，大體保持著原貌。,"Fortunately, Fang's Courtyard wasn't entirely burned down and mostly kept its original form.",幸運なことに、方院は焼け落ちておらず、ほぼ原形を保っていた。,"В чём мне повезло, так это в том, что двор семьи Фан вовсе не оказался сожжён дотла и в целом сохранил свой прежний вид."
,,,,,,,,,,默认7,,,,那个曾被我锁在屋内的妖兵早已不知所踪。,那個曾被我鎖在屋內的妖兵早已不知所蹤。,The demon soldier I'd locked in that room had long vanished without a trace.,傍屋に閉じ込めておいた妖兵は、いつの間にかいなくなっていた。,"Яогуай, которого я запер во флигеле, уже давно куда-то делся."
,,,,,,,,,,默认8,,,,也许是他脱身后急着去追我无暇他顾，也许是他脱身后急着去抢劫——他走得很匆忙，离开时并未一把火烧了方院。,也許是他脫身後急著去追我無暇他顧、也許是他脫身後急著去搶劫——他走得很匆忙，離開時並未一把火燒了方院。,"maybe after escaping he was too busy chasing me to care—or maybe he ran off to loot—either way, he left in such a hurry that Fang's Courtyard escaped the torch.",脱出してから私を追うことで頭がいっぱいだったのか、それとも強盗に勤しんでいたのか――とにかく慌てて出て行ったようで、火を放っていくことはなかった。,"Возможно, после того, как он смог освободиться, все его мысли занимало то, как бы меня догнать, либо же он стремился награбить побольше - в любом случае, он быстро ушёл отсюда и не стал заморачиваться над тем, чтобы предать двор огню."
,,,,,,,,,,默认9,,,,不幸的是，我曾珍藏的那些书籍，要么被撕毁了，要么便散失无踪，徒留被翻开的柜子，以及散落一地的碎纸屑。,不幸的是，我曾珍藏的那些書籍，要嘛被撕毀了，要嘛便散失無蹤，徒留被翻開的櫃子，以及散落一地的碎紙屑。,"Sadly, my treasured books were either torn apart or lost completely, leaving only gaping cabinets and paper fragments littering the floor.",そして不幸なことに、私が大切に収蔵していた本は破り捨てられたり行方知れずとなったりである。残っていたのは開け放たれた箪笥と、ばらばらになった紙屑だ。,"В чём мне не повезло - те бережно хранимые мной книги либо были уничтожены, либо просто пропали бесследно. Остались только развороченные шкафы и разбросанные по полу обрывки бумаги."
,FadeOut,black,,,,,1,,,,,,,,,,,
