#SHEET_NAME,红楼
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_10,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_10,,,,,,,,,,,,,,,
,SetChapterName,红楼,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,二十四桥记偏,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风
,Bgm,曲终人散,,,,0.2,3,,,,,,,,,,,
,,,,,,,,,,默认1,,,,雨后的二十四桥，水雾氤氲如纱，河面泛着细碎的银光。,雨後的二十四橋，水霧氤氳如紗，河面泛著細碎的銀光。,"After rain, the Twenty-Four Bridges hung in misty haze, the river's surface glittering with fragmented silver.",雨上がりの二十四橋。霧が立ち込め、川に銀の光がきらきらと輝いている。,"Дождь прошёл. Двадцать четвёртый мост тихо покоился над речными водами, по обоим берегам ивы клонили к воде свои ветви."
,,,,,,,,,,默认2,,,,杨柳低垂，湿漉漉的柳条不时点入水中，搅碎了桥与人的倒影。,楊柳低垂，濕漉漉的柳條不時點入水中，攪碎了橋與人的倒影。,"Willows drooped low, their damp branches occasionally brushing the water, shattering reflections of bridge and people alike.",柳が垂れ、しっとりと濡れた枝先が時折水に触れ、映し出した橋と人の影を揺らした。,"Ивовые ветви, практически падающие в воду, то поднимались под порывами ветра, то опадали на поверхность реки, размывая отражения в воде."
,,,,,,,,,,默认3,,,,在旁人眼中，此时河中的倒影大概仅有我一人。,在旁人眼中，此時河中的倒影大概僅有我一人。,"To any observer, only my solitary reflection would appear in the river now.",他の者から見れば、この川に映っているのは私一人だけだろう。,"Глазам стороннего наблюдателя могло бы показаться, что в эту минуту в воде отражается лишь один-единственный человек - я."
,,,,,,,,,,默认4,,,,但是，在我的眼中，始终有一抹紫白色的身影立于对面。,但是，在我的眼中，始終有一抹紫白色的身影立於對面。,"Yet in my vision, a figure in lavender-white remained steadfast on the opposite shore.",しかし私の目には、紫陽花色の姿が向かいに映っている。,Но вот в моих глазах виднелась стоящая напротив фигура цвета фиолетового с белым.
,,,,,,,,,,默认5,,,,——我将要与她诀别。,——我將要與她訣別。,—I am about to bid her farewell.,――彼女と決別しなければ。,"Которой я собирался сказать ""прощай""."
,,,,,,,,,,默认6,,,,……,……,...,……,...
,,,,,,,,,,默认7,,,,——“方知宥”。,——“方知宥”。,"—""Fang Zhiyou"".",――「方知宥」,'Фан Чжию.'
,,,,,,,,,,默认8,,,,人生总有坎坷，总有离别。,人生總有坎坷，總有離別。,Life is always full of hardships and partings.,人生山あり谷あり、出会いあれば別れありだ。,Жизнь трудна и полна расставаний.
,,,,,,,,,,默认9,,,,往前走，向前看，莫要回头。,往前走，向前看，莫要回頭。,"Move forward, look ahead, and never turn back.",前を向いて、前に進むのだ。振り返るな。,Я должен идти вперёд и и не оборачиваться.
,,,,,,,,,,默认10,,,,——“苏怜烟”。,——“蘇憐煙”。,"—""Su Lianyan"".",――「蘇憐煙」,Су <ruby=怜烟>Ляньянь</ruby>.'
,,,,,,,,,,默认11,,,,——“苏连雁”,——“蘇連雁”,"—""Su Lean-yan""",――「蘇連雁」,Су <ruby=连雁>Ляньянь</ruby>.'
,,,,,,,,,,默认12,,,,似烟，又似雁。,似煙，又似雁。,"Like smoke, yet like a wild goose.",煙のようで、雁のよう。,"Ты одновременно подобна и <ruby=烟>дымке</ruby>, и <ruby=雁>лебедю</ruby>."
,,,,,,,,,,默认13,,,,烟终要飘散，雁终要飞远，,煙終要飄散，雁終要飛遠，,"Smoke must eventually disperse, and wild geese must eventually fly far away,",煙はいずれ散り、雁はいずれ飛び立つ。,"Дымка рано или поздно рассеивается, как и лебедь рано или поздно улетает вдаль..."
,,,,,,,,,,默认14,,,,她总有她该去的远方。,她總有她該去的遠方。,She always has a distant place she must go.,彼女には、行くべき彼方の場所がある。,Ей в любом случае пора отправляться в назначенное ей место.
,,,,,,,,,,默认15,,,,我们，终究要迎来诀别。,我們，終究要迎來訣別。,"We, after all, must face this farewell.",ついに別れの時が来たのだ。,"И нам, в конце концов, придётся принять наше расставание."
,,,,,,,,,,默认16,,,,……,……,...,……,...
,,方知宥,,,,,,,,默认17,,,,[……],[……],"""...""",「……」,"""..."""
,,苏怜烟,,,,,1,,,,,,,
,,,,,,,,,,默认18,,,,我静静地望着她，喉咙像是被什么堵住了，轻轻颤抖，却一个字也说不出来。,我靜靜地望著她，喉嚨像是被什麼堵住了，輕輕顫抖，卻一個字也說不出來。,"I gazed at her quietly, my throat as if blocked by something, trembling slightly, yet unable to utter a single word.",静かに彼女を見る。喉に何かが詰まったように軽く震え、一文字も言葉が出てこない。,"Я молча глядел на неё, в моём дрожащем горле словно застрял ком, не давая мне вымолвить и слова."
