#SHEET_NAME,记-第十九回三
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Ji_19_3,chapter_bg_J,chapter_title_J19_3,Liang,265,,,,,,,,,,,
,*map_ji_19_3,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_19_3,,,,,,,,,,,,,,,
,SetChapterName,记-第十九回三,,,,,,
,Ambience,小雨,TRUE,,,,1,
,Bgm,与雁同行,,,,0.2,4,,,,,,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,二十四桥记偏,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认1,,,,“渡芦”。,“渡蘆”。,"""Dulu"".",「渡芦」,"""Дулу"".",
,,,,,,,,,,默认2,,,,雁儿姐在那本《梁祝》的尾页，留下了这两个字。,雁兒姐在那本《梁祝》的尾頁，留下了這兩個字。,"<ruby=Swan Goose>Sister Yan</ruby> had written this one word on the last page of that copy of ""The Butterfly Lovers"".",雁姉は『梁祝』の裏表紙に、その二文字を残していた。,"Сестричка Лебёдушка на последней странице книги ""Влюблённые-бабочки"" оставила это название.",
,,,,,,,,,,默认3,,,,这两个字所指代的地方，是我们当年一同去过的一家当铺。,這兩個字所指代的地方，是我們當年一同去過的一家當鋪。,That one word referred to a pawnshop we'd visited together years ago.,その二文字が示す場所は、私たちがかつて訪れたことのある質屋だ。,"Оно обозначало тот ломбард, куда мы с ней вместе ходили в тот год.",
,,,,,,,,,,默认4,,,,我在想到了这一点后，便猛地转身，奔离二十四桥。,我在想到了這一點後，便猛地轉身，奔離二十四橋。,"Realizing this, I turned abruptly and ran from the Twenty-Four Bridges.",そのことに気付くと、私は振り返り、二十四橋から駆け出した。,"Осознав это, я тут же развернулся и пустился бегом с Двадцать четвёртого моста.",
,Se,快步走,,1.4,,,,,,,,,,
,,,,,,,,,,默认5,,,,我在大雨中快速奔跑着，雨水扑面，打湿衣襟，我却浑然不觉。,我在大雨中快速奔跑著，雨水撲面，打濕衣襟，我卻渾然不覺。,"I ran swiftly through the pouring rain, the water slapping my face and drenching my clothes, yet I barely noticed.",大雨の中、私はひた走る。雨が顔にかかろうと、服の襟を濡らそうと、まったく気にかけなかった。,"Я мчался через дождь - его капли летели мне в лицо, вымачивали мне одежду, но я совершенно не замечал этого.",
,,,,,,,,,,默认6,,,,我穿过了零散的人群，穿过了烧成残骸的一处处废墟。,我穿過了零散的人群，穿過了燒成殘骸的一處處廢墟。,"I wove through scattered crowds, past ruins reduced to smoldering skeletons.",まばらな人ごみを抜け、焼け落ちた廃墟を次々と駆け抜ける。,"Я пробирался сквозь рассеянные по улицам группы людей, мимо сожжённых в пепел руин.",
,,,,,,,,,,默认7,,,,……,……,...,……,...,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认8,,,,雁儿姐为何偏偏在《梁祝》的末页留下了这两个字？,雁兒姐為何偏偏在《梁祝》的末頁留下了這兩個字？,"Why did <ruby=Swan Goose>Sister Yan</ruby> leave that one word on the final page of ""The Butterfly Lovers""?",雁姉はなぜあの本の巻末にその二文字を残したのだ？,Почему сестричка Лебёдушка вообще решила написать на последней странице название этого ломбарда?,
,,,,,,,,,,默认9,,,,那个“渡芦”，并非是城里很有名的当铺，却是我和她最后一次见面时偶然去过的。,那個“渡蘆”，並非是城裡很有名的當鋪，不過卻是我和她最後一次見面時偶然去過的。,"That ""Dulu"" wasn't a well-known pawnshop in town, but it was where we'd casually stopped during our last meeting.",「渡芦」は特にこの町で有名な質屋でもない。最後に私たちが会った時、偶然立ち寄っただけの場所だ。,Он вовсе не был каким-то известным в городе - мы исключительно по случайности зашли туда в нашу последнюю встречу.,
,,,,,,,,,,默认10,,,,难道……,難道……,Unless...,もしかすると……,Неужели...,
,,,,,,,,,,默认11,,,,她以典当为由，在那里为我留下了什么东西？,她以典當為由，在那裡為我留下了什麼東西？,Had she left something there for me under the guise of pawning?,質入れを建前に、私に何かを残してくれたのか？,Она в качестве залога оставила там для меня что-то?,
,,,,,,,,,,默认12,,,,……,……,...,……,...,
,,,,,,,,,,默认13,,,,她选择自尽之前，定是思虑周全——,她選擇自盡之前，定是思慮周全——,"Before taking her own life, she must have considered every detail—",彼女のことだ。自殺をする前に、きっと周到に考えたに違いない――,"Прежде чем решиться покончить с собой, она, несомненно, всё обдумала как следует:",
,,,,,,,,,,默认14,,,,首先，她不想将我牵扯进她的死因之中，因此没有选择直接联系我。,首先，她不想將我牽扯進她的死因之中，因此沒有選擇直接聯絡我。,"First, she didn't want to implicate me in her death, so she avoided contacting me directly.",まず、彼女は私を彼女の死因に巻き込まないため、直接連絡を取る選択をしなかった。,"Во-первых, она не хотела, чтобы люди посчитали, что я как-то связан с её смертью, поэтому не стала связываться со мной напрямую.",
,,,,,,,,,,默认15,,,,然后，她不想让景姨或是什么人猜出她的意图，因此便用了一些迂回的法子。,然後，她不想讓景姨或是什麼人猜出她的意圖，因此便用了一些迂迴的法子。,"Then, to prevent Aunt Jing or others from guessing her intentions, she employed more roundabout methods.",そして、景ばあや他の者に彼女の意図を悟られないよう、遠回しな手段を選んだのだ。,"Во-вторых, она не хотела, чтобы тётушка Цзин или ещё кто-нибудь догадался о её намерениях, поэтому действовала обходными путями.",
,,,,,,,,,,默认16,,,,《梁祝》是障眼法，是为遮掩“渡芦”这个只有我和她明白、因此心照不宣的地方。,《梁祝》是障眼法，是為遮掩“渡蘆”這個只有我和她明白、因此心照不宣的地方。,"""The Butterfly Lovers"" served as a smokescreen, hiding ""Dulu"" - a place only she and I understood, and thus silently acknowledged.",『梁祝』は目くらましだ。「渡芦」という私と彼女だけが知っているゆえに通じる場所を隠すためのものだ。,"""Влюблённые-бабочки"" - это лишь отвлекающий манёвр, призванный скрыть ""Дулу"" - название, о котором было бы понятно только нам с ней.",
,,,,,,,,,,默认17,,,,她想传达给我的并非是殉情的意图，而是想让我有一日拿到这本《梁祝》，察觉到结局被撕去的蹊跷之处，继而看到这个只有我们两个人知道的地点。,她想傳達給我的並非是殉情的意圖，而是想讓我有一日拿到這本《梁祝》，察覺到結局被撕去的蹊蹺之處，繼而看到這個只有我們兩個人知道的地點。,"Her message to me wasn't about suicidal love, but rather that I might someday obtain this copy of ""The Butterfly Lovers"", notice the suspiciously torn ending, and thereby find this place known only to us two.",彼女が私に伝えたかったのは情死という思いではなく、いつかこの『梁祝』を私が手にした時に結末が破り捨てられていることに違和感を抱き、私たちだけが知っている場所を見つけ出すことだった。,"Она собиралась донести до меня вовсе не намерение о любовном самоубийстве - её расчёт был на то, что я однажды достану эту книгу, обращу внимание на то, что последние страницы вырваны, и таким образом прочитаю название того заветного места.",
,,,,,,,,,,默认18,,,,是的！,是的！,Yes!,そうだ！,Точно!,
,,,,,,,,,,默认19,,,,一定是这样的……,一定是這樣的……,It must be this way...,きっとそうに違いない……,Её задумка определённо была в этом...,
,Se,撞击,,,,,,,,,,,,
,Wait,,,,,,0.3,,,,,,,
,Shake,Graphics,,x=30 y=40 time=0.4,,,,,PageWait,,,,,,,,,
