#SHEET_NAME,记-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_6,chapter_bg_J,chapter_title_J6,Liang,265,,,,,,,,,,,
,*map_ji_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_6,,,,,,,,,,,,,,,
,SetChapterName,记-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,方院,,,,,,,,,,,,,,,
,Ambience,室内沙沙,,,,,,,,,,,,,,,
,Param,money=10000
,AutoSave
,ImageEffect,SpriteCamera,GrayScale,,,,,,,,,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,Se,推门
,,,,,,,,,,默认1,,,,——吱呀。,——吱呀。,—Creak,――ギイ,*Скрип*
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认3,,,,我推开了方院的院门。,我推開了方院的院門。,I pushed open the gate of Fang's Courtyard.,腐った扉が耳障りな音を立てた。,Я распахнул ворота двора семьи Фан.
,,,,,,,,,,默认4,,,,荒芜。,荒蕪。,Desolate.,荒廃。,Запустение.
,,,,,,,,,,默认5,,,,破败。,破敗。,Dilapidated.,破損。,Разруха.
,,,,,,,,,,默认6,,,,一个荒芜的院子，三间破败的屋子。,一個荒蕪的院子，三間破敗的屋子。,A desolate courtyard with three dilapidated houses.,荒れた庭が一つに、おんぼろの家が三つ。,"Запустелый двор, три разрушенных здания."
,Se,风声,,,,,,,,,,,,,,,,
,,,,,,,,,,默认7,,,,——呼,——呼,--Huff--,――ヒュウ,*Фью*
,Se,纸张纷飞,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,一阵风吹卷而过，许多写满墨迹的纸张被骤然掀起，如同受惊的白色蝴蝶般上下翻飞。,一陣風吹卷而過，許多寫滿墨跡的紙張被驟然掀起，如同受驚的白色蝴蝶般上下翻飛。,"A gust of wind swept through, sending countless ink-stained papers fluttering upward like startled white butterflies.",一陣の風が吹き抜けると、墨で書きなぐられた多くの紙が舞い上がり、驚きで飛び立った白い蝶のように上下にひらひらと舞った。,"Просвистел ветер, и в воздух взвилось множество листов бумаги, испещрённых следами туши - словно стайка испуганных белых бабочек."
,,,,,,,,,,默认9,,,,我站在原地，抬起手，一张纸便飞到了我的手里。,我站在原地，抬起手，一張紙便飛到了我的手裡。,"I stood motionless, raised my hand, and caught a drifting sheet of paper.",その場で手を上げると、うち一枚が私の手に飛んできた。,"Стоя на месте, я протянул руку, и один из листков опустился в неё."
,,,,,,,,,,默认10,,,,我垂下眼眸查看。,我垂下眼眸查看。,I lowered my gaze to inspect it.,目を伏せ、何が書いてあるか確かめる。,"Опустив глаза, я взглянул на него."
,,,,,,,,,,默认11,,,,这纸上密密麻麻写的，都是我当年写给她、教她识字的诗文。,這紙上密密麻麻寫的、都是我當年寫給她、教她識字的詩文。,The page was crammed with poems I'd written for her years ago—the very ones I'd used to teach her to read.,紙には、かつて彼女に字を教えるために書いた詩がびっしりと書き込まれている。,"На листке плотным почерком были написаны стихи по обучению грамоте, которые я писал для неё в тот год."
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
