#SHEET_NAME,忆-第十二回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_12,chapter_bg_Y,chapter_title_Y12,Liang,265,,,,,,,,,,,
,*map_yi_12,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_12,,,,,,,,,,,,,,,
,SetChapterName,忆-第十二回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,茶舍忆昼,,,,,,,,,,,,,,,
,Bgm,青梅竹马,,,,0.2,3,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,AutoSave
,,翠儿,微笑,,,,0.6,,,默认1,,翠儿/26_翠儿_001,,[两位客官，要喝点啥？蜀冈、青叶、还是老六安？],[兩位客官，要喝點什麼？蜀岡、青葉、還是老六安？],"""Honored guests, what'll you have? <ruby=蜀冈>Shugang</ruby>, <ruby=青叶>Qingye</ruby>, or <ruby=老六安>Laoliu'an</ruby>?""",「お二人さん、飲み物は？<ruby=しょくがん>蜀岡</ruby>？青葉？それとも<ruby=ろうろくあん>老六安</ruby>？」,"""Гости дарагие, який чай извольте? Шуган, Цинъе или ж Лао Люань?"""
,,,,,,,,,,默认2,,,,浮光茶舍内，阳光透过竹帘细细筛下，在木桌上洒落一片斑驳光影。,浮光茶舍內，陽光透過竹簾細細篩下，在木桌上灑落一片斑駁光影。,"Sunlight sieved through bamboo blinds in Floating Light Teahouse, scattering mottled light across the wooden tables.",<ruby=ふこうちゃしゃ>浮光茶舎</ruby>にて。陽光が竹の簾越しに差し込み、卓にまだらな光と影を落としている。,"Свет пробивался через бамбуковые занавески прямо в чайную 'Свет над водой', расплываясь пятнами по деревянным столикам."
,,,,,,,,,,默认3,,,,一位名唤翠儿的少女提着铜壶走近，笑意盈盈地向我和林翩翩招呼。,一位名喚翠兒的少女提著銅壺走近，笑意盈盈地向我和林翩翩招呼。,"A girl named Cui'er approached with a coin kettle, beaming as she greeted Lin Pianpian and me.",翠児と呼ばれた少女が銅の壺を持ってこちらに近付き、微笑みながら私と翩翩に声をかけてきた。,"Девушка по имени Цуй'эр подошла к нам с медным чайником, радостно приветствуя нас."
,,方知宥,,,,,,,,默认4,,方知宥/26_方知宥_01,,[来点青叶绿茶就行。],[來點青葉綠茶就行。],"""Just some Qingye green tea will do.""",「青葉の緑茶でいいよ」,"""Цинъе, думаю, сойдёт."""
,,,,,,,,,,默认5,,,,我不假思索地答道。,我不假思索地答道。,I answered without hesitation.,私は迷うことなくそう答えた。,"Недолго думая, ответил я."
,,林翩翩约会,惊讶,,,,,,,默认6,,林翩翩/26_林翩翩_001,,[茶不贵吧？怎么收钱呀？],[茶不貴吧？怎麼收錢呀？],"""The tea isn’t expensive, is it? How do you charge?""",「お茶なんて安いものでしょ？どうしてわざわざお金を取るの？」,"""Чай же не дорогой? Какие у вас расценки?"""
,,翠儿,,,,,,,,默认7,,翠儿/26_翠儿_002,,[我们这一人一钱银子，您可以在这坐一下午，茶喝没了直接吆喝我一声就行……],[我們這一人一錢銀子，您可以在這坐一下午，茶喝沒了直接吆喝我一聲就行……],"""It’s one small silver per person here. You can stay all afternoon, and just call me to refill your tea when it runs out...""",「お一人一銭で午後いっぱい過ごせるの。飲み終わったら声をかけてね……」,"""Цянь серебра з чалавека. Вы можете сядець тута хоть целый день, а коль подлить чая трэба - просто позовите мя..."""
,,翠儿,恍然大悟,,,,,,,默认8,,翠儿/26_翠儿_003,,[哦！我还会和姐姐一起，给你们演影子戏！戏是白看的，不需要额外再给银两！],[哦！我還會和姐姐一起，給你們演影子戲！戲是白看的，不需要額外再給銀兩！],"""Oh! I can even perform a shadow play with my sister for you! The show's free! You don’t need to pay a single tael!""",「あっ！あと、お姉ちゃんと一緒に影絵芝居をしてあげられるよ！芝居は無料、追加のお代は必要ないから！」,"""А! Ишчо мы з сястричкой будем ставить теневой спектакль - так вот он бесплатный! Ваще ничаго платиць не трэба буде."""
,,林翩翩约会,开心,,,,,,,默认9,,林翩翩/26_林翩翩_002,,[好，我明白了……那我和他一样，也要绿茶吧。],[好，我明白了……那我和他一樣，也要綠茶吧。],"""Alright, I see... Then I’ll have the same as him, green tea.""",「そ、わかった……じゃああたしも同じで、緑茶にしようかな」,"""Поняла... Тогда я тот же чай буду, что и он."""
,,,,,,,,,,默认10,,,,林翩翩这才放心下似的，轻声说出了她想点的茶。,林翩翩這才放心下似的，輕聲說出了她想點的茶。,"Only then did Lin Pianpian seem to relax, murmuring her tea order.",林翩翩はようやく安心したように、注文したい茶を口にした。,"Только сейчас Линь Пяньпянь, похоже, расслабилась и тихо заказала чай."
,,林翩翩约会,微笑,,,,,,,,,,,
,,,,,,,,,,默认11,,,,嗯？,嗯？,Hm?,ん？,А?
,,,,,,,,,,默认12,,,,她和之前吃饭的时候不太一样，这次竟然仔细向翠儿询问了价格。,她林翩翩和之前吃飯的時候不太一樣，這次竟然仔細向翠兒詢問了價格。,"This Lin Pianpian was different from when we’d dined together before—this time, she actually asked Cui’er about the price in detail.",今日の翩翩はこの前食事した時と少し様子が違う。翠児に細かく値段を訊いている。,"Линь Пяньпянь вела себя иначе, чем в прошлый раз, когда мы ели - на этот раз она подробно расспрашивала Цуй'эр о цене."
,,,,,,,,,,默认13,,,,我见她这般小心，不由觉得有些意外。,我見她這般小心，不由覺得有些意外。,Her excessive caution made me unexpectedly surprised.,これほど慎重な彼女が少し意外だった。,Её настороженность удивила меня.
,,方知宥,,,,,,,,默认14,,方知宥/26_方知宥_02,,[怎么，你担心这里是个黑店？],[怎麼，你擔心這裡是個黑店？],"""What, you think this might be a shady establishment?""",「どうした？ぼったくりじゃないかって心配してるのか？」,"""Ты что, думаешь, что это какой-то притон, где гостей обманывают?"""
,,,,,,,,,,默认15,,,,我笑了笑，调侃般地对林翩翩问道。,我笑了笑，調侃般地對林翩翩問道。,"With a smile, I teased Lin Pianpian.",私は笑い、からかうように翩翩にそう訊いた。,С улыбкой подколол я её.
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
