#SHEET_NAME,记-第十一回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_11,chapter_bg_J,chapter_title_J11,Liang,265,,,,,,,,,,,
,*map_ji_11,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_11,,,,,,,,,,,,,,,
,SetChapterName,记-第十一回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,四艺堂小间,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Bgm,烟花风月,,,,0.2,3,,,,,,,,,,,
,AutoSave
,,苏怜烟
,Shake,Graphics,,x=100 y=60 time=0.4,,,,,PageWait,,,,,,,,,
,,良清兵,<Off>,,,,,,,默认1,,良/20_良_01,,[知宥。],[知幼。],"""Zhiyo.""",「知優」,"""Чжию."""
,,,,,,,,,,默认2,,,,朦胧中，我听见有人唤我名字。,朦朧中，我聽見有人喚我名字。,"Half-awake, I heard someone call my name.",朦朧とした意識の中、誰かが私の名を呼んだ。,"Я смутно услышал, как кто-то зовёт меня по имени."
,,,,,,,,,,默认3,,,,声音已入耳，意识却迟迟不愿回应。,聲音已入耳，意識卻遲遲不願回應。,"The voice reached my ears, but my mind refused to respond.",声は耳に届くが、頭がなかなか反応しようとしない。,"Голос доносился до моих ушей, но разум реагировать на него не хотел."
,,,,,,,,,,默认4,,,,我仍贪恋着方才所见——那间雅室、那张桌案、那个人。,我仍貪戀著方才所見——那間雅室、那張桌案、那個人。,"I still clung to the vision—that elegant room, that desk, that person.",私はつい先ほどまで見ていたものにしがみついていた――あの美しい部屋、あの卓、あの人に。,"Я всё ещё цеплялся за своё видение: та комната, тот стол, та девушка."
,,,,,,,,,,默认5,,,,我想一直看着她以漆扇轻掩胸前，温柔而神秘地微笑。,我想一直看著她以漆扇輕掩胸前，溫柔而神秘地微笑。,"I wanted to keep watching her, the lacquered fan coyly shielding her chest as she smiled with gentle mystery.",彼女が漆塗りの扇子を胸に当て、柔らかで謎めいた微笑みを浮かべているのを、ずっと見ていたかった。,"Я хотел продолжать смотреть на неё, на её круглый веер, который застенчиво прикрывал её грудь, и на её ласковую и загадочную улыбку."
,,,,,,,,,,默认6,,,,我愿永远沉溺于回忆之中，永远都不醒来。,我願永遠沉溺於回憶之中，永遠都不醒來。,"I wished to drown in those memories forever, never to wake again.",思い出にずっと溺れたまま、目覚めたくなかった。,Я хотел утонуть в этих воспоминаниях навсегда и больше никогда не очнуться от них.
,Shake,Graphics,,x=100 y=60 time=0.4,,,,,PageWait,,,,,,,,,
,,良清兵,<Off>,,,,,,,默认7,,良/20_良_02,,[喂！],[喂！],"""Hey!""",「おい！」,"""Э!"""
,,,,,,,,,,默认8,,,,声音提高了几分。,聲音提高了幾分。,The voice grew louder.,声が少し大きくなった。,Голос стал громче.
,,,,,,,,,,默认9,,,,我不想回到现实，因此即便听见，也固执地不作回应。,我不想回到現實，因此即便聽見，也固執地不作回應。,"I didn’t want to return to reality, so even after hearing it, I stubbornly refused to respond.",私は現実に戻りたくないあまり、どれだけその声が耳に入ろうと、頑なに返事をしなかった。,"Не желая возвращаться в реальность, я упрямо не отвечал."
,Shake,Graphics,,x=100 y=60 time=0.4,,,,,PageWait,,,,,,,,,
,,良清兵,<Off>,,,,,,,默认10,,良/20_良_03,,[喂！方知幼！],[喂！方知幼！],"""Hey! Fang Zhiyou!""",「おい！方知優！」,"""Э! Фан Чжию!"""
,,,,,,,,,,默认11,,,,声响更加急促，伴随一道迅疾的掌风迎面而来——,聲響更加急促，伴隨一道迅疾的掌風迎面而來——,"The sound grew more urgent, accompanied by a swift slap rushing toward my face—",声がさらに焦ったものになり、掌が顔に向かってくる風を感じる――,"Голос стал ещё настойчивее, и вслед за этим я почувствовал, как по воздуху в сторону моего лица резко летит чья-то ладонь:"
,Se,巴掌声,,,,,,,,,,,,
,,,,,,,,,,默认12,,,,——啪！,——啪！,—Smack!,――パン！,*Шмяк!*
,Shake,Graphics,,x=100 y=60 time=0.4,,,,,PageWait,,,,,,,,,
,Se,耳鸣,,,,,,,,,,,,
,StopBgm,,,,,,3,,,,,,,,,,,
,FadeOut,black,,eye,,,1,,,,,,,,,,,
,Bg,第一青楼2昼,,,,,,,,,,,,
,,良清兵,,,,,,,,,,,,
