#SHEET_NAME,如果
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,*map_if,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_if,,,,,,,,,,,,,,,
,SetChapterName,如果,,,,,,
,Bgm,死生别离,,,,0.2,2,,,,,,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,天空夜,,,,,,,,,,,,,,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,ScreenText,1,White,2,1.5,2,70,,,结语14
,FadeIn,black,,,,,1,,,,,,,,,,,
,CharacterOff,,,,,,1,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,如果1,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,Ink2,,Linear,,1,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认1,,,,崇祯七年，方知宥十岁之时，伯父病入膏肓。,崇禎七年，方知宥十歲之時，伯父病入膏肓。,"In the seventh year of Chongzhen's reign, when Fang Zhiyou was ten years old, his uncle fell gravely ill.",崇禎七年、方知宥が十歳のとき、叔父は末期の病に伏していた。,"В седьмой год правления Чунчжэня, когда Фан Чжию было десять лет, его дядя тяжело заболел."
,,,,,,,,,,默认2,,,,伯父躺在方园内一处卧房的檀香床上，因郎中说病人见不得风，需终日掩着窗，房内各处弥漫着药渣和腐朽的气味。,伯父躺在方園內一處臥房的檀香床上，因郎中說病人見不得風，需終日掩著窗，房內各處彌漫著藥渣和腐朽的氣味。,"His uncle lay on a sandalwood bed in a room within the Fang estate, as the doctor said the patient must not be exposed to wind and the windows had to be kept closed all day, filling the room with the scent of medicinal residue and decay.",叔父は方園のある寝室の沈香の床に横たわり、医者は病人は風に当ててはいけないと言って窓を一日中閉めさせ、部屋のあちこちには薬の残りかすと腐敗した匂いが漂っていた。,"Дядя лежал на сундуке из сандалового дерева в одной из спален Фан-юань; доктор сказал, что больному нельзя дышать ветром, поэтому окна должны были быть прикрыты весь день, и по комнате разносился запах лекарственного жмыха и гнили.",
,,,,,,,,,,默认3,,,,方知宥原本正与伯父闹别扭，然而，当目光落在伯父那似风中残烛、一日瘦过一日的身躯上时，一丝恻隐悄然漫上心头。,方知宥原本正與伯父鬧別扭，然而，當目光落在伯父那似風中殘燭、一日瘦過一日的身軀上時，一絲惻隱悄然漫上心頭。,"Fang Zhiyou had initially been at odds with his uncle, but when he saw his uncle's frail body, wasting away day by day like a candle in the wind, a sense of compassion quietly crept into his heart.",方知宥はもともと叔父と拗ねていたが、視線が風に揺れる残り火のように日に日に痩せ細る叔父の身体に落ちたとき、ふと哀れみが心に静かに広がった。,"Раньше Фан Чжию ссорился с дядей, но когда его взгляд упал на исхудавшее тело дяди, похожее на погасшую свечу на ветру, — изо дня в день всё более истощённое, — сердце его тихо наполнилось жалостью.",
,,,,,,,,,,默认4,,,,不管怎样——伯父毕竟是他的血脉至亲。,不管怎樣——伯父畢竟是他的血脈至親。,Regardless of how things stood—his uncle was after all his blood relative.,どうあれ――叔父は結局、血の繋がった親族である。,Как бы то ни было — дядя всё-таки был ему кровным родственником.,
,,,,,,,,,,默认5,,,,既然伯父愿意在他双亲亡故后负起责任照顾他，他也应当作出一些回报——加之听了苏连雁的一些劝告，他更加深了这一想法。,既然伯父願意在他雙親亡故後負起責任照顧他，他也應當作出一些回報——加之聽了蘇連雁的一些勸告，他更加深了這一想法。,"Since his uncle had taken on the responsibility of looking after him after his parents' passing, he too should give something back—in addition to some advice from Su Lianyan, he became more determined in this belief.",両親が亡くなった後に面倒を見てくれた叔父に、彼も何らかの恩返しをすべきだ――蘇連雁のいくつかの諭しを聞いて、彼はその思いをいっそう強めた。,"Раз уж дядя после смерти его родителей взял на себя заботу о нём, он тоже должен как‑то отплатить — да к тому же послушав несколько советов Су Ляньян, он ещё сильнее укрепился в этой мысли.",
,CharacterOff,,,,,,2,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,如果2,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,ReInk2,,Linear,,2,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认6,,,,于是，方知宥一连在伯父房里守了数月。,於是，方知宥一連在伯父房裡守了數月。,"Thus, Fang Zhiyou spent several months watching over his uncle.",それで、方知宥は数か月、叔父の部屋に続けて付き添った。,Так Фан Чжию несколько месяцев подряд сидел в комнате дяди.,
