#SHEET_NAME,记-第十八回一
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_18_1,chapter_bg_J,chapter_title_J18_1,Liang,265,,,,,,,,,,,
,*map_ji_18_1,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_18_1,,,,,,,,,,,,,,,
,SetChapterName,记-第十八回一,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,天空黄昏,,,,,,,,,,,,,,,
,Ambience,室外主风,TRUE,,,,,,,,,,,,,,
,Bgm,死生别离,,,,0.2,3,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,AutoSave
,,,,,,,,,,默认1,,,,黄昏时分，我走出了藏身之所，走在了扬州城西商街的街道上。,黃昏時分，我走出了藏身之所，走在了揚州城西商街的街道上。,"At dusk, I emerged from hiding and walked along Shanxi Merchants Street in Yangzhou City.",黄昏時。私は隠れ家を抜け出し、揚州の商人街の街道を歩いていた。,С наступлением сумерек я вышел из своего укрытия и пошёл по янчжоуской улице западных торговцев.
,,,,,,,,,,默认2,,,,三声炮响响彻天际，林翩翩曾说过，那是妖兵封刀的号令。,三聲炮響響徹天際，林翩翩曾說過，那是妖兵封刀的號令。,Three cannon blasts resounded across the sky. Lin Pianpian once said that was the signal for the demon soldiers to sheathe their blades.,三度の砲声が天に轟いた。林翩翩いわく、妖兵たちが虐殺を止める号令だ。,"Три пушечных выстрела разразились в небе - Линь Пяньпянь говорила, что это знак для яогуаев о прекращении резни."
,,,,,,,,,,默认3,,,,此时此刻，大约已是二十九日了。,此時此刻，大約已是二十九日了。,"By now, it was likely already the 29th day.",今はおそらく二十九日だ。,Уже наступило двадцать девятое число.
,,,,,,,,,,默认4,,,,自二十五日城破以来，整整五日的屠戮，终于在这一声号令下，暂时告一段落。,自二十五日城坡以來，整整五日的屠戮，終於在這一聲號令下，暫時告一段落。,"After five days of slaughter since the city's fall on the 25th, this signal finally brought a temporary pause.",二十五日に町が陥落してから、丸々五日間虐殺が行われた。この号令によって、ようやくのひと段落だ。,"Пятидневная резня, начавшаяся с падения города двадцать пятого числа, наконец-то прекратилась - эти три выстрела принесли долгожданную передышку."
,,,,,,,,,,默认5,,,,那位“仁慈”的“金翅大鹏王”在纵容手下屠城五日后，终于下达了“封刀”的命令。,那位“仁慈”的“金翅大鵬王”在縱容手下屠城五日後，終於下達了“封刀”的命令。,"That ""merciful"" ""Golden Eagle King"", having allowed his troops five days of carnage, finally issued the ""sword sheathed"" command.",かの「慈悲深き」金翼鵬王は配下たちに五日間の虐殺を許し、ついに「封刀令」を下した。,"Этот ""милосердный"" Великий Златокрылый Кондор, который разрешал своим войскам бесчинствовать пять дней, наконец-то приказал ""вложить меч в ножны""."
,,,,,,,,,,默认6,,,,随后，他将携着掠来的金银、女子与所谓的“战功”，挥师东去，奔赴下一个地方。,隨後，他將攜著掠來的金銀、女子與所謂的“戰功”，揮師東去，奔赴下一個地方。,"With the plundered gold, silver, women, and so-called ""military glory"", he then led his troops eastward to their next conquest.",その後、彼は奪った金銀や女などの「戦功」を携えて軍を東に進め、次の場所へと向かう。,"Вскоре он, унося с собой награбленные золото и серебро, женщин и так называемые ""боевые заслуги"", поведёт войско на восток, снова грабить и завоёвывать."
,FadeOut,black,,wipe_left,,,1,,,,,,,,,,,
,Bg,扬州西商街黄昏,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,,,,,,,,,,默认7,,,,……,……,...,……,...
,,,,,,,,,,默认8,,,,我独自走在西商乔承望这一带的街上。,我獨自走在西商喬承望這一帶的街上。,I walked alone through Qiao Chengwang's Shanxi Merchants quarter.,一人で喬承望の屋敷のある一帯を歩いていた。,В одиночестве я прошёл мимо усадьбы западного торговца Цяо Чэнвана.
,,,,,,,,,,默认9,,,,冷风吹卷起我单薄的衣衫，寒意透骨。,冷風吹捲起我單薄的衣衫，寒意透骨。,"The icy wind tore at my threadbare garments, piercing me to the marrow.",冷たい風が薄い衣をばたつかせる。骨に染みる寒さだ。,"Ледяной ветер продувал мою изношенную одежду, пронизывая меня до костей."
