#SHEET_NAME,记-第十七回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_17,chapter_bg_J,chapter_title_J17,Liang,265,,,,,,,,,,,
,*map_ji_17,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_17,,,,,,,,,,,,,,,
,SetChapterName,记-第十七回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,藏身处夜,,,,,,,,,,,,,,,
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,Ambience,室内沙沙
,Bgm,曲终人散,,,,0.2,3,,,,,,,,,,,
,,方知宥,,,,,,,,默认1,,方知宥/31_方知宥_01,,[呼……呼……],[呼……呼……],"""Huff... Huff...""",「はあ……はあ……」,"""Ха-а... Ха-а..."""
,,,,,,,,,,默认2,,,,我大口喘着气，瞪大眼睛，胸膛剧烈起伏，如同是猛地被捞上岸的鱼，徒劳地挣扎在窒息的边缘。,我大口喘著氣，瞪大眼睛，胸膛劇烈起伏，如同是猛地被撈上岸的魚，徒勞地掙扎在窒息的邊緣。,"Gasping for breath, eyes wide, chest heaving violently, I was like a fish hauled ashore, flailing futilely on the edge of suffocation.",釣り上げられた魚が、息ができず岸でもがき苦しむように、息を荒げ、目を見開き、激しく胸を上下させる私。,"Вытаращив глаза, я тяжело дышал, в груди отдавало острой болью - я был словно выброшенная на берег рыба, отчаянно пытающаяся не задохнуться."
,,方知宥,,,,,,,,默认3,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认4,,,,随后，我痛苦地闭上眼，再艰难睁开，费力地看清周围的一切。,隨後，我痛苦地閉上眼，再艱難睜開，費力地看清周圍的一切。,"Then, I shut my eyes in agony, only to wrench them open again, laboring to comprehend my surroundings.",その後、苦痛に目をつぶり、なんとかして周りの様子を確かめようと、再び無理やり開いた。,"Затем я болезненно закрыл глаза, снова их распахнул и с трудом оглядел всё вокруг."
,,,,,,,,,,默认5,,,,回过神后，冷汗已浸透了后背的衣衫，黏腻地贴在皮肤上。,回過神後，冷汗已浸透了後背的衣衫，黏膩地貼在皮膚上。,"When I regained awareness, cold sweat had drenched my shirt, clinging to my skin like a second layer.",意識が戻ると、冷や汗べったりと服の背を濡らし、肌に貼りついていた。,"Придя в себя, я обнаружил, что холодный пот пропитал одежду у меня на спине, от чего та прилипла к моей коже."
,,,,,,,,,,默认6,,,,方才，我又一次被拽回了过去。,方才，我又一次被拽回了過去。,"Once again, I was dragged back into the past.",先ほどまで、また意識が過去に持っていかれていた。,Меня в очередной раз вытянуло назад из прошлого.
,,,,,,,,,,默认7,,,,这次的记忆，比以往任何一次都更锥心刺骨。,這次的記憶，比以往任何一次都更錐心刺骨。,This memory cut deeper than any before.,今回の記憶は、これまでのどれよりも胸に刺さる苦しみだった。,"На этот раз воспоминания были куда более мучительными, чем когда-либо."
,,林翩翩,<Off>,,,,1,,,默认11,,林翩翩/31_林翩翩_001,,[知宥，你怎么了？还好吗？],[知宥，你怎麼了？還好嗎？],"""Zhiyou, what's wrong? Are you alright?""",「知宥、どうしたの？大丈夫？ 」,"""Чжию, что с тобой? Ты в порядке?"""
,,,,,,,,,,默认12,,,,突然，我的耳边响起了一位女子急切的问候之声。,突然，我的耳邊響起了一位女子急切地問候之聲。,"Suddenly, a woman's urgent voice pierced my ears.",突然、慌てて問いかける女の声が耳元で聞こえた。,Вдруг прозвучал в моих ушах обеспокоенный женский голос.
,,,,,,,,,,默认13,,,,她的喊声中带着焦急、担忧、悲伤的情绪。,她的喊聲中帶著焦急、擔憂、悲傷的情緒。,"Her cry brimmed with anxiety, worry, and grief.",焦り、心配、悲しみといった感情がその声に内包されている。,"Этот крик был наполнен волнением, тревогой и печалью."
,,方知宥,,,,,,,,默认14,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认15,,,,我侧过头，用浑浊的目光看向喊声的来源——,我側過頭，用渾濁的目光看向喊聲地來源——,I turned my head and gazed blearily toward the source of the voice—,私は光のない目で声の方へと振り向いた――,"Повернув голову, я мутным взглядом посмотрел на источник крика:"
,,林翩翩约会,疲惫,,,,2,,,,,,,
,,？？？,,,,,,,,默认16,,,,[……],[……],"""...""",「……」,"""..."""
