#SHEET_NAME,记-第十八回四
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_18_4,chapter_bg_J,chapter_title_J18_4,Liang,265,,,,,,,,,,,
,*map_ji_18_4,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_18_4,,,,,,,,,,,,,,,
,SetChapterName,记-第十八回四,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,东关街关口,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,,王生逃难,疑惑
,,方知宥,,,,,,,,默认1,,方知宥/35_方知宥_01,,[我估计会继续留在扬州吧。],[我估計會繼續留在揚州吧。],"""I think I'll stay in Yangzhou.""",「私はたぶん、このまま揚州に残ると思う」,"""Наверно, пока что останусь в Янчжоу."""
,,,,,,,,,,默认2,,,,我望向王生，说出了我的选择。,我望向王生，說出了我的選擇。,I looked at Scholar Wang and told him my decision.,王に自分の選択を告げた。,"Глядя на учёного Вана, я озвучил своё решение."
,,,,,,,,,,默认3,,,,风吹过废墟，卷起几片残叶，在空中打了几个旋，又落回焦黑的土里。,風吹過廢墟，捲起幾片殘葉，在空中打了幾個旋，又落回焦黑的土裡。,"The wind swept through the ruins, lifting a few withered leaves that spiraled in the air before settling back into the scorched earth.",廃墟を風が抜けて落ち葉が舞い上がり、空中でくるりと回ったかと思うと、再び焦げた土に落ちる。,"Ветер пронёсся по руинам, поднимая несколько увядших листьев, которые, закружившись в воздухе, снова упали на выжженную землю."
,,王生逃难,通常,,,,,,,默认4,,,,[……],[……],"""...""",「……」,"""..."""
,,王生逃难,苦笑,,,,,,,默认5,,王生/35_王生_01,,[好啊！留在扬州好！虽然如今这里遍地是废墟和尸骸，但总会好起来的……只要我们活着，一切都会变好……],[好啊！留在揚州好！雖然如今這裡遍地是廢墟和屍骸，但總會好起來的……只要我們活著，一切都會變好……],"""Sure! Staying in Yangzhou is good! Though now this place is nothing but ruins and corpses... things will get better... as long as we're alive, everything will improve...""",「そうか！残ってくれるか！今は廃墟と死体ばかりだが、いつか良くなる……生きてさえいれば、すべて良くなるさ……」,"""Вот и отлично! В Янчжоу, конечно, кроме руин и трупов ничего не осталось... но всё наладится... пока мы живы, дела рано или поздно пойдут лучше."""
,,,,,,,,,,默认6,,,,王生的声音有些沙哑，却带着一丝久违的生气。,王生的聲音有些沙啞，卻帶著一絲久違的生氣。,"Scholar Wang's voice was hoarse, yet carried a hint of long-lost vitality.",かすれていたが、久方ぶりの生気を感じる声だった。,"Его голос был хриплым, но в нём слышалась нотка давно забытой энергии."
,,,,,,,,,,默认7,,,,他伸出手，轻轻拍了拍我的肩，仿佛想借这个动作，把某种微弱的希望也传递给我。,他伸出手，輕輕拍了拍我的肩，彷彿想借這個動作，把某種微弱的希望也傳遞給我。,"He reached out and gently patted my shoulder, as if trying to convey some faint hope through that gesture.",彼は手を伸ばしてぽんぽんと私の肩を叩いた。その仕草で、微かな希望を私に移そうとしているかのように。,"Протянув руку, он слегка похлопал меня по плечу, словно пытаясь этим жестом вселить в меня надежду."
,,方知宥,,,,,,,,默认8,,,,[……],[……],"""...""",「……」,"""..."""
,,王生逃难,低落垂眸,,,,,,,,,,,
,,,,,,,,,,默认9,,,,我沉默地点了点头，牵强地笑了笑。,我沉默地點了點頭，牽強地笑了笑。,I nodded silently and forced a smile.,私は黙って頷き、無理やり笑顔を作った。,"Натянув улыбку, я молча кивнул."
,,,,,,,,,,默认10,,,,这样的动作和神态，既不算是赞同王生的观点，更不算是直接反对。,這樣的動作和神態，既不算是贊同王生的觀點，更不算是直接反對。,Such actions and expressions neither fully endorsed Scholar Wang's views nor directly opposed them.,この仕草と表情は王の考えに賛同しているわけではない。しかし反対を示すものでもなかった。,"Из-за такого жеста было трудно понять, соглашался ли я с его взглядами, либо же нет."
,,,,,,,,,,默认11,,,,倒像是一种麻木的顺从、接受、以及安慰。,倒像是一種麻木的順從、接受、以及安慰。,"Rather, they resembled numb compliance, acceptance, and consolation.",どちらかと言うと、麻痺した従順さ、受容、そして慰めに近い。,"Скорее это было что-то вроде оцепенелого повиновения, принятия и попытки утешить."
,,王生逃难,,,,,,,,默认12,,,,[……],[……],"""...""",「……」,"""..."""
,,方知宥,通常,,,,,,,默认13,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认14,,,,继而，我们很久都没有再说话。,繼而，我們很久都沒有再說話。,"Afterward, we remained silent for a long while.",その後、しばらく二人とも口を開かなかった。,После этого мы какое-то время молчали.
,,,,,,,,,,默认15,,,,只有风声在我们耳边低吟，捎来了许多亡魂的叹息。,只有風聲在我們耳邊低吟，捎來了許多亡魂的嘆息。,"Only the wind whispered in our ears, carrying the sighs of countless lost souls.",聞こえたのは、数多の亡魂の嘆息を運ぶような風の唸りだけだった。,Лишь ветер нашёптывал вздохи бесчисленных заблудших душ нам на ухо.
,,,,,,,,,,默认16,,,,——呼,——呼,--Huff--,――ヒュウ,*Вжух.*
,,,,,,,,,,默认17,,,,混杂着焦土、血腥与潮湿气味的风吹过废墟，扬起了细小而灰黑的尘埃，也扬起了我和王生凌乱的发丝和破损的衣袍。,混雜著焦土、血腥與潮濕氣味的風吹過廢墟，揚起了細小而灰黑的塵埃，也揚起了我和王生凌亂的髮絲和破損的衣袍。,"The wind, mingled with scents of scorched earth, blood, and dampness, swept through the ruins, lifting fine gray-black dust along with the disheveled hair and tattered robes of Scholar Wang and myself.",焦げ付いた土と血、そして湿気の混ざった風が廃墟に吹き、黒っぽい埃を巻き上げ、私と王の乱れた髪やぼろぼろの服を翻した。,"Смешав в себе запахи выжженной земли, крови и сырости, ветер пронёсся по руинам, вздымая крошки серо-чёрной пыли вместе с нашими с учёным Ваном растрёпанными волосами и рваной одеждой."
,CharacterOff,,,,,,0.6,,,,,,,
,,,,,,,,,,默认18,,,,……,……,...,……,...
,Bgm,繁华落尽,,,,0.2,3,,,,,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认19,,,,是啊。,是啊。,Yeah.,そうだ。,Да.
,,,,,,,,,,默认20,,,,至少我们活下来了。,至少我們活下來了。,At least we survived.,少なくとも、私たちは生きている。,"По крайней мере, мы выжили."
,,,,,,,,,,默认21,,,,至于今后的生活是否会越来越好。,至於今後的生活是否會越來越好。,As for whether life would improve hereafter...,今後の暮らしがよくなるかどうかなんて。,"Пока мы живы, пойдут ли дела лучше..?"
,,,,,,,,,,默认22,,,,谁知道？,誰知道？,Who could say?,誰がわかるものか。,Кто знает...
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认23,,,,……,……,...,……,...
,FadeOut,black,,wipe_up,,,1,,,,,,,,,,,
,Bg,天空阴,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_down,,,1,,,,,,,,,,,
,Bgm,死生别离,,,,3,3,,,,,,,,,,,
,,,,,,,,,,默认24,,,,我和王生交谈了一会儿后，告诉他我需要再考虑几日，才能决定是否能帮他改写《扬州十日记》。,我和王生交談了一會後，告訴他我需要再考慮幾日，才能決定是否能幫他改寫《揚州十日記》。,"After conversing with Scholar Wang, I told him I needed several more days to consider whether I could help him revise ""Ten Days of Yangzhou"".",王としばらく話した後、彼の『揚州十日記』の編集の件ついては、決めるまでもう少し考えさせてほしいと告げた。,"Поговорив с учёным Ваном, я сказал ему, что мне нужно пару дней, чтобы обдумать, смогу ли я помочь ему с редактурой книги."
,,,,,,,,,,默认25,,,,随后，我独自在扬州城中漫无目的地行走着。,隨後，我獨自在揚州城中漫無目的地行走著。,"Afterward, I wandered aimlessly through Yangzhou alone.",それから私は一人で揚州の町をあてもなくぶらぶらと歩き回った。,После этого я просто бродил по Янчжоу без какой-то определённой цели.
,FadeOut,black,,wipe_down,,,1,,,,,,,,,,,
,Bg,东关街巷口,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_up,,,1,,,,,,,,,,,
,Se,走石堆上,,,,,,,,,,,,
,,,,,,,,,,默认26,,,,脚下的碎石不时发出细碎的声响，仿佛每一步都踩在往日的记忆上。,腳下的碎石不時發出細碎的聲響，彷彿每一步都踩在往日的記憶上。,"The rubble beneath my feet crunched faintly with each step, as if treading upon memories of bygone days.",時折、踏んづけた小石が砕ける音が響く。一歩一歩過去の記憶を歩んでいるような気分になった。,"С каждым шагом под ногами тихо хрустел щебень, словно я шёл по воспоминаниям о былых днях."
,,,,,,,,,,默认27,,,,我想要回东城区，想要回方院看看，想要回那个所谓的“家”。,我想要回東城區，想要回方院看看，想要回那個所謂的“家”。,"I want to go back to the East District, to see Fang's Courtyard again, to return to that so-called ""home"".",東城区に戻りたい。方院を見に行きたい。あの「家」に帰りたい。,"Я пошёл в Восточный квартал, чтобы взглянуть на двор семьи Фан и, можно сказать, вернуться в так называемый ""дом""."
,,,,,,,,,,默认28,,,,不过，有件事说起来让人觉得哭笑不得，可谓是又悲伤又好笑。,不過，有件事說起來讓人覺得哭笑不得，可謂是又悲傷又好笑。,Yet there’s something oddly bittersweet about this—both tragic and laughable in equal measure.,しかし笑うに笑えず、泣こうにも泣けない事実がある。,"Но в итоге вышло нечто, от чего хотелось не то плакать, не то смеяться - что-то до странности трагикомичное."
,,,,,,,,,,默认29,,,,如今，东城区太多的房屋都被烧毁了，许多地方都是黑漆漆的连成一片……,如今，東城區太多的房屋都被燒毀了，許多地方都是黑漆漆的連成一片……,"Now, too many houses in the East District lie burned to the ground, vast stretches of blackened ruins...",今や東城区のほとんどの家は焼け落ち、大部分が消し炭の並んだ塊になってしまっている……,"В Восточном квартале большинство домов сгорели дотла, оставив после себя лишь пепелища."
,,,,,,,,,,默认30,,,,焦木残垣，断壁颓墙，曾经的街巷面目全非。,焦木殘垣，斷壁頹牆，曾經的街巷面目全非。,Charred beams and crumbling walls—the streets I once knew are now unrecognizable.,焼け焦げた柱に崩れた壁、かつての面影は残っていなかった。,"Обугленные балки и обрушивающиеся стены - улицы, которые я когда-то знал, теперь выглядели совсем иначе."
,,,,,,,,,,默认31,,,,于是，我兜兜转转，竟在这个生活了近十年的街区迷了路。,於是，我兜兜轉轉，竟在這個生活了近十年的街區迷了路。,"So I wandered in circles, only to get lost in the very neighborhood I’d lived in for nearly ten years.",そのせいで、私はぐるぐると辺りをうろついていた。よもや十年近く過ごした町で道に迷うことになるとは。,"И так я бродил кругами, пока в итоге не заблудился в своём же районе, где прожил почти десять лет."
,,,,,,,,,,默认32,,,,……,……,...,……,...
,,民众甲,<Off>,,,,,,,默认33,,民众甲/35_民众甲_01,,[是他没错！就是他带着那些兵来我家的！害得我爹被杀了！婆娘也被掳走了！],[是他沒錯！就是他帶著那些兵來我家的！害得我爹被殺了！婆娘也被擄走了！],"""It’s him, no doubt! He was the one who led those soldiers to my house! Got my father killed! Even my wife was taken captive!""",「間違いなくあいつだ！あいつが兵どもをうちに連れてきたんだ！あいつのせいで、父ちゃんは殺され、女房が連れて行かれたんだ！」,"""Эт он, точно говорю! Это он привёл ту солдатню к моему дому! Из-за него погиб мой батёк и даже жену в плен взяли!"""
,,民众乙,<Off>,,,,,,,默认34,,民众乙/35_民众乙_01,,[这狗贼该死！我们打死他！打死他！],[這狗賊該死！我們打死他！打死他！],"""This damned traitor deserves to die! Let's beat him to death! Kill him!""",「この賊徒め！ぶち殺してやる！やっちまえ！」,"""Эта мразь предательская должна сдохнуть! Убьём же его! Убьём!"""
,,方知宥,,,,,,,,默认35,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认36,,,,我走着走着，突然听到了远处传来喧闹的声音。,我走著走著，突然聽到了遠處傳來喧鬧的聲音。,"As I walked along, I suddenly heard clamoring in the distance.",歩いていると、遠くから騒がしい声が聞こえてきた。,По пути я внезапно услышал шум впереди.
,,,,,,,,,,默认37,,,,循声望去，几个人正围着一个人拳打脚踢。,循聲望去，幾個人正圍著一個人拳打腳踢。,"Following the noise, I saw several people surrounding and kicking someone.",ふと見ると、数人が一人を取り囲み、袋叩きにしている。,"Пойдя на него, я увидел, как несколько человек, окружив кого-то, пинали его."
,,,,,,,,,,默认38,,,,狗贼？他们在打谁？,狗賊？他們在打誰？,The damned traitor? Who were they beating?,賊徒？いったい誰を殴っているのだ？,Мразь предательская? Кого они там бьют?
,,方知宥,,,,,,,,默认39,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认40,,,,我好奇地凑近了看。,我好奇地湊近了看。,"Curious, I moved in for a closer look.",気になって近付いてみることにした。,"Из любопытства я подошёл поближе, чтобы посмотреть."
,,,,,,,,,,默认41,,,,那些人踩在脚下踢打的，似乎是我的一个熟人。,那些人踩在腳下踢打的，似乎是我的一個熟人。,The person being kicked and trampled beneath their feet seemed familiar to me.,彼らが足蹴にしているのは、どうも私の知り合いのようだった。,"Человек, которого они били ногами, показался мне знакомым."
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认42,,,,是老林头。,是老林頭。,It was Old Man Lin.,林老人だ。,Это был старик Линь.
,,,,,,,,,,默认43,,,,我想，大抵是因为他在城破后当了向导，把妖兵往一些扬州城民的藏身处去引，害死了不少人。,我想，大抵是因為他在城破後當了嚮導，把妖兵往一些揚州城民的藏身處去引，害死了不少人。,"I figured it was probably because after the city fell, he became a guide, leading the demon soldiers to Yangzhou residents' hiding places and getting many killed.",町が陥落した後、彼が妖兵の案内役を買って出て、揚州の民の隠れ場所へと導いたせいで、多くの者を死なせたのだろう。,"Можно было догадаться, что били его за то, что после падения города он стал проводником, показывая яогуаям укрытия местных, в результате чего многие из них были убиты."
,,,,,,,,,,默认44,,,,他被称为奸细并不算被冤枉，而是事实如此。,他被稱為奸細並不算被冤枉，而是事實如此。,He wasn't wrongly accused of being a spy—it was simply the truth.,彼が連中の回し者と呼ばれるのも別に濡れ衣ではなく、事実そのものだった。,Они так-то были правы - он и правда был предательской мразью.
,,,,,,,,,,默认45,,,,如今，他被这样打骂，也算是报应来了。,如今，他被這樣打罵，也算是報應來了。,"Now that he's being beaten and cursed like this, it's just retribution.",そんな彼が今ではあのざまだ。報いが返ってきたといったところだろう。,"И то, что они избивают его - было достойной платой за его грехи."
,,,,,,,,,,默认46,,,,……,……,...,……,...
