#SHEET_NAME,记-第八回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_8,chapter_bg_J,chapter_title_J8,Liang,265,,,,,,,,,,,
,*map_ji_8,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_8,,,,,,,,,,,,,,,
,SetChapterName,记-第八回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,西商仓库关,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Bgm,雨井烟垣_可循环,,,,0.2,3,,,,,,,,,,,
,AutoSave
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认1,,,,在后仓的时候，我一共做了两个梦。,在後倉的時候，我一共做了兩個夢。,Two visions came to me during my watch at Back Warehouse.,倉庫で、二つの夢を見た。,На складе мне приснилось два сна.
,,,,,,,,,,默认2,,,,第一个梦使我回到过去，重新忆起当年初探二十四桥时的那一夜。,第一個夢使我回到過去，重新憶起當年初探二十四橋時的那一夜。,The first dream hurled me backward—to that long-ago night when I first tread the planks of Twenty-Four Bridges.,一つ目は、初めて二十四橋へ行った晩のことを思い起こさせるものだ。,"Первый перенёс меня в давнюю ночь, когда я впервые ступил в район Двадцать четвёртого моста."
,,,,,,,,,,默认3,,,,梦中，我将无家可归的林翩翩带回方院，与她同宿左屋，灯下闲话直至烛灭。,夢中，我將無家可歸的林翩翩帶回方院，與她同宿左屋，燈下閒話直至燭滅。,"In the dream, I brought the homeless Lin Pianpian back to Fang's Courtyard, sharing the Left Chamber with her as we talked by lamplight until the candle burned out.",その夢で、私は帰る場所のない林翩翩を方院へ連れ帰り、左の傍屋で横になり、灯りが消えるまで語り合った。,"Там я привёл Линь Пяньпянь к себе домой, где мы вместе переночевали в левом флигеле, разговаривая до тех пор, пока не погас фонарь."
,,,,,,,,,,默认4,,,,这之后，记忆中的我沉沉入睡——梦中的我竟堕入了二重梦。,這之後，記憶中的我沉沉入睡——夢中的我竟墮入了二重夢。,"Afterward, the version of me in the memory fell into a deep slumber——The dreaming me then descended into a second-layer dream.",その後、記憶の私は眠りにつき――夢の中で二重夢を見た。,"Затем я, находившийся в воспоминаниях, сам погрузился в сон - в сон внутри сна."
,,,,,,,,,,默认5,,,,在这一重梦里，我独自跋涉于漆黑无光的街巷，四周不断涌来纷杂声响：,在這一重夢裡，我獨自跋涉於漆黑無光的街巷，四周不斷湧來紛雜聲響：,"In this layered dream, I trudged alone through pitch-black alleyways, surrounded by a cacophony of sounds:",そこでは、一人で真っ暗闇の道を歩いており、あたりから様々な雑音が聞こえていた。,"Во втором сне я пробирался через переулки, окутанные непроглядной тьмой, а со всех сторон доносилась мешанина из звуков:"
,Se,不密集哀嚎,,,,,,,,,,,,,,
,,,,,,,,,,默认6,,,,有刀劈斧砍的声音，有男人们的惨叫声，也有女人们的啜泣声，最后是妖兵与一些女人宴饮谈笑的声音。,有刀劈斧砍的聲音，有男人們的慘叫聲，也有女人們的啜泣聲，最後是妖兵與一些女人宴飲談笑的聲音。,"The clash of blades and axes, men's agonized screams, womenfolk's sobs, and finally, demon soldiers feasting and laughing with some women.",剣や斧が叩きつけられる音、男たちの叫び声、女たちのすすり泣き、そして最後は、妖兵と数人の女たちが宴でわいわいと笑い合う声。,"Лязг мечей и топоров, крики мужчин, плач женщин и, наконец, звуки того, как яогуаи-солдаты с какими-то женщинами пируют и веселятся."
,,,,,,,,,,默认7,,,,我在黑暗中奋力奔跑，想要逃开这些声音，却发现随着步伐地加快、我逐渐变成了王生。,我在黑暗中奮力奔跑，想要逃開這些聲音，卻發現隨著步伐地加快、我逐漸變成了王生。,"I ran desperately through the darkness, trying to escape these sounds—only to realize that as my pace quickened, I gradually became Scholar Wang.",私はそれらの音を振り切ろうと、暗闇の中を全力で走った。しかし足を早めるにつれ、だんだん王書生になっていくことに気が付いた。,"Я отчаянно нёсся через тьму, пытаясь сбежать от этих звуков. Но тут я обнаружил, что по мере ускорения шагов постепенно становлюсь учёным Ваном."
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认8,,,,……,……,...,……,...
,FadeOut,black,,square,,,1,,,,,,,,,,,
,BgEvent,王生梦1,,,,,1,,,,,,,,,
,FadeIn,black,,square,,,1,,,,,,,,,,,
,,,,,,,,,,默认9,,,,王生原本也在后厅的人群里。,王生原本也在後廳的人群裡。,Scholar Wang was among the crowd in the Back Hall.,王も奥の間の人々の中にいた。,Учёный Ван изначально тоже был среди стоявших в заднем зале.
,,,,,,,,,,默认10,,,,他眼见妖兵一直戏弄和为难后厅的男人，越想越担惊受怕，恐惧如冰水般浸透骨髓。,他眼見妖兵一直戲弄和為難後廳的男人，越想越擔驚受怕，恐懼如冰水般浸透骨髓。,"He watched the demon soldiers torment the men in the Back Hall, his dread mounting with each moment, fear seeping into his bones like icy water.",妖兵が奥の間の男たちを弄び苦しめる様子を見て、あれこれ考えるほど背筋が凍るような恐怖に駆られていた。,"От вида того, как яогуаи насмехались и издевались над мужчинами в заднем зале, с каждой секундой ужас всё глубже проникал в него, обвивая холодом кости."
,,,,,,,,,,默认11,,,,那妖兵拔出刀，喊着“蛮子过来！”，用刀背拍击着被绑缚在地的男人们，仿佛要将众人尽皆杀死。,那妖兵拔出刀，喊著“蠻子過來！”，用刀背拍擊著被綁縛在地的男人們，彷彿要將眾人盡皆殺死。,"The demon soldier drew his blade, shouting ""Barbarian! Get over here!"", striking the bound men with the flat of his sword, as if bent on slaughtering them all.",妖兵が剣を抜き、「こっちへ来い」と叫び、剣の背で縛られている男たちを殴りつける。これから皆殺しにすると宣言するかのように。,"Яогуай-солдат, обнажив оружие, кричал ""южное отребье, к ноге!"", бил связанных мужчин мечом плашмя - похоже, он собирался их всех прикончить."
,BgEvent,王生梦2,,,,,1,,,,,,,,,
,,,,,,,,,,默认12,,,,王生觉得自己快要死了，觉得死亡已逐渐迫近，再无希望——,王生覺得自己快要死了，覺得死亡已逐漸迫近，再無希望——,"Scholar Wang felt death closing in, certain his end was near, with no hope left——",王は自分がもうすぐ死ぬのだと――死が間近に迫り、もはや希望はないのだと悟った。,"Учёный Ван, совсем отчаявшись, уже чувствовал, как к нему приближается смерть."
,,,,,,,,,,默认13,,,,这时，他突然发现自己的掌心中多了一片冰凉锋锐之物——不知何人于混乱中递来的刀片。,這時，他突然發現自己的掌心中多了一片冰涼鋒銳之物——不知何人於混亂中遞來的刀片。,"Then, he suddenly felt something cold and razor-sharp materialize in his palm——A razor blade slipped to him by some unknown hand amid the chaos.",その時、自分の手の中に冷たく鋭い何かがあることに気が付いた――誰から混乱に紛れて誰かが小刀を渡してくれたのだと。,"Но внезапно в его ладони оказалось нечто холодное и острое - лезвие бритвы, незаметно вложенное кем-то посреди всего этого хаоса."
,,,,,,,,,,默认14,,,,真是如有神助！,真是如有神助！,"Divine aid, it seemed!",まさに天からの恵みだ！,"Помощь свыше, не иначе!"
,,,,,,,,,,默认15,,,,王生心中感叹，很快便当机立断，用刀片切割开绑住双手的绳子。,王生心中感嘆，很快便當機立斷，用刀片切割開綁住雙手的繩子。,Scholar Wang's heart surged with gratitude—then resolve. He sawed through his bindings with the razor blade.,王は心の中で感動すると、すぐに腹を決め、その小刀で縛られている両手の縄を切った。,"Учёный Ван вздохнул про себя с облегчением, после чего решительно начал резать верёвки лезвием бритвы."
,,,,,,,,,,默认16,,,,脱缚后，他原想将刀片递给相熟的人，一个是我——方知宥，一个便是他的二哥。,脫縛後，他原想將刀片遞給相熟的人，一個是我——方知宥，一個便是他的二哥。,"Freed, he meant to pass the blade to familiar faces—first me——Fang Zhiyou, then his Second Brother.",拘束から抜け出すと、その小刀を顔見知りにも渡そうと考えた。一人は私――方知宥。そしてもう一人は、彼の次兄だ。,"Освободившись, он решил передать лезвие знакомым - мне, Фан Чжию, а также своему второму старшему брату."
,,,,,,,,,,默认17,,,,他环顾一周，找不到我。,他環顧一週，找不到我。,His frantic search found no trace of me.,ぐるりと辺りを見回すが、私の姿が見当たらない。,"Но, оглядевшись по сторонам, он не обнаружил меня."
,BgEvent,王生梦3,,,,,1,,,,,,,,,
,,,,,,,,,,默认18,,,,然后，他再看了看前方——他的二哥正被那红甲鹰妖捉住戏弄，他和二哥之间隔着一层又一层的人，他难以接近二哥！,然後，他再看了看前方——他的二哥正被那紅甲鷹妖捉住戲弄，他和二哥之間隔著一層又一層的人，他難以接近二哥！,"Then, his gaze snapped forward———The Red-Armored Eagle Demon had his Second Brother in its talons, taunting him. A wall of bodies stood between them—utterly impassable!",その後再び前を見ると――次兄が赤い鎧の鷹妖に捕まりいたぶられている。彼と次兄の間にはいくつもの人の壁が立ちはだかり、なかなか近づけない。,Затем его взгляд устремился вперёд... Его брата как раз схватил яогуай-орёл и издевался над ним. Между ними была непроходимая стена из множества людей - ему было никак не добраться до брата!
