#SHEET_NAME,记-第十六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_16,chapter_bg_J,chapter_title_J16,Liang,265,,,,,,,,,,,
,*map_ji_16,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_16,,,,,,,,,,,,,,,
,SetChapterName,记-第十六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,藏身处夜,,,,,,,,,,,,,,,
,Ambience,室内沙沙
,AutoSave
,Se,水滴
,,,,,,,,,,默认2,,,,水珠滴落的声音在耳边回响，一滴连着一滴，一声接一声。,水珠滴落的聲音在耳邊迴響，一滴連著一滴，一聲接一聲。,"The sound of dripping water echoed in my ears, drop after drop, an unbroken rhythm.",水滴の滴る音が耳元で響く。ぽたりと一滴、また一滴。,"В моих ушах раздавался эхом шум падающей воды - одна капля за другой, один звук за другим."
,,,,,,,,,,默认3,,,,这声音敲打着死寂的黑暗，也映衬着我微弱的心跳声。,這聲音敲打著死寂的黑暗，也映襯著我微弱的心跳聲。,"The sound echoed through the lifeless darkness, a faint counterpoint to my own thudding heartbeat.",静寂に包まれた闇を叩き、私の微かな心音と共鳴する。,"Этот звук пробивался сквозь охваченную мертвенным молчанием тьму, в то же время оттеняя слабый стук моего собственного сердца."
,,方知宥,,,,,,,,默认4,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认5,,,,我动了动手指，嗅了嗅周围，一股潮湿混杂着青苔的气息涌入鼻腔。,我動了動手指，嗅了嗅周圍，一股潮濕混雜著青苔的氣息湧入鼻腔。,"I flexed my fingers and inhaled—a damp, moss-tinged scent filled my nostrils.",指を動かし、あたりの匂いを嗅ぐ。じめっとした湿気と苔の臭いが鼻をついた。,"Я пошевелил пальцами, принюхался - в нос мне ударил запах сырости и мха."
,,方知宥,,,,,,,,默认6,,方知宥/29_方知宥_01,,[呃……],[呃……],"""Ugh...""",「くっ……」,"""Ух..."""
,,,,,,,,,,默认7,,,,我低吟一声，只觉得左腿传来撕裂般的剧痛，让我彻底清醒。,我低吟一聲，只覺得左腿傳來撕裂般的劇痛，讓我徹底清醒。,"I let out a low groan as a searing pain shot through my left leg, wrenching me into full consciousness.",思わず唸る。左腿から裂けるような痛みが走り、はっきりと目が覚めた。,"Тихо простонал я - левую ногу пронзила резкая боль, заставив меня окончательно пробудиться."
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,,,,,,,,,,默认8,,,,我睁开双眼，借着从墙缝中溜进来的微弱月光，勉强能看清周遭的景象了——,我睜開雙眼，藉著從牆縫中溜進來的微弱月光，勉強能看清周遭的景象了——,I opened my eyes. The faint moonlight trickling through wall cracks barely illuminated the scene—,目を開き、壁の隙間から差し込むかすかな月明かりを頼りに、なんとか周囲の景色を伺った――,"Раскрыв глаза, благодаря слабому лунному свету, пробивавшемуся сквозь щели в стене, я кое-как смог различить окружение:"
,,,,,,,,,,默认9,,,,这是一间昏暗的囚室，夜正深沉。,這是一間昏暗的囚室，夜正深沉。,"A gloomy prison cell, swallowed by the depth of night.",私は薄暗い独房にいる。夜が深まる時刻だ。,"Я находился в покрытой сумраком камере, стояла глубокая ночь."
,,,,,,,,,,默认10,,,,我身上的盔甲已被剥去，只余一件破旧单衣贴在身上。,我身上的盔甲已被剝去，只餘一件破舊單衣貼在身上。,"The armor on my body has been stripped away, leaving only a tattered undershirt clinging to me.",鎧はとられ、ぼろぼろの服だけが体に貼りついている。,"Брони на мне уже не было, тело моё покрывала лишь потёртая тонкая одежда."
,,,,,,,,,,默认11,,,,左臂上拴着冰冷的铁链，铁链的另一端拴在床头——这使我失去了自由，无法离开这个房间。,我的左臂上拴著冰冷的鐵鏈，鐵鏈的另一端拴在床頭——這使我失去了自由，無法離開這個房間。,"A cold iron chain is shackled to my left arm, its other end fastened to the bedpost—this has robbed me of freedom, confining me to this room.",左腕は冷たい鎖でつながれ、鎖のもう一方は寝台に括りつけられていた――そのせいで自由を奪われ、この部屋から出ることができない。,"К левой руке была прикована холодная цепь, другой конец которой был прикован к изголовью кровати - так что выбраться отсюда я не мог."
