#SHEET_NAME,记-第十九回二
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_19_2,chapter_bg_J,chapter_title_J19_2,Liang,265,,,,,,,,,,,
,*map_ji_19_2,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_19_2,,,,,,,,,,,,,,,
,SetChapterName,记-第十九回二,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,东关街关口,,,,,,,,,,,,,,,
,,王生逃难,疑惑,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风
,,方知宥,,,,,,,,默认1,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认2,,,,废墟间的烟雾仍在眼前徘徊。,廢墟間的煙霧仍在眼前徘徊。,The smoke still hovered among the ruins before me.,廃墟の間をのぼっていた煙が、まだ私の前に漂っている。,Дым от руин всё ещё плыл у нас перед глазами.
,,,,,,,,,,默认3,,,,带着焦糊气味的风吹过我和王生的衣袍，我沉思了一会儿后，向王生说出了我的想法——,帶著焦糊氣味的風吹過我和王生的衣袍，我沉思了一會後，向王生說出了我的想法——,"As the acrid wind tugged at our robes, I paused in thought before revealing my choice to Scholar Wang—",焦げた臭いを帯びた風が、私と王の服の間を通り抜けていった。少し考えた後、王書生に私の考えを告げる――,"Ветер, несущий запах гари, обдувал наши с учёным Ваном одежды. Подумав какое-то время, я озвучил ему своё решение:"
,,方知宥,,,,,,,,默认4,,方知宥/34-1_方知宥_01,,[想了想，我还是离开扬州吧。],[想了想，我還是離開揚州吧。],"""After some thought, I think I'll leave Yangzhou after all.""",「色々考えた末、やはり揚州を去ることにするよ」,"""Пожалуй, я всё-таки покину Янчжоу."""
,,,,,,,,,,默认5,,,,我的嘴角勾起了一丝淡笑。,我的嘴角勾起了一絲淡笑。,A faint smile curled at the corner of my mouth.,口角を上げ、ふっと微笑んだ。,Мои губы растянулись в слабой улыбке.
,,王生逃难,惊讶,,,,,,,默认6,,王生/34-1_王生_01,,[知宥，你要远行吗？],[知宥，你要遠行嗎？],"""Zhiyou, are you going far away?""",「知宥、遠くに行くのか？」,"""Чжию, ты собираешься уйти далеко?"""
,,,,,,,,,,默认7,,,,王生微微睁大眼睛，不解地望着我。,王生微微睜大眼睛，不解地望著我。,Scholar Wang's eyes widened slightly as he gazed at me in puzzlement.,王が少し目を丸くし、不思議そうに私を見た。,"Слегка расширив глаза, с недоумением посмотрел на меня учёный Ван."
,,方知宥,,,,,,,,默认8,,方知宥/34-1_方知宥_02,,[嗯……或许谈不上远行，但也想去其他城市转一转……我困在扬州太久了，想出去走走。],[嗯……或許談不上遠行，但也想去其他城市轉一轉……我困在揚州太久了，想出去走走。],"""Well... perhaps not exactly far away, but I'd like to visit other cities... I've been trapped in Yangzhou too long and need to wander elsewhere.""",「ああ……遠くとは限らないが、他の町も巡ってみたかったんだ……私は揚州に閉じこもりすぎた。そろそろ外に出ようと思ってな」,"""Хм... Да необязательно далеко, просто охота повидать другие города... Уж слишком долго времени я провёл в Янчжоу - хочется и в других местах побывать."""
,,,,,,,,,,默认9,,,,我平静而低声地说道。,我平靜而低聲地說道。,"I murmured quietly, my voice calm.",静かに、落ち着いてそう答えた。,Проговорил я спокойным и негромким голосом.
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认10,,,,是啊，这座城埋葬了许多的故人，也埋葬了许多的记忆，是我的“过去”。,是啊，這座城埋葬了許多的故人，也埋葬了許多的記憶，是我的“過去”。,"Yes, this city has buried many old friends and memories—it is my ""past"".",そうだ。この町には多くの知人も、様々な思い出も埋葬されている。私の「過去」が。,"Именно - в этом городе погребено множество знакомых мне людей, погребено множество воспоминаний. Он - моё ""прошлое""."
,,,,,,,,,,默认11,,,,这“过去”中虽然不乏许多美好的事物，但总体却太过沉重。,這“過去”中雖然不乏許多美好的事物，但總體卻太過沉重。,"Though this ""past"" holds some beauty, its weight is overwhelming.",その「過去」は確かに素晴らしいものもたくさんあった。しかし全体として見ると、あまりにも重すぎる。,"Пусть это ""прошлое"" и отнюдь не лишено приятных моментов - но всё же оно давит на меня своей тяжестью."
,,,,,,,,,,默认12,,,,我想暂且抛下这过去，去更远的地方走走。,我想暫且拋下這過去，去更遠的地方走走。,I want to leave the past behind for now and journey to more distant places.,私はその過去をしばらく手放し、遠くへ行きたかったのだ。,"Мне бы хотелось на время сбросить его с себя, отправившись куда-нибудь подальше отсюда."
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,王生逃难,低落垂眸,,,,,,,默认13,,,,[……],[……],"""...""",「……」,"""..."""
,,王生逃难,通常,,,,,,,默认14,,王生/34-1_王生_02,,[……我理解你的选择，那我之后怎么去找你？],[……我理解你的選擇，那我之後怎麼去找你？],"""...I understand your choice, but how can I find you later?""",「……そうか。おまえがそう言うなら尊重しよう。だが今後、おまえに会うにはどうすればいい？」,"""...Я понимаю твоё решение. Только, если что, где мне потом тебя искать?"""
