#SHEET_NAME,忆-第九回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_9,chapter_bg_Y,chapter_title_Y9,Liang,265,,,,,,,,,,,
,*map_yi_9,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_9,,,,,,,,,,,,,,,
,SetChapterName,忆-第九回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,FadeOut,black,,,,,1,,,,,,,,,,,
,Bg,天空
,FadeIn,black,,square,,,1,,,,,,,,,,,
,AutoSave
,,,,,,,,,,默认1,,,,一个月前，我在碧竹坊偶遇了一位老先生。,一個月前，我在碧竹坊偶遇了一位老先生。,"A month ago, I encountered an Old Scholar at Jade Bamboo Hall.",一か月前、私は<ruby=へきちくぼう>碧竹坊</ruby>でとあるご老公と出会った。,"Месяц назад у ""Палаты изумрудного бамбука"" я встретил пожилого господина.",
,,,,,,,,,,默认2,,,,我和他定下一个有些奇特的约定。,我和他定下一個有些奇特的約定。,We struck a rather peculiar agreement.,そこで私と彼は、奇妙な取引をした。,Мы с ним заключили интересный договор.,
,,,,,,,,,,默认3,,,,他助我取得进入泠音阁的请柬，而我则替他收集一些“特别”的故事。,他助我取得進入泠音閣的請柬，而我則替他收集一些“特別”的故事。,"He secured me an invitation to <ruby=泠音>Lingyin</ruby> Pavilion; in return, I’d collect some ""unconventional"" stories for him.",彼が<ruby=れんいんかく>泠音閣</ruby>への招待状を手に入れるのと引き換えに、私が彼のために「特別」な話を集めるというものだ。,"Он поможет мне раздобыть приглашение в ""Мелодичный павильон"", а я, в свою очередь, насобираю ему ""необычных"" историй.",
,,,,,,,,,,默认4,,,,于是这一个月来，我频繁出入二十四桥的各家青楼，尝试在茶围中崭露头角，博得些许声名，顺便留下一些“故事”。,於是這一個月來，我頻繁出入二十四橋的各家青樓，嘗試在茶圍中嶄露頭角，博得些許聲名，順便留下一些“故事”。,"Thus, for the past month, I’ve frequented pleasure houses around Twenty-Four Bridges, vying for attention at tea gatherings to build a name—and, incidentally, leave behind a few ""tales"".",そのためこの一か月、私は頻繁に二十四橋にある様々な青楼に通い、その席で頭角を現していくばくかの名声を得ると同時に、「ネタ」を書き留めてきた。,"Так что целый месяц я часто ходил по ""зелёным теремам"", пытаясь проявить себя на тамошних пирушках, построить репутацию и заодно оставить после себя несколько ""историй"".",
,,,,,,,,,,默认5,,,,我一共走访了十几处青楼，其中有七次赢得了花魁的青睐，受邀留宿。,我一共走訪了十幾處青樓，其中有七次贏得了花魁的青睞，受邀留宿。,"I visited upward of a dozen pleasure houses, and on seven of those visits, I was fortunate enough to win the courtesan’s favor and be invited to stay.",合わせて十数の青楼には通った。うち七回は花魁の目に留まり、泊まりの誘いを受けた。,"За всё время я успел побывать в десяти с лишним ""зелёных теремах"". В семи из них мне повезло расположить к себе местную куртизанку настолько, чтобы она пригласила меня к себе.",
,,,,,,,,,,默认6,,,,然而，每次收到她们遣丫鬟送来的信物，我却都婉言告辞。,然而，每次收到她們遣丫鬟送來的信物，我卻都婉言告辭。,"Yet, whenever I received the tokens delivered by their maids, I would politely excuse myself.",しかし彼女たちが下女を遣って渡してくる贈り物を、ことごとく丁重にお断りした。,"Но всякий раз, когда их служанки приносили мне приглашение, я вежливо отказывался.",
,,,,,,,,,,默认7,,,,这一回，我总算学得稍聪明了些。,這一回，我總算學得稍聰明了些。,"This time, I finally wised up a little.",今回は、少しばかり賢明にやった。,Но в эти разы я уже научился вести себя посообразительнее.,
,,,,,,,,,,默认8,,,,若是任由花魁为我沐浴更衣、梳妆打扮之后，等到进入她们闺房后再坦言自己并无心意，未免太过折辱对方。,若是任由花魁為我沐浴更衣、梳妝打扮之後，等到進入她們閨房後再坦言自己並無心意，未免太過折辱對方。,"Allowing the courtesan to bathe, dress, and groom me, only to confess upon entering their boudoir that I had no real interest, would have been too cruel.",花魁が水浴びを済ませ、化粧を整え、いざ私が閨房に入ってからその気がないと伝えるのは、相手をひどく辱めることになる。,"Дать куртизанке ради меня помыться, переодеться и прихорошиться, а затем, прийдя к ней в спальню, заявить, что мне она неинтересна - это слишком жестоко и оскорбительно.",
,,,,,,,,,,默认9,,,,不如提前辞别，好聚好散，既不伤颜面，也能留下一段更为君子的佳话。,不如提前辭別，好聚好散，既不傷顏面，也能留下一段更為君子的佳話。,"Better to leave early—part amicably, preserve dignity, and leave behind a more chivalrous story.",であれば、いっそ早めに断りを入れる方が後腐れもなく、相手の顔を潰すことにもならないし、より男としての格を上げることができる。,"Куда лучший способ - уйти пораньше, разойтись по мирному, не только не посрамив ничьей репутации, но и оставив после себя хорошее впечатление как о ""благородном муже"".",
,,,,,,,,,,默认10,,,,唉。,唉。,Sigh...,やれやれ。,Эх...,
,,,,,,,,,,默认11,,,,可惜，往日不可溯回。,可惜，往日不可溯回。,"Alas, the past is beyond recall.",そうは言うものの、残念ながら覆水盆に返らずだ。,"Жаль, что время уже не повернуть вспять.",
,,,,,,,,,,默认12,,,,这些花魁中，我最得罪的当数那位叫心兰的姑娘。,這些花魁中，我最得罪的當屬那位叫心蘭的姑娘。,"Of all these courtesans, the one I wronged most was a girl called Xinlan.",花魁たちの中で、最も私が辱めてしまったのは、<ruby=しんらん>心蘭</ruby>という娘だった。,Ведь из всех куртизанок ту девицу по имени Синьлань я обидел больше всего.,
,,,,,,,,,,默认13,,,,那一夜，我惹她那样哭，确实不该！,那一夜，我惹她那樣哭，確實不該！,"That night, I made her cry like that—I really shouldn't have!",あの晩、あそこまで彼女を泣かせたのは、悪いことをしてしまったと思う。,Той ночью я довёл её до слёз. Как же мне стыдно из-за этого!,
,,,,,,,,,,默认14,,,,多年后，我若是能看淡当时的事，一定要鼓起勇气再去一趟碧竹坊，亲自向她诚恳道歉……,多年後，我若是能看淡當時的事，一定要鼓起勇氣再去一趟碧竹坊，親自向她誠懇道歉……,"Years later, if I can look back on those events with detachment, I must gather the courage to visit Jade Bamboo Hall again and apologize to her sincerely in person...",数年後、ほとぼりが冷めたら、勇気を出してもう一度碧竹坊へ行き、彼女に誠心誠意の詫びをしなければ……,"Годы спустя, когда эта история уже не будет так бередить мне душу, я обязательно наберусь смелости и загляну в ""Палату изумрудного бамбука"", чтобы лично извиниться перед ней.",
,,,,,,,,,,默认15,,,,……,……,...,……,...,
,FadeOut,black,,wipe_left,,,1,,,,,,,,,,,
,Bg,青楼外街道夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,,,,,,,,,,默认16,,,,一月之期已到，我带着“七次青睐”的故事与所作诗篇，再度来到碧竹坊门前。,一月之期已到，我帶著“七次青睞”的故事與所作詩篇，再度來到碧竹坊門前。,"The one-month deadline had arrived, and I returned to Jade Bamboo Hall's gates with the tale of ""Seven Favors"" and the poems I'd written.",一か月が経ち、私は「<ruby=七度の誘い>七次青睞</ruby>」という物語と作った詩篇を携え、再び碧竹坊の門前へと足を運んだ。,"Месяц миновал - и вот, я вернулся к воротам ""Палаты изумрудного бамбука"" с историями о том, как семь куртизанок приглашали меня к себе, а также со сложенными в те оказии стихами.",
,,,,,,,,,,默认17,,,,我晚饭后便动身而来，比约定好的戌时还早了一炷香工夫。,我晚餐後便動身而來，比約定好的戌時還早了一炷香工夫。,"I set out after dinner, arriving a full incense stick's time earlier than the agreed-upon the <ruby=戌时>hour of dog</ruby>.",夕食の後にすぐに出発したため、約束の戌の刻より一炷香ほど早く到着した。,"Поужинав, я сразу же отправился в путь и пришёл на целую палочку благовоний раньше намеченной стражи <ruby=19:00-21:00>Собаки</ruby>.",
,,,,,,,,,,默认18,,,,之后，我在碧竹坊门口伫立近半个时辰，眼见行人穿梭不绝，却始终未见那位老先生的踪影。,之後，我在碧竹坊門口佇立近半個時辰，眼見行人穿梭不絕，卻始終未見那位老先生的蹤影。,"Afterward, I stood at Jade Bamboo Hall's entrance for nearly an hour, watching the endless stream of passersby, but the Old Scholar never appeared.",その後、碧竹坊の前で半刻ほどつっ立って、通行人が右へ左へと通り過ぎていくのを眺めていたが、まだ例のご老公の姿が見えない。,"После этого я прождал у ""Палаты изумрудного бамбука"" пол-стражи, наблюдая за прохожими. Но фигуры пожилого господина так нигде было и не видать.",
,,方知宥,,,,,,,,默认19,,,,[……］,[……］,"""...""",「……」,"""...""",
,,,,,,,,,,默认20,,,,怎么还不来？,怎麼還不來？,Why hasn't he arrived yet?,なぜまだ来ないんだ？,Почему он не приходит?,
,,,,,,,,,,默认21,,,,明明老先生他亲口说戌时时与我相见，如今却迟迟未至。,明明老先生他親口說戌時時與我相見，如今卻遲遲未至。,"The Old Scholar explicitly promised to meet me during the <ruby=戌时>hour of dog</ruby>, yet he still hasn't shown up.",ご老公の方から戌の刻に会おうと言ってきたのに、ちっとも現れる気配がない。,"Он же чётко пообещал, что мы встретимся в стражу <ruby=19:00-21:00>Собаки</ruby> - но вот уже сколько времени прошло, а его всё нет.",
,,,,,,,,,,默认22,,,,唉……该不会是他忘了我们的约定？,唉……該不會是他忘了我們的約定？,Sigh... Could he have forgotten our arrangement?,はあ……まさか、約束を忘れたわけではあるまい。,Эх... Неужели он забыл про наш уговор?,
,,方知宥,,,,,,,,默认23,,,,[……],[……],"""...""",「……」,"""...""",
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认24,,,,糟了……他这把年纪还时常流连青楼，难道是这一个月里出了什么意外？,糟了……他這把年紀還時常流連青樓，難道是這一個月裡出了什麼意外？,"Oh no... At his age, he still regularly visits pleasure houses—could something have befallen him this past month?",しまった……あの歳で青楼に通いつめるような人物だ。まさかこの一か月で何かあったのではなかろうか？,"Плохо дело. В его-то возрасте он всё ещё регулярно посещает ""зелёные терема"" - не случилось ли с ним чего за этот месяц?",
,,,,,,,,,,默认25,,,,也许是他醉酒过度……也许是因某些事而心力交瘁……突然就使他驾鹤西去了？,也許是他醉酒過度……也許是因某些事而心力交瘁……突然就使他駕鶴西去了？,Perhaps he overindulged in drink... or some affair overwhelmed him... Did he suddenly pass away?,酒の飲みすぎかもしれないし……何らかの出来事で心を病み……唐突にこの世を去ってしまったのかもしれない。,"Возможно, он перепил... или из-за чего-нибудь слишком переволновался... и внезапно отправился к праотцам?",
,,,,,,,,,,默认26,,,,等等……,等等……,Wait...,いや、待てよ……,Погодите...,
,,,,,,,,,,默认27,,,,我为何如此信任他？,我為何如此信任他？,Why do I place such faith in him?,そもそも、なぜご老公の話を信じた？,А почему я вообще ему поверил?,
,,,,,,,,,,默认28,,,,我与他不过一面之缘……勉强算两面吧。,我與他不過一面之緣……勉強算兩面吧。,"I'd only met him once... twice at most, if you're being generous.",彼とは一度会っただけの縁……強いて言っても二度だ。,"Я с ним виделся только один раз... ну два, с натяжкой.",
