#SHEET_NAME,记-第二回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_2,chapter_bg_J,chapter_title_J2,Liang,265,,,,,,,,,,,,
,*map_ji_2,,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_2,,,,,,,,,,,,,,,,
,SetChapterName,记-第二回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Ambience,大雨,TRUE,,,,2,,,,,,,,,,,,
,Bg,集市雨,,,,,2,,,,,,,,,,,,
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,AutoSave,,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认1,,,,我不该贪杯，喝光那一坛女儿红。,我不該貪杯，喝光那一壇女兒紅。,I shouldn’t have overindulged—drained that whole jar of aged Nü'er Hong.,深酒はよすべきだった。女児紅を空けてしまうなんて。,"Ох, не стоило мне столько пить выдержанного ""девичьего вина"".",
,,,,,,,,,,默认2,,,,就因为灌了整整一坛，我的魂魄像是被九天劫了去，再也分不清是梦是真。,就因為灌了整整一壇，我的魂魄像是被九天劫了去，再也分不清是夢是真。,"Because I guzzled that entire jar, my soul seemed seized by the Nine Heavens—I could no longer tell dream from reality.",まるまる一壺飲んでしまったせいで、魂がさらわれたかのように、夢と現実の区別がつかなくなってしまった。,"Оттого, что я вылакал весь кувшин, моя душа словно была отнята Девятью небесами - я уже не различал сна и яви.",
,,,,,,,,,,默认3,,,,我不知道这里究竟是广陵，还是那可怕的狮驼国。,我不知道這裡究竟是廣陵，還是那可怕的獅駝國。,I don’t know if this is Guangling or that accursed Lion Camel Kingdom.,ここが広陵なのか、それともかの恐ろしい獅駝国なのか、もはやわからない……,"Понятия не имею, где я сейчас. В Гуанлине или в этом жутком королевстве Льва и Верблюда.",
,,,,,,,,,,默认4,,,,……,……,...,……,...,
,,,,,,,,,,默认5,,,,天空灰蒙蒙的，飘着冰冷的细雨。,天空灰濛濛的，飄著冰冷的細雨。,"The sky hung ash-gray, drizzling icy mist.",空は一面鈍色の雲に覆われ、冷たい雨がしとしとと降っている。,Пепельно-серое небо моросило ледяным дождём.,
,,,,,,,,,,默认6,,,,我混在逃命的人流里，在城北的街巷中乱窜。,我混在逃命的人流裡，在城北的街巷中亂竄。,"I merged with the fleeing crowd, scrambling through northern alleys in blind panic.",逃げ惑う人ごみに紛れて、私は町の北側を表から裏まで駆けずり回った。,"Я влился в толпу людей, в слепой панике бегущих через северные переулки.",
,,,,,,,,,,默认7,,,,刚才逃跑前，我匆匆瞥了一眼。,剛才逃跑前，我匆匆瞥了一眼。,"Right before bolting, I caught a frantic glimpse—",逃げ始める前に、私はちらりと見ていた。,"Прежде чем броситься бежать, я кое-что заметил:",
,,,,,,,,,,默认8,,,,那些攻城的群妖已经爬上了城墙，他们穿着各色盔甲，黄、白、蓝、红四色都有。,那些攻城的群妖已經爬上了城牆，他們穿著各色盔甲，黃、白、藍、紅四色都有。,"The horde of demons storming the walls had already scaled the battlements, clad in motley armor—yellow, white, blue, crimson.",町を襲ってきた妖怪たちは城壁をよじ登っていた。その鎧は黄に白、赤に青の四色だった。,"Орда яогуаев штурмующая город, уже взобралась на стены - доспехи у них были самых разных цветов, и жёлтого, и белого, и синего, и красного.",
,,,,,,,,,,默认9,,,,他们的面容更是千奇百怪，有象妖、狮妖、鹏妖，也有如兴平伯的手下那般的狼妖。,他們的面容更是千奇百怪，有象妖、獅妖、鵬妖，也有如興平伯的手下那般的狼妖。,"Their faces were grotesque variations—Elephant Demons, Lion Demons, Roc demons, even Wolf Demons like those serving Marquess Xingping.",姿ときたら、さらに奇怪なものである。象妖に獅妖、鳥妖もいる。興平伯の部下らしき狼妖も。,"Лица у них были ещё более странными и гротескными: там были слоны-яогуаи, львы-яогуаи, кондоры-яогуаи, были даже волки-яогуаи, похожие на тех, кто служил бо Синпина.",
,,,,,,,,,,默认10,,,,群妖们追杀着溃逃的士兵。,群妖們追殺著潰逃的士兵。,The demon horde hunted down the routed soldiers.,妖怪たちは、逃げ惑う兵士たちを追いかけている。,Орда яогуаев преследовала отступающих солдат.,
,,,,,,,,,,默认11,,,,士兵们要么像雨点般大片大片地坠落，要么便挤作一团，奔逃着挤到城墙根下。,士兵們要麼像雨點般大片大片地墜落，要麼便擠作一團，奔逃著擠到城牆根下。,"Men fell like torrential rain or clumped together in panicked herds, fleeing to huddle at the foot of the city walls.",兵士たちが雨のように地に叩きつけられていく。あるいは追い詰められ城壁の下にぎゅうぎゅう詰めになっている。,"Солдаты либо падали на землю, словно капли дождя, либо сбивались в панические стада, стремясь укрыться под основанием городских стен.",
,,,,,,,,,,默认12,,,,有的兵往南一路奔逃，有的则撞开附近的民居，躲入其中。,有的兵往南一路奔逃，有的則撞開附近的民居，躲入其中。,Some soldiers fled south in chaos; others smashed into nearby houses and barricaded themselves inside.,南へ一目散に逃げだす者もいれば、近くの民家に転がり込む者もいた。,"Одни солдаты в суматохе бежали на юг, другие же врывались в близлежащие жилые дома, пытаясь укрыться там.",
,,,,,,,,,,默认13,,,,不行，要回家！,不行，要回家！,No—I must get home!,まずい、帰ろう！,"Нет, надо бежать домой!",
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认14,,,,想起王生的警告，我立刻决定回家。,想起王生的警告，我立刻決定回家。,"Scholar Wang's warning flashed through my wine-addled mind, I at once resolved to return home.",王の警告を思い出し、すぐさま家に戻ることにした。,"Вспомнив предупреждение учёного Вана, я тут же утвердился в этом решении.",
,,,,,,,,,,默认15,,,,锁好门，找个地方藏起来罢！,鎖好門，找個地方藏起來罷！,Bar the door. Find somewhere to disappear.,鍵をかけ、どこかに隠れておこう。,"Запру дверь, найду где спрятаться.",
,,,,,,,,,,默认16,,,,若我再在大街上晃来晃去，一会儿无论是遇到鞑虏、贼寇、还是遇到群妖，定然没有我的生路！,若我再在大街上晃來晃去，一會無論是遇到韃虜、賊寇、還是遇到群妖，定然沒有我的生路！,"If I keep wandering the streets, whether I encounter Tatars, bandits, or the Horde of Demons, I'm surely done for!",あのまま通りの真ん中をふらふらと歩いていたら、韃子にしろ賊にしろ、あるいは妖怪にしろ……出会ったそこが運の尽きだ。,"Если я продолжу бродить по улицам, то, на кого бы я ни наткнулся - варвары ли, разбойники, яогуаи - мне наверняка не выжить!",
,,,,,,,,,,默认17,,,,恐惧冲刷着我的大脑，醉意也消解了几分。,恐懼沖刷著我的大腦，醉意也消解了幾分。,"Fear surged through my mind, cutting through the drunken haze.",恐怖で思考が洗い流され、酔いも共に幾分か覚めていた。,"Страх вселился в мой разум, отрезвляя меня.",
,,,,,,,,,,默认18,,,,我不再漫无目的地溃逃，而是往家冲去。,我不再漫無目的地潰逃，而是往家衝去。,I stopped fleeing aimlessly and sprinted toward home.,あてもなく逃げ回るのはやめ、まっすぐに家に向かって駆け出した。,Я перестал бездумно бежать и ринулся домой.,
,,方知宥,,,,,,,,默认19,,,,[……],[……],"""...""",「……」,"""...""",
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认20,,,,等下。,等一下。,Wait.,待てよ。,Погодите.,
,,,,,,,,,,默认21,,,,我刚刚坚定想法，迈出脚步，便倏然停住。,我剛剛堅定想法，邁出腳步，便倏然停住。,No sooner had I steeled my resolve and stepped forward than I froze dead in my tracks.,決意を固め、足を踏み出したところで、固まった。,"Едва я собрался с духом и сделал шаг вперёд, как замер на месте.",
,,,,,,,,,,默认22,,,,我的家在哪？,我的家在哪？,Where is my home?,私の家は……どこだ？,А где вообще я живу?,
,,,,,,,,,,默认23,,,,我至今都分不清如今是在原先的广陵，还是在狮驼国。,我至今都分不清如今是在原先的廣陵，還是在獅駝國。,"Even now, I can't tell whether this is still the original Guangling or the Lion Camel Kingdom.",ここが本来の広陵なのか、獅駝国なのかもわからない。,"Даже сейчас я не мог понять, в Гуанлине ли я, или же в Королевстве Льва и Верблюда.",
,,,,,,,,,,默认24,,,,眼前的街道，熟悉又陌生。,眼前的街道，熟悉又陌生。,The street before me was both familiar and foreign.,目の前の道も、知っているようで知らないような気もする。,Улица была одновременно знакома и чужда.,
