#SHEET_NAME,忆-第十三回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_12,chapter_bg_Y,chapter_title_Y13,Liang,265,,,,,,,,,,,
,*map_yi_13,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_13,,,,,,,,,,,,,,,
,SetChapterName,忆-第十三回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,画舫内景昼提交,,,,,,,,,,,,,,,
,FadeIn,black,,square,,,1,,,,,,,,,,,
,Bgm,游船画舫,,,,3,3,,,,,,,,,,,
,Ambience,室外主风
,AutoSave
,,,,,,,,,,默认1,,,,艄公缓缓摇动船桨，拨开湖面零星的浮萍。,艄公緩緩搖動船槳，撥開湖面零星的浮萍。,"The boatman slowly rocked the oars, parting the scattered duckweeds on the lake's surface.",船頭がゆっくりと櫂を漕ぎ、湖面の浮草をかき分けた。,"Лодочник медленно покачивал веслом, раздвигая водоросли на поверхности озера."
,,,,,,,,,,默认2,,,,水纹轻荡，画舫徐徐驶离泠音阁，驶向小秦淮河的河道上。,水紋輕蕩，畫舫徐徐駛離泠音閣，駛向小秦淮河的河道上。,Ripples gently swayed as the painted boat slowly departed from the <ruby=泠音>Lingyin</ruby> Pavilion and sailed onto the canal of Little Qinhuai River.,水面に波紋をつけながら画舫が徐々に泠音閣から離れ、小秦淮河を進んでいく。,"Тихая рябь отходила от лодки, когда мы отплывали от ""Мелодичного павильона"" в реку Малая Циньхуай."
,,,,,,,,,,默认3,,,,雁儿姐带着我走进了画舫内的茶室。,雁兒姐帶著我走進了畫舫內的茶室。,<ruby=Swan Goose>Sister Yan</ruby> guided me into the tea room aboard the Painted Pleasure Boat.,雁姉が私を画舫内の茶室へと案内してくれた。,Сестричка Лебёдушка проводила меня в чайную комнату на борту.
,,,,,,,,,,默认4,,,,她燃起小炉，煮水沏茶。,她燃起小爐，煮水沏茶。,She lit a small stove to heat water for tea.,彼女が小さな炉に火を起こし、湯で茶を立てる。,"Она растопила маленькую печку, чтобы вскипятить воды для чая."
