#SHEET_NAME,记-第十五回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_15,chapter_bg_J,chapter_title_J15,Liang,265,,,,,,,,,,,
,*map_ji_15,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_15,,,,,,,,,,,,,,,
,SetChapterName,记-第十五回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,扬州城内茅草屋,,,,,,,,,,,,,,,
,Ambience,室内沙沙,,,,,,,,,,,,,,,
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,AutoSave
,,方知宥,,,,,,,,默认1,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认2,,,,过去的场景再度消散。,過去的場景再度消散。,The scenes of the past faded away once more.,過去の情景が霧散した。,Сцены из прошлого опять рассеялись.
,,,,,,,,,,默认3,,,,雁儿姐、画舫、当年的一切，都如烟云过眼，纷纷碎散。,雁兒姐、畫舫、當年的一切，都如煙雲過眼，紛紛碎散。,"<ruby=Swan Goose>Sister Yan</ruby>, the Painted Pleasure Boat, everything from those days—all passed before my eyes like fleeting smoke, scattering into fragments.",雁姉、画舫、あの時の一切合切が、煙のように過ぎ去っていき、砕け散った。,"Сестричка Лебёдушка, прогулочная лодка, все события того года - всё испарилось, словно дымка, проплывающая перед глазами."
,,,,,,,,,,默认4,,,,我回到了数年之后的现实。,我回到了數年之後的現實。,I returned to the reality years later.,そして、数年後の現実に帰ってきた。,Я вернулся в реальность нескольких лет спустя.
,,小雁儿,焦急,,,,,,,默认5,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认6,,,,眼前是昏暗的屋子，以及我早已清楚只是幻觉的小雁儿。,眼前是昏暗的屋子，以及我早已清楚只是幻覺的小雁兒。,"Before me lay a dimly lit room, and Little Yan, whom I had long known to be merely an illusion.",目の前には薄暗い部屋、そして既に幻覚だとわかりきっている小雁がいた。,"Перед глазами было тёмное помещение, а также Лебёдушка, про которую мне уже давно было понятно, что она лишь иллюзия."
,CharacterOff,,,,,,,,,,,,,
,,翠儿,恍然大悟,左,,,0.4,,,默认7,,,,[……］,[……］,"""...""",「……」,"""..."""
,,良清兵,通常,两人右,,,0.4,,,默认8,,,,[……],[……],"""...""",「……」,"""..."""
