#SHEET_NAME,番外
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,*map_other_1,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_other_1,,,,,,,,,,,,,,,
,SetChapterName,番外,,,,,,
,Bgm,明末_芸芸众生_可循环,,,,0.2,4,,,,,,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,天空夜,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认1,,,,银月当空，漫天繁星。,銀月當空，漫天繁星。,"A silver moon dominated the sky, drowning in a sea of stars.",ぽつんと浮かぶ銀色の月、満点に広がる星々。,"Серебряная луна висела на небе, усыпанном звёздами.",
,,,,,,,,,,默认2,,,,船夫轻轻划着桨，洛河在月光下泛着碎银般的粼光。,船夫輕輕划著槳，洛河在月光下泛著碎銀般的粼光。,The boatman's oar dipped quietly as moonlight shattered into liquid silver on the Luo River.,船頭が軽く船を漕ぐ。<ruby=らくが>洛河</ruby>が月明かりの下で銀の粒のようにきらめいていた。,"Лодочник тихонько грёб вёслами, река Лохэ в лунном свете испускала сияние, подобное кусочкам серебра.",
,,,,,,,,,,默认3,,,,河面上吹拂着一阵微风，小船随波起伏，哗哗水声衬得夜色更为宁静。,河面上吹颳著一陣微風，小船隨波起伏，嘩嘩水聲襯得夜色更為寧靜。,"A gentle breeze swept across the river, the small boat rising and falling with the waves as the splashing water deepened the night's tranquility.",水面をそよ風が撫で、小舟が波に乗って上下する。さらさらとした水音が、夜の静けさをいっそう際立たせる。,"Над поверхностью реки пробегал лёгкий ветерок, лодка покачивалась на волнах, а шум воды делал ночную тишину ещё более безмятежной.",
,,,,,,,,,,默认4,,,,船头靠近船舱处，摆放着一盏风灯。,船頭靠近船艙處，擺放著一盞風燈。,"Near the cabin at the bow, a lantern stood watch.",船首の船室近くに、提灯が置かれていた。,На носу лодки возле каюты стоял фонарь с защитой от ветра.,
,,,,,,,,,,默认5,,,,暖黄的光随船身轻轻摇晃，在狭小的船舱里投下了斑驳的影子。,暖黃的光隨船身輕輕搖晃，在狹小的船艙裡投下了斑駁的影子。,"Its warm yellow light swayed with the boat's rhythm, painting mottled shadows across the cramped cabin.",温かな黄色い光が船と共に軽く揺れ、狭い船室にまだらな影を落とした。,"Тёплый жёлтый свет мягко колыхался вместе с корпусом лодки, отбрасывая в тесную каюту пёстрые тени.",
,,,,,,,,,,默认6,,,,我靠坐在舱壁的一侧，满穗坐在对面，我们中间隔着一张茶桌。,我靠坐在艙壁的一側，滿穗坐在對面，我們中間隔著一張茶桌。,"I reclined against the cabin wall while Man Sui sat across from me, a tea table between us.",俺は船室内の端に腰かけ、満穂がその向かいに座る。一台の座卓が俺たちの真ん中に置かれている。,"Я сидел, привалившись к одной из стен каюты, Маньсуй сидела напротив, между нами стоял чайный столик.",
,BgEvent,良穗同船1,,,,,0.5,,,,,,,
,,,,,,,,,,默认7,,,,月光透过窗隙，勾勒出她清瘦的身形。,月光透過窗隙，勾勒出她清瘦的身形。,"Moonlight filtered through the window cracks, tracing the contours of her slender figure.",月明かりが窓を通して入り込み、彼女のほっそりとした輪郭を浮かび上がらせた。,"Лунный свет, пробивавшийся сквозь щель в окне, очерчивал её стройную фигуру.",
,,,,,,,,,,默认8,,,,几缕发丝随风拂动，她的目光沉静地落在我身上，像是藏着许多未说出口的话。此时此刻，我们正在聊这些年发生的事。,幾縷髮絲隨風拂動，她的目光沉靜地落在我身上，像是藏著許多未說出口的話。此時此刻，我們正在聊這些年發生的事。,"Strands of her hair danced in the breeze, her serene gaze lingering on me as though weighted with unspoken words. Here we sat, speaking of the years that had passed.",幾筋かの髪が風になびき、まだ言い残したことが沢山あるとでも言いたげに、彼女の視線が静かに俺に注がれた。今、俺たちはあの時に起きたことについて話しているところだった。,"Несколько прядей её волос подрагивало от ветра, взгляд её был спокойно устремлён на меня, словно тая в себе множество невысказанных слов. В этот момент мы беседовали о том, что с нами происходило за эти годы.",
,,,,,,,,,,默认9,,,,从白日聊到黄昏，再从黄昏聊到晚上，聊了许久。,從白日聊到黃昏，再從黃昏聊到晚上，聊了許久。,"We talked from dawn till dusk, and from dusk deep into the night—our conversation unspooling without end.",昼から夕方まで、夕方から夜まで、俺たちは話し込んだ。,"Так мы проговорили до сумерек, а потом и вовсе до наступления темноты.",
,,良,<Off>,,,,,,,默认10,,良/番外_良_01,,[三年前，也就是崇祯十一年，我们与官军连日苦战，过草地，爬峭壁，最终只剩下数百人，躲到了商洛山中。],[三年前，也就是崇禎十一年，我們與官軍連日苦戰，過草地，爬峭壁，最終只剩下數百人，躲到了商洛山中。],"""Three years ago, in the eleventh year of Chongzhen’s reign, we waged a desperate battle against the government troops for days. After crossing grasslands and scaling cliffs, only a few hundred of us remained, forced to retreat into the Shangluo Mountain.""",「三年前、つまり崇禎十一年のことだ。俺たちと官軍は連日草原を越え、崖を登る苦戦を強いられ、結局残ったのは数百人。ほうほうの体で<ruby=しょうらくざん>商洛山</ruby>まで落ち延びた」,"""Три года назад, то есть на <ruby=1638 г.>одиннадцатом</ruby> году правления Чунчжэня, мы вели ожесточённые бои с правительственными войсками, пересекали степи, карабкались по отвесным скалам, и в конце концов, когда нас осталось всего несколько сотен человек, укрылись в горах Шанло.""",
,,良,<Off>,,,,,,,默认11,,良/番外_良_02,,[官军像梳篦子一样搜山，我们总是饿着肚子东躲西藏，有时倒霉撞上他们，便得在山野间拼命……],[官軍像梳篦子一樣搜山，我們總是餓著肚子東躲西藏，有時倒楣撞上他們，便得在山野間拚命……],"""The government troops scoured the mountains like a fine-toothed comb. We starved, dodging and hiding, and when ill fate crossed our paths, we fled wildly through the wilderness...""",「官軍は櫛ですくかのような山狩りを展開し、俺たちは腹を空かせながら逃げ回った。運悪く連中に見つかれば、やむなく山でまた一戦といった具合にな……」,"""Правительственные войска прочёсывали горы, словно гребень, а нам постоянно приходилось прятаться то тут, то там, да ещё и с пустым брюхом. Временами нам не везло и мы натыкались на них - тогда нам приходилось сражаться не на жизнь, а на смерть в этих глухих горных местах...""",
,,良,<Off>,,,,,,,默认12,,良/番外_良_03,,[有好几次，我觉得自己快撑不住了……最严重那次，我饿得眼前发黑，腿上还带着箭伤，几乎要昏死过去。],[有好幾次，我覺得自己快撐不住了……最嚴重那次，我餓得眼前發黑，腿上還帶著箭傷，幾乎要昏死過去。],"""Time and again, I felt myself nearing collapse... Worst was when hunger blurred my vision, an arrow wound in my leg, leaving me dangling at death’s edge.""",「何度もそんなことをするうちに、いよいよ持たなくなってきた……一番ひどいときは、飢えで視界はふらふら、足にも矢傷でほぼ意識を失いかけてたな」,"""Немало раз мне казалось, что моя песенка уже спета... Самый тяжёлый случай был, когда у меня от голода всё перед глазами темнело, а ноги все были в ранах от стрел - ещё чуть-чуть, и я был готов упасть замертво.""",
,,良,<Off>,,,,,,,默认13,,良/番外_良_04,,[但每当这种时候，我都会在心里反复念着一件事……也是靠着这件事……我一次次熬了过来，活到了现在。],[但每當這種時候，我都會在心裡反覆唸著一件事……也是靠著這件事……我一次次熬了過來，活到了現在。],"""But in moments like these, I would repeat one thing in my heart over and over... It was by clinging to this thought... that I endured time and again, surviving until now.""",「だがそうなるたびに、心の中であることを思い出し続けた……おかげで俺は窮地を何度も乗り越え、ここまで生きてこれたんだ」,"""Но всякий раз в подобные моменты я повторял про себя одну и ту же вещь... И именно благодаря этому... мне удалось преодолеть все эти невзгоды и дожить до сегодняшнего дня.""",
,BgEvent,良穗同船5,,,,,0.5,,,,,,,
,,满穗,,,,,,,,默认14,,满穗/番外_满穗_001,,[哦？那激励着良爷活下来的是什么？],[哦？那激勵著良爺活下來的是什麼？],"""Oh? What was it that kept Master Liang going all these years?""",「え？じゃあ良様に生きる気力を与えてたのは、何だったの？」,"""О? И что же такое помогало тебе выжить, господин Лян?""",
,,,,,,,,,,默认15,,,,满穗轻轻将一缕散下的发丝别到耳后，声音温和。,滿穗輕輕將一縷散下的髮絲別到耳後，聲音溫和。,"Man Sui gently tucked a loose strand of hair behind her ear, her voice soft.",満穂が垂れた髪をそっと耳の後ろにかけ直し、優しい声でそう訊く。,"Мягким голосом спросила Маньсуй, аккуратно заправляя за ухо выбившуюся прядь волос.",
,,良,<Off>,,,,,,,默认16,,良/番外_良_05,,[那年，我答应过你，要把这条命留给你报仇——我不想失约。],[那年，我答應過你，要把這條命留給你報仇——我不想失約。],"""That year, I promised you I’d keep this life of mine for you to claim your vengeance—I did not wish to break that vow.""",「既にあの時に答えたはずだ。この命はおまえの仇討ちのために使うと――約束を違えるつもりはない」,"""В тот год я дал тебе обещание, что сохраню свою жизнь, чтобы ты могла мне отомстить - мне не хотелось нарушать наш с тобой договор.""",
