#SHEET_NAME,结局-出家
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,*map_commonEnd_3,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_3,,,,,,,,,,,,,,,
,SetChapterName,结局-出家,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,城门战火夜,,,,,,,,,,,,,,,
,,空幻,闭眼,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Bgm,死生别离,,,,0.2,3,,,,,,,,,,,
,,方知宥,,,,,,,,默认1,,方知宥/33-1_方知宥_01,,[大师，我愿随您出家。],[大師，我願隨您出家。],"""Master, I wish to join you in monastic life.""",「和尚、あなたの下で出家したい」,"""Учитель, я хочу принять постриг.""",
,,,,,,,,,,默认2,,,,略作沉思后，我说出了我的选择。,略作沉思後，我說出了我的選擇。,"After a moment of reflection, I spoke my choice.",少し考え、自分の選択を口にした。,"Немного подумав, я озвучил своё решение.",
,,空幻,疑惑,,,,,,,默认3,,,,[……],[……],"""...""",「……」,"""...""",
,,,,,,,,,,默认4,,,,空幻师父盯着我，仿佛在用眼神确认着我是否诚心。,空幻師父盯著我，彷彿在用眼神確認著我是否誠心。,"Master Konghuan studied me, his gaze probing for sincerity.",空幻和尚がじっと私を見る。本気かどうか確かめているようだった。,"Учитель Кунхуань оглядел меня, оценивая своим взглядом, говорил ли я искренне.",
,,方知宥,,,,,,,,默认5,,方知宥/33-1_方知宥_02,,[如今，我已解开了困住我多年的心结，却依然很迷茫……我想，大概只有出家，才能让我找到某个答案。],[如今，我已解開了困住我多年的心結，卻依然很迷茫……我想，大概只有出家，才能讓我找到某個答案。],"""Though I’ve untangled the knot that bound my heart for years, I remain adrift... Perhaps only monastic life can offer the answers I seek.""",「長年私を苦しめてきたわだかまりが、ようやく解けた。だがまだ迷いがある……きっとここで仏門に入らなければ、答えを見つけられないような気がするんだ」,"""Я хоть и снял с души камень, который терзал меня многие года, но всё ещё чувствую себя потерянным... Возможно, лишь будучи монахом, я смогу найти ответ.""",
