#SHEET_NAME,忆-第一回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_1,chapter_bg_Y,chapter_title_Y1,Liang,265,,,,,,,,,,,
,*map_yi_1,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_1,,,,,,,,,,,,,,,
,SetChapterName,忆-第一回,,,,,,,,,,,,,,,
,FadeOut,black,,,,,0,,,,,,,,,,
,Wait,,,,,,2,,,,,,,,,,
,Bgm,烟花风月,,,,0.2,3,,,,,,,,,,,
,Bg,静听,,,,,,,,,,,,,,,
,Tween,BG,ScaleTo,x=1.6 y=1.6 time=0,,,,,,,,,,,,,,
,Thread,*BG拉远5s,,,,,,,,,,,,,,,
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,
,AutoSave,,,,,,,,,,,,,,,,
,,苏怜烟,<Off>,,,,,,,默认1,,苏怜烟/02_苏怜烟_01_1,,[“狮驼国”？],[“獅駝國”？],"""The Lion Camel Kingdom?""",「『獅駝国』？」,"""Королевство Льва и Верблюда?"""
,,,,,,,,,,默认2,,,,她倚坐桌畔，漫不经心地问。,她倚坐桌畔，漫不經心地問。,"She leans against the table, voice trailing off in casual inquiry.",卓に寄りかかりながら、彼女は何気なくそう訊いた。,"Облокотившись на стол, спросила она меня, как бы между слов."
,,苏怜烟,<Off>,,,,,,,默认3,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认4,,,,苏怜烟慵懒地靠着桌沿，下颔轻抵右手手背，眸光流连于桌上的香炉、香盒和香丸。,蘇憐煙慵懶地靠著桌沿，下頷輕抵右手手背，眸光流連於桌上的香爐、香盒和香丸。,"Slouching languidly by the table's edge, her chin rests on the back of her left hand as her gaze drifts over the incense burner, powder case, and fragrance pellets—each object steeped in the muted glow of fading daylight.",怜煙は卓の端にもたれかかり、左手の甲で下顎を軽く撫でると、そこに置いてある香炉や香箱、香玉に目をやった。,"Она лениво сидела у края стола, опершись подбородком на левую ладонь. Взгляд её блуждал по курильнице, пудренице и ароматическим гранулам - все эти мелочи мерцали в мягком свете уходящего дня."
,,,,,,,,,,默认5,,,,她并未看我。,她並未看我。,She doesn't look at me.,私の方を見ようともせず。,Она не смотрела на меня.
,WaitThread,*BG拉远,TRUE,,,,,,NoWait,,,,,,,,
,,,,,,,,,,默认6,,,,不过，因为此刻这花魁小间内仅有我们二人独处。,不過，因為此刻這花魁小間內僅有我們二人獨處。,"But since we're the only two in this courtesan's chamber,",しかし、今この瞬間、この花魁部屋には私と彼女の二人しかいない。,Но раз уж мы были вдвоём в этой комнате куртизанки...
,,,,,,,,,,默认7,,,,她问出的这话，必定是问我的。,她問出的這話，必定是問我的。,her words must be meant for me.,つまり彼女の問いは、私への問いである。,То её вопрос был определённо адресован мне.
,,方知宥,,,,,,,,默认8,,方知宥/02_方知宥_01,,[正是，我想写的书便叫《狮驼国》，嗯……你可曾读过《金瓶梅》？],[正是，我想寫的書便叫《獅駝國》，嗯……你可曾讀過《金瓶梅》？],"""Precisely. The book I intend to write shall be called 'The Lion Camel Kingdom'. Hmm... have you read 'The Plum in the Golden Vase'?""",「そう、書こうとしている本は『獅駝国』というんだ。えっと……『金瓶梅』は読んだことがあるかい？」,"""Точно. Книга, которую я хочу написать, будет называться 'Королевство льва и верблюда'. Ммм… ты же читала 'Цветы сливы в золотой вазе'?"""
,,,,,,,,,,默认9,,,,我笑着问她。,我笑著問她。,I ask with a smile.,私は微笑みながら彼女に問う。,"Улыбаясь, спросил я."
,,苏怜烟,<Off>,,,,,,,默认10,,苏怜烟/02_苏怜烟_02,,[这等名作，自然是通篇皆览，一字一句，尽皆读过。],[這等名作，自然是通篇皆覽，一字一句，盡皆讀過。],"""A masterpiece like that? Naturally, I've read it from cover to cover, word for word.""",「あんなにいい本だもの、当然ぜんぶ読んだわ。一字一句、ぜんぶね。」,"""Этот шедевр? Конечно, читала. Каждое слово, от корки до корки."""
,,方知宥,,,,,,,,默认11,,方知宥/02_方知宥_02,,[啊？竟都读过……那……],[啊？竟都讀過……那……],"""Ah? You've... read all of it? Then—""",「えっ？読んだことがあるんだ……じゃあ……」,"""А? Ты... прочитала? Тогда…"""
,,苏怜烟,<Off>,,,,,,,默认12,,苏怜烟/02_苏怜烟_03,,[那又如何？],[那又如何？],"""And what of it?""",「じゃあ、何？」,"""В чём дело?"""
,,方知宥,,,,,,,,默认13,,方知宥/02_方知宥_03,,[那倒是方便畅谈了！],[那倒是方便暢談了！],"""Then we can discuss it freely!""",「話が合うね！」,"""Тогда мы сможем обсудить её!"""
,,,,,,,,,,默认14,,,,她抬眸瞥我一眼，唇边含笑。,她抬眸瞥我一眼，唇邊含笑。,"She lifts her eyes to glance at me, a smile playing on her lips.",彼女が視線を上げた。その唇には笑みがたたえられている。,"Она подняла глаза, бросила на меня быстрый взгляд, а затем улыбнулась."
,,方知宥,,,,,,,,默认15,,,,[……],[……],"""...""",「……」,"""..."""
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认16,,,,她果然是博览群书。,她果然是博覽群書。,So she is well-read indeed.,やはり、彼女は本への造詣が深い。,Она правда начитанна.
,,,,,,,,,,默认17,,,,我原本藏了些小心思，以为她没读过此书。,我原本藏了些小心思，以為她沒讀過此書。,"I'd harbored a secret thought, assuming she hadn't perused this book.",この本ばかりは読んだことがないのではないかと、心の隅で思っていた。,"Я-то думал, что она его не читала - и у меня даже были на этот счёт тайные мыслишки."
