#SHEET_NAME,忆-第四回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_4,chapter_bg_Y,chapter_title_Y4,Liang,265,,,,,,,,,,,
,*map_yi_4,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_4,,,,,,,,,,,,,,,
,SetChapterName,忆-第四回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,马车窗,,,,,,,,,,,,,,,
,FadeIn,black,,punch,,,1,,,,,,,,,,,
,Ambience,马车颠簸氛围
,AutoSave,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认1,,,,我蜷缩在狭窄的马车车厢里。,我蜷縮在狹窄的馬車車廂裡。,I hunched inside the carriage’s cramped confines.,私は狭い馬車の中で身を縮めていた。,Я сгорбился в тесной повозке.
,,,,,,,,,,默认2,,,,马车的车轮碾过坑洼不平的土路，车厢随着起伏的路面颠簸，每一次颠簸都让我的骨头硌在硬木板上。,馬車的車輪碾過坑窪不平的土路，車廂隨著起伏的路面顛簸，每一次顛簸都讓我的骨頭硌在硬木板上。,"The carriage wheels lurched over the pitted dirt road, the compartment jolting violently with every bump—each impact grinding my bones against the hardwood planks.",車輪がでこぼこの道を軋みながら進んでいく。地面の起伏に合わせて車内が揺れ、そのたびに骨が硬い木にぶつかり痛みが走った。,"Колёса повозки катились по ухабистой грунтовой дороге, каждая кочка заставляла повозку подпрыгивать, отчего мои кости болезненно ударялись о твёрдые деревянные доски."
,,,,,,,,,,默认3,,,,他们说，要送我和雁儿姐去扬州，大伯在那里等着。,他們說，要送我和雁兒姐去揚州，大伯在那裡等著。,"They said <ruby=Swan Goose>Sister Yan</ruby> and I were being sent to Yangzhou, where Eldest Uncle awaited us.",彼ら曰く、私と雁姉は揚州にいる伯父のところに送られるそうだ。,"Мне сказали, что нас с сестричкой Лебёдушкой в Янчжоу уже ждёт мой дядя."
,,,,,,,,,,默认4,,,,这段行程漫长而枯燥。,這段行程漫長而枯燥。,"The journey dragged on, monotonous and exhausting.",長く退屈な道のりだ。,"Дорога, однообразная и изнуряющая, тянулась словно бесконечно."
,,,,,,,,,,默认5,,,,我们先是陆路，要乘颠簸的马车，花二十余日才到京师。,我們先是陸路，要乘顛簸的馬車，花二十餘日才到京師。,"We started by land, rattling in that bone-shaking carriage for over twenty days just to reach the Capital City.",私たちはまず、陸路で揺れる馬車に乗り、二十日あまりで首都へと行く。,"Поначалу мы ехали сухопутным путём, на этой трясущейся повозке - двадцать с лишним дней нам понадобилось, чтобы доехать до столичного города <i>(имеется в виду Нанкин)</i>."
,,,,,,,,,,默认6,,,,接着是水路与陆路交错，我们时而乘船，时而换车，沿着大江再行二十余日。,接著是水路與陸路交錯，我們時而乘船，時而換車，沿著大江再行二十餘日。,Then came the alternating rhythm of waterways and roads—switching between boats and carriages as we traced the great river for another twenty-odd days.,その後は水路と陸路を乗り換える。時には船で、時には馬車で、長江に沿ってさらに二十日あまりを進む。,"Затем в течение ещё двадцати дней мы чередовали транспорт - то на повозках, то на лодках по большим рекам."
,,,,,,,,,,默认7,,,,我们的终点是扬州，那里是方家大伯的府邸。,我們的終點是揚州，那裡是方家大伯的府邸。,"Yangzhou was our final stop, where the Fang Family Manor stood—Uncle's domain.",終点は揚州だ。方家の伯父の屋敷はそこにある。,"Янчжоу был последней остановкой, где нас ждало поместье семьи Фан, где жил дядя."
,,,,,,,,,,默认8,,,,在那里，我将被过继为大伯的儿子。,在那裡，我將被過繼為大伯的兒子。,"There, I would be adopted as Uncle's son.",着いたら、私は伯父の養子に迎えられることになる。,Там он меня усыновит в качестве наследника.
,,,,,,,,,,默认9,,,,而雁儿姐，将成为大伯的小妾。,而雁兒姐，將成為大伯的小妾。,And <ruby=Swan Goose>Sister Yan</ruby> would become Uncle's concubine.,そして雁姉は、伯父の妾に。,А сестричка Лебёдушка станет его наложницей.
,,,,,,,,,,默认10,,,,……,……,...,……,...
,,,,,,,,,,默认11,,,,马车里的窗户很小，只有我的手掌大。,馬車裡的窗戶很小，只有我的手掌大。,"The carriage window was tiny, no larger than my palm.",馬車の窓は小さく、私の手のひらほどしかない。,"Окошко в повозке было крошечным, не больше моей ладони."
,,,,,,,,,,默认12,,,,夜晚的时候，窗外都是一片黑，只有接连不断的蝉鸣声，以及那烦人的蚊虫，嗡嗡地吵人睡觉。,夜晚的時候，窗外都是一片黑，只有接連不斷的蟬鳴聲，以及那煩人的蚊蟲，嗡嗡地吵人睡覺。,"At night, the world outside the window was pitch black, filled only with the ceaseless chirping of cicadas and the maddening buzz of mosquitoes, disturbing my sleep.",夜になると窓の向こうも真っ黒になり、絶え間なく鳴く蝉の声と耳障りな蚊の飛ぶ音が眠りを妨げた。,"Ночью за окном царила кромешная тьма, нарушаемая лишь бесконечным стрёкотом цикад и невыносимым жужжанием комаров, мешавшим заснуть."
,,,,,,,,,,默认13,,,,"""白天的时候，窗外会投射进来一道白光，这白光会照亮飘浮在空气中的尘埃，让它们像是小虫子一样上下飘飞。",白天的時候，窗外會投射進來一道白光，這白光會照亮漂浮在空氣中的塵埃，讓他們像是小蟲子一樣上下飄飛。,"During the day, a beam of white light would pierce through the window, illuminating the dust particles floating in the air, making them dance like tiny insects.",昼になると窓の外から一筋の光が射し込み、車内に漂う砂埃を照らし出した。それらは小虫のようにふよふよとそこらを跳び回る。,"А днём сквозь окошко пробивался луч света, подсвечивая кружившуюся в воздухе пыль, от чего она напоминала летящих то вверх, то вниз маленьких букашек."
,,,,,,,,,,默认14,,,,我经常会趴在马车的小窗前，去看那些沿途的山景。,我經常會趴在馬車的小窗前，去看那些沿途的山景。,I often pressed my face against the carriage's small window to gaze at the mountain scenery passing by.,私はよく馬車の小窓に張り付き、過ぎていく山景を眺めて過ごした。,"Я часто прислонялся лицом к окошку и смотрел на горный пейзаж, тянувшийся вдоль дороги."
,,,,,,,,,,默认15,,,,山峦一片连着一片，层层叠叠地延展向天际。,山巒一片連著一片，層層疊疊地延展向天際。,"Mountains stretch endlessly, range upon range rolling toward the horizon.",山々がずらりと連なり、そのひとつひとつが天へと伸びている。,"Горы бесконечно тянулись цепью хребтов, теряясь за где-то за горизонтом."
,,,,,,,,,,默认16,,,,偶尔，我能看到山间升起一缕笔直的烟尘。,偶爾，我能看到山間升起一縷筆直的煙塵。,"Occasionally, I spot a thin column of dust rising straight between the peaks.",時折、山の合間にまっすぐな煙が昇っているのを見た。,"Иногда я замечал тонкий столб дыма, поднимающийся между вершинами."
,,,,,,,,,,默认17,,,,爹爹曾跟我讲过，如果在山间看到烟尘，便代表着那里有人。,爹爹曾跟我講過，如果在山間看到煙塵，便代表著那裡有人。,Father once told me that smoke in the mountains means people live there.,山間の煙はそこに人が住んでいる証だと父が言っていたな。,"Папа когда-то рассказывал, что дым в горах означает, что там живут люди."
,,,,,,,,,,默认18,,,,如果升起的是青色的烟尘，那里便可能住着神仙。,如果升起的是青色的煙塵，那裡便可能住著神仙。,"If the smoke is blue-tinged, immortals might dwell there.",その煙が青ければ神仙が住んでいるかもしれない。,"А если дым - голубой, то там, возможно, живёт небожитель."
,,,,,,,,,,默认19,,,,我看到的那些烟尘，几乎没有青色的烟尘。,我看到的那些煙塵，幾乎沒有青色的煙塵。,The plumes I see are almost never blue.,私が見た煙に青色はほとんどなかった。,"Дым, который я видел, почти всегда был обычного цвета."
,,,,,,,,,,默认20,,,,但我每看到一处烟尘，都会对着烟尘行礼。,但我每看到一處煙塵，都會對著煙塵行禮。,"Yet whenever I spot one, I bow toward the rising dust.",しかし煙を見るたび、そこに向かって一礼していた。,"Тем не менее, каждый раз, видя дым, я кланялся ему."
,,,,,,,,,,默认21,,,,我想，假如那里万一住着神仙的话，或许便能让我和雁儿姐的爹娘起死回生，我们便不至于过如今的生活。,我想，假如那裡萬一住著神仙的話，或許便能讓我和雁兒姐的爹娘起死回生，我們便不至於過如今的生活。,"I think—if by chance an immortal lives there, perhaps they could bring <ruby=Swan Goose>Sister Yan</ruby>'s and my Father and Mother back from death. Then we wouldn't have to live like this.",仮に万が一神仙が住んでいるのならば、私と雁姉の両親を生き返らせてくれるかもしれない。そうすれば今のように惨めな暮らしもしなくて済むはずだ。そう考えていた。,"Я думал, а что, если там и правда живут небожители? Может, они вернули бы к жизни наших с сестричкой Лебёдушкой родителей. И нам бы не пришлось жить вот так."
,,,,,,,,,,默认22,,,,……,……,...,……,...
,StopAmbience,,,,,,,,,,,,,,,,,
,CharacterOff,,,,,,1,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,船窗夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,1,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,荒村,,,,,,,,,,,,,,,,
,,,,,,,,,,默认23,,,,船舱的窗户比马车大多了，足有我半个身子高。,船艙的窗戶比馬車大多了，足有我半個身子高。,"The cabin windows were far larger than those of a carriage, standing nearly half my height.",船の窓は馬車よりもはるかに大きく、私の背丈の半分ほどはあった。,"Окна в каюте были куда больше, чем в повозке, примерно мне по пояс."
,,,,,,,,,,默认24,,,,夜晚，比在山里时要更亮，因为总有一轮圆月映在湖面上。,夜晚，比在山裡時要更亮，因為總有一輪圓月映在湖面上。,"Nights here were brighter than in the mountains, with a full moon perpetually glinting on the lake.",夜は山にいる時よりも明るかった。まん丸な月が湖面に映っていたからだ。,"Ночи с полной луной, мерцающей над озером, были куда светлее, чем в горах."
,Bg,船窗,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认25,,,,白天，风景要更美，轻风吹动湖面，在湖面上吹出一阵阵涟漪，远处依然是山连着山，鲜少能看到村镇。,白天，風景要更美，輕風吹動湖面，在湖面上吹出一陣陣漣漪，遠處依然是山連著山，鮮少能看到村鎮。,"By day, the view grew even lovelier—soft winds ruffled the lake into ripples, while endless mountain ranges loomed in the distance, villages scarcely visible.",昼は一段と美しい景色だった。そよ風が湖面を撫で、さあさあとさざ波が起きた。遠くにはやはり山が並んでおり、村や町はまばらだった。,"Днём вид был ещё красивее - мягкий ветер колыхал поверхность воды, создавая на ней рябь, вдали виднелись горные хребты и едва различимые деревни."
,,,,,,,,,,默认26,,,,偶尔有水鸟从湖面上掠过，它们的足尖点破水面，在湖面上踏起一阵阵更大的涟漪。,偶爾有水鳥從湖面上掠過，它們的足尖點破水面，在湖面上踏起一陣陣更大的漣漪。,"Now and then, waterbirds grazed the lake's surface, their talons pricking the water and sending broader ripples fanning out.",時々水鳥が湖面すれすれをかすめ、足先が水面に触れるとより大きなさざ波が立った。,"Иногда водоплавающие птицы скользили над поверхностью озера, их лапы касались воды, вызывая на ней ещё более заметные круги."
,,,,,,,,,,默认27,,,,涟漪一串串地交汇到一起，在水面开出了一朵朵盛开的花。,漣漪一串串地交匯到一起，在水面開出了一朵朵盛開的花。,"Ripples merged in interlocking chains, blossoming like flowers across the water.",そして、さざ波同士がぶつかると、水面にきれいな花のような模様が浮かび上がるのであった。,"Эти круги сталкивались, образуя узоры, похожие на пышные цветы."
,,,,,,,,,,默认28,,,,……,……,...,……,...
,,,,,,,,,,默认29,,,,我喜欢在船上胜过在马车里。,我喜歡在船上勝過在馬車裡。,I prefer boats to carriages.,私は馬車の中よりも船が好きだった。,"На лодке плыть мне было больше по душе, чем катиться в повозке."
,,,,,,,,,,默认30,,,,我喜欢在河上胜过在山林里。,我喜歡在河上勝過在山林裡。,I prefer rivers to mountain forests.,私は山よりも川が好きだった。,"И реки мне нравились больше, чем горные леса."
,,,,,,,,,,默认31,,,,然而，再美的景致也敌不过时间的消磨。,然而，再美的景致也敵不過時間的消磨。,"Yet no beauty, however breathtaking, can resist time’s decay.",しかしどれほど美しい景色とて、時間の流れにはなす術がない。,"Однако, каким бы прекрасным ни был пейзаж, он не сможет устоять перед течением времени."
