#SHEET_NAME,记-第三回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_3,chapter_bg_J,chapter_title_J3,Liang,265,,,,,,,,,,,,
,*map_ji_3,,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_3,,,,,,,,,,,,,,,,
,SetChapterName,记-第三回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Ambience,小雨,TRUE,,,,2,,,,,,,,,,,
,Bg,右屋雨,,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,AutoSave
,,,,,,,,,,默认1,,,,天上下着丝丝冷雨。,天上下著絲絲冷雨。,A cold drizzle fell from the sky.,しとしとと冷たい雨が降っている。,Ледяной дождь всё ещё моросил с неба.
,,,,,,,,,,默认2,,,,雨滴顺着屋檐断断续续地滴落，有几滴落在我的肩头，带来冰凉的触感。,雨滴順著屋簷斷斷續續地滴落，有幾滴落在我的肩頭，帶來冰涼的觸感。,"Raindrops trickled intermittently from the eaves, a few landing on my shoulders with an icy touch.",雨粒が屋根を伝って滴り落ちる。ぽたりと私の肩に水滴が落ち、ひんやりとした感触が伝わってきた。,"Капли дождя падали с карниза крыши, иногда попадая мне на плечи, оставляя ледяной след."
,,方知宥,,,,,,,,默认3,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认4,,,,我愣愣地站在右屋，看着酒缸里的那个女娃。,我愣愣地站在右屋，看著酒缸裡的那個女娃。,"I stood frozen in the Right Chamber, staring at the girl inside the Wine Vat.",私は右の傍屋で突っ立ったまま、酒壺の中の少女を見ている。,"Я неподвижно застыл в правом флигеле, уставившись на девочку в винной бочке."
,,女娃,,,,,,,,默认5,,,,[……],[……],"""...""",「……」,"""..."""
,BgEvent,见缸中苏怜烟,,,,,1,,,,,,,,,
,,,,,,,,,,默认6,,,,她抱着双膝，蜷缩在狭窄的酒缸深处。,她抱著雙膝，蜷縮在狹窄的酒缸深處。,"She hugged her knees, curled up deep within the narrow Wine Vat.",彼女は膝を抱え、狭い酒壺の底で縮こまっている。,"Та сжалась в глубине тесной винной бочки, прижав колени к груди."
,,,,,,,,,,默认7,,,,她抬起头，睁大圆溜溜的双眼，好奇地望着我。,她抬起頭，睜大圓溜溜的雙眼，好奇地望著我。,"She lifted her head, her round eyes wide with curiosity as she gazed at me.",そして頭をもたげると、まん丸な目で私の方を興味深そうに見た。,"Она приподняла голову, и её круглые глаза с любопытством посмотрели на меня."
,,,,,,,,,,默认8,,,,那双眼眸中纯净无瑕，不带一丝混浊。,那雙眼眸中純淨無瑕，不帶一絲混濁。,"Those eyes were pure and unclouded, without a trace of murkiness.",その双眸は純粋無垢そのものであり、一切の濁りがない。,"Чистые, без капельки мути."
,,方知宥,,,,,,,,默认9,,,,[……],[……],"""...""",「……」,"""..."""
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认10,,,,我如同被钉在原地，震惊地说不出一个字。,我如同被釘在原地，震驚地說不出一個字。,"I stood rooted to the spot, too shocked to utter a single word.",私はその場で固まってしまい、驚きで声が出なかった。,"Я стоял в оцепенении, не в силах сказать и слова."
,,,,,,,,,,默认11,,,,她……她的长相，与我记忆中十一岁的苏怜烟简直是一个模子刻出来的，分毫不差。,她……她的長相，與我記憶中十一歲的蘇憐煙簡直是一個模子刻出來的，分毫不差。,She... her appearance was an exact replica of how I remembered Su Lianyan at eleven years old—identical down to the last detail.,彼女の姿は……私の記憶にある十一歳の頃の蘇憐煙をそのまま持ってきたかのように瓜二つだった。,"Она... она была словно точной копией той одиннадцатилетней Су Ляньянь, которую я запомнил, без единого отличия."
,,,,,,,,,,默认12,,,,可是……这怎么可能？,可是……這怎麼可能？,But... how could this be possible?,しかし……そんなことが、あり得るのだろうか？,Но... как такое возможно?
,,,,,,,,,,默认13,,,,苏怜烟不是早就死了吗？,蘇憐煙不是早就死了嗎？,Didn't Su Lianyan die long ago?,蘇憐煙は死んだはずなのに。,Су Ляньянь же давно умерла.
,,,,,,,,,,默认14,,,,就算她没死，也早该长大了吧？,就算她沒死，也早該長大了吧？,"Even if she hadn't died, shouldn't she have grown up by now?",たとえ死んでいなくとも、大人になっているはずだ。,"Да даже если она и не умерла, она же не могла остаться ребёнком?"
,,,,,,,,,,默认15,,,,虽然……我因“兽视症”忘了很多她的事。,雖然……我因“獸視症”忘了很多她的事。,Though... my Beast's Affliction has made me forget much about her.,確かに……「獣視病」のせいで、彼女についてはほとんど覚えていない。,"Хотя... из-за ""Звериного взора"" я многое позабыл о ней."
,,,,,,,,,,默认16,,,,但是，我一定是见过长大后的她，更清楚她已经……死了！,但是，我一定是見過長大後的她，更清楚她已經……死了！,"But I must have seen her grown-up self before, and I know for certain she's... dead!",しかし、私は大人になった彼女を知っている。そして……死んでいることも。,"Но я точно видел её взрослой, и ещё более точно знаю, что она... мертва!"
