#SHEET_NAME,记-第十三回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_13,chapter_bg_J,chapter_title_J13,Liang,265,,,,,,,,,,,
,*map_ji_13,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_13,,,,,,,,,,,,,,,
,SetChapterName,记-第十三回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,四艺堂小间冷清,,,,,,,,,,,,,,,
,AutoSave,,,,,,,,,,,,,,,,
,Bgm,烟花风月,,,,0.2,3,,,,,,,,,,,
,,方知宥,,,,,,,,默认1,,方知宥/23_方知宥_01,,[能。],[能。],"""Sure.""",「やれる」,"""Пойду."""
,,,,,,,,,,默认2,,,,记忆中，面对雁儿姐的询问，我没有一丝犹豫，立刻便给出了我的答案。,記憶中，面對雁兒姐的詢問，我沒有一絲猶豫，立刻便給出了我的答案。,"In my memory, when <ruby=Swan Goose>Sister Yan</ruby> asked me that question, I answered without the slightest hesitation.",記憶の中、雁姉の問いに対し、私は寸分の躊躇もなく答えた。,"В своих воспоминаниях я ответил на вопрос сестрички Лебёдушки сразу же, не колеблясь."
,,,,,,,,,,默认3,,,,她听到我的回答后，唇角微扬，红唇轻启，仿佛要对我说些什么。,她聽到我的回答後，唇角微揚，紅唇輕啟，彷彿要對我說些什麼。,"Hearing my reply, she smiled faintly, her red lips parting as if to speak.",私の答えを聞くと、彼女は口元をほころばせ、何か言おうと赤い唇を開きかけた。,"Услышав мой ответ, она улыбнулась, алые губы раскрылись, словно она хотела мне что-то сказать."
,,,,,,,,,,默认4,,,,然而——,然而——,And yet...,しかし――,Но...
,StopBgm,,,,,,3,,,,,,,,,,,
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,Ambience,室内沙沙,,,,,,,,,,,,
,,良,<Off>,,,,,,,默认5,,良/23_良_01,,[不……不要！！！］,[不……不要！！！］,"""No... stop!!!""",「や……やめろ！！」,"""Нет... Не надо!!!"""
,,,,,,,,,,默认6,,,,突然，一个男人的声音从我的耳边响起。,突然，一個男人的聲音從我的耳邊響起。,"Suddenly, a man's voice sounded right beside my ear.",突然、男の声が私の耳元で響き渡った。,Неожиданно раздался в моих ушах мужской крик.
,,,,,,,,,,默认7,,,,他的声音带着几分惊恐，几分挣扎，这声音撕扯开了我的回忆，将我硬生生拽回现实。,他的聲音帶著幾分驚恐，幾分掙扎，這聲音撕扯開了我的回憶，將我硬生生拽回現實。,His voice—equal parts panic and desperation—shattered my memories and dragged me back to reality.,恐れ、あがき。そんな様子が声から聞き取れた。声が私を記憶から現実へと引きずり戻す。,Звучал он напуганно и напряжённо. Своей громогласностью он разорвал мои воспоминания и насильно вырвал меня из них.
,,,,,,,,,,默认8,,,,眼皮轻颤，肌肉绷紧，双手无意识地抖动着。,眼皮輕顫，肌肉繃緊，雙手無意識地抖動著。,"My eyelids fluttered, muscles tensed, and my hands began trembling involuntarily.",まぶたが微かに震え、筋肉が張り詰め、両手がぶるぶると震えている。,"Веки мои подрагивали, мышцы были напряжены, руки бессознательно махали перед собой."
,,,,,,,,,,默认9,,,,我深深吸一口气，再猛地睁开双眼。,我深深吸一口氣，再猛地睜開雙眼。,I took a deep breath and abruptly opened my eyes.,深く息を吸い込むと、ぱっと目を開けた。,Я сделал глубокий вдох и с силой распахнул глаза.
,,方知宥,,,,,,,,默认10,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认11,,,,我先望了望头顶上模糊的房梁，随后猛地转过头，看向身侧。,我先望了望頭頂上模糊的房梁，隨後猛地轉過頭，看向身側。,"I first glanced at the blurry ceiling beam above, then suddenly turned my head to look beside me.",最初に見えたのはぼんやりとした頭上の梁だった。その後に振り返り、横を見る。,"Сперва мой взгляд упал на расплывающуюся потолочную балку над головой, затем я повернул голову и посмотрел вбок."
,,良,<Off>,,,,,,,默认12,,良/23_良_02,,[不……不要！……不要杀他！],[不……不要！……不要殺他！],"""No... don't!... Don't kill him!""",「やめろ……やめるんだ！……そいつを殺すな！」,"""Нет... Не надо!... Не убивай его!"""
,,,,,,,,,,默认13,,,,此时，良叔还在因噩梦而呓语，受梦魇所侵扰。,此時，良叔還在因噩夢而囈語，受夢魘所侵擾。,"At this moment, Uncle Liang was still murmuring in his nightmare, tormented by its horrors.",良がうわ言を発しながら、悪夢にうなされていた。,"Дядюшка Лян всё ещё кричал во сне, мучаемый кошмарами."
