#SHEET_NAME,记-第七回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_7,chapter_bg_J,chapter_title_J7,Liang,265,,,,,,,,,,,
,*map_ji_7,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_7,,,,,,,,,,,,,,,
,SetChapterName,记-第七回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,西商后厅,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Bgm,雨井烟垣_可循环,,,,0.2,3,,,,,,,,,,,
,AutoSave
,Se,陶瓷破碎,,,,,,,,默认1,,,,——“哐当”,——“哐當”,"——""Clang""",――カタン,*Бац!*
,,,,,,,,,,默认2,,,,酒壶倾倒在木桌上。,酒壺傾倒在木桌上。,The liquor bottle toppled onto the wooden table.,酒壺が卓の上で倒れた。,Графин с вином выскользнул из её рук и разбился о сандаловый круглый стол.
,,,,,,,,,,默认3,,,,浑浊的酒液泼溅而出，正洒在那红甲狼妖的下摆和军靴上。,渾濁的酒液潑濺而出，正灑在那紅甲狼妖的下擺和軍靴上。,"Murky liquor splashed out, drenching the hem and boots of the Red-Armored Wolf Demon.",濁った残り酒がこぼれ、赤い鎧の狼妖の裾から軍靴にかかった。,"Мутная жидкость разлилась, заливая поножи и сапоги яогуая-волка в красной броне."
,,红甲狼妖,,,,,1,,,默认4,,,,[……］,[……］,"""...""",「……」,"""..."""
,,,,,,,,,,默认5,,,,红甲狼妖眉头骤然锁紧，鼻翼微张，喉间发出一声不满的低呜。,紅甲狼妖眉頭驟然鎖緊，鼻翼微張，喉間發出一聲不滿的低嗚。,"The Red-Armored Wolf Demon’s brow furrowed sharply, nostrils flaring, a low growl of displeasure rumbling in its throat.",狼妖が眉間に皺を寄せ、鼻の穴がわずかに開いた。喉から不満そうな唸り声が漏れる。,"Брови яогуая-волка сразу гневно сдвинулись, ноздри раздулись, а из глотки раздалось недовольное рычание."
,,林翩翩,苦笑,,,,,,,默认6,,林翩翩/12_林翩翩_001,,[兵爷恕罪！小女子一时手滑，惊扰了您的雅兴，这便为您擦拭干净……］,[兵爺恕罪！小女子一時手滑，驚擾了您的雅興，這便為您擦拭乾淨……］,"""Forgive this offense, Sir! My hand slipped, disturbing your leisure—let me wipe it clean at once...""",「お許しを！手が滑って、せっかくのお楽しみを台無しに……すぐに綺麗に拭きますから……」,"""Ой, простите меня, господин! Рука дрогнула, испортила Вам всю обстановку! Позвольте, я всё уберу."""
,,,,,,,,,,默认7,,,,林翩翩注意到自己的失礼，猛地收回落在我身上的视线。,林翩翩注意到自己的失禮，猛地收回落在我身上的視線。,Lin Pianpian noticed her impropriety and sharply averted her gaze from me.,自分が粗相をしたことに気付くと、林翩翩はぷいと私から視線をそらした。,"Поняв свою оплошность, Линь Пяньпянь резко отвела от меня взгляд."
,,林翩翩,微笑,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,她很快恢复了镇定，迅速敛起裙裾，在妖兵面前盈盈跪坐下来。,她很快恢復了鎮，迅速斂起裙裾，在妖兵面前盈盈跪坐下來。,"She swiftly regained her composure, gathered her skirts, and knelt gracefully before the demon soldier.",彼女はすぐに落ち着きを取り戻すと、裾をまくり、妖兵の前ですらりと跪いた。,"Она быстро взяла себя в руки, подобрала подол юбки и плавно опустилась на колени перед яогуаем-солдатом."
,,,,,,,,,,默认9,,,,她从怀中抽出一方绣工精巧的丝帕，先极小心地拭去狼妖锦缎下摆上的酒渍，再将帕子翻转，用洁净的内里，一点一点擦去他靴上的血污。,她從懷中抽出一方繡工精巧的絲帕，先極小心地拭去狼妖錦緞下擺上的酒漬，再將帕子翻轉，用潔淨的內裡，一點一點擦去他靴上的血汙。,"From her robe, she took out an intricately embroidered silk handkerchief. First, she meticulously blotted the wine stains from the Wolf Demon's brocade hem, then turned the cloth over to wipe the bloodstains from his boots with its pristine inner side.",懐からきれいな刺繍の手ぬぐいを出し、狼妖の絹の裾についた酒の汚れを丁寧に拭き取る。そして手ぬぐいをひっくり返し、きれいな裏面で、こんどは靴の血や泥を一つずつ拭っていった。,"Вынув из-за пазухи изящный вышитый шёлковый платок, она сначала очень осторожно вытерла им пятно вина с поножей яогуая-волка, а затем перевернула платок и чистой стороной стала понемногу вытирать кровь с его сапог."
,,红甲狼妖,不耐烦,,,,,,,默认10,,,,[……］,[……］,"""...""",「……」,"""..."""
