#SHEET_NAME,忆-第十四回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_14,chapter_bg_Y,chapter_title_Y14,Liang,265,,,,,,,,,,,
,*map_yi_14,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_14,,,,,,,,,,,,,,,
,SetChapterName,忆-第十四回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,左屋忆,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Bgm,烟花风月,,,,0.2,3,,,,,,,,,,,
,AutoSave
,,,,,,,,,,默认1,,,,“《狮驼国》，幻奇之书也。”,“《獅駝國》，幻奇之書也。”,"""The 'Lion Camel Kingdom' is a tome of wondrous fantasy"".",「『獅駝国』とは幻奇の書なり」,"""'Королевство Льва и Верблюда' - сие есть книга дивных и чудных образов."""
,,,,,,,,,,默认2,,,,“吾以狮驼国一小民之视角，述百年前之往事。 ”,“吾以獅駝國一小民之視角，述百年前之往事。 ”,"""From the perspective of a humble citizen of the Lion Camel Kingdom, I recount events from a century ago. """,「獅駝国の一国民の視点から、数百年前の出来事を語ろうと思う」,"""От лица обычного жителя Королевства я перескажу события прошлых веков."""
,,,,,,,,,,默认3,,,,“五百年前，大圣未至，狮驼沦陷。见那金翅大鹏，展翅遮天，群妖肆虐，吃尽臣民，夺人江山，使得满国尽是妖怪！ ”,“五百年前，大聖未至，獅駝淪陷。見那金翅大鵬，展翅遮天，群妖肆虐，吃盡臣民，奪人江山，使得滿國盡是妖怪！ ”,"""Five hundred years ago, before the Great Sage's arrival, the Lion Camel Kingdom fell. I saw the Golden-Winged Great Roc spread its wings and blot out the sky, while the Horde of Demons ran rampant, devouring the people and seizing the throne, until the whole kingdom was filled with monsters!""",「時は五百年前、斉天大聖はまだこの地に現れておらず、獅駝国は陥落した。妖王である金翼鵬王の羽が天を覆い、妖怪の群れは悪逆非道の限りを尽くした。そして民を喰らいつくし、土地を乗っ取り、妖怪ののさばる国にしてしまった」,"""Пять веков назад, ещё до прибытия Сунь Укуна, Великого Мудреца, Королевство наше пало. Я узрел, как Великий Златокрылый Кондор расправил свои крылья, затмив небосвод. Яогуаи бесчинствовали, пожирали людей и захватывали земли - и вся страна наша оказалась наводнена ими."""
,,,,,,,,,,默认4,,,,“吾笔所至，泪亦随之，盖欲使世人知战争之苦，悲苦之深也。”,“吾筆所至，淚亦隨之，蓋欲使世人知戰爭之苦，悲苦之深也。”,"""Where my pen moves, tears follow—for I wish the world to know war's bitterness and sorrow's depth"".",「この物語を綴っている間、我ながら涙が零れた。願わくば世の人々に争いの苦しみを、その悲哀を伝えられんことを」,"""Следом за моей кистью следует слеза - желаю я показать, сколь ужасна война и сколь великую горесть несёт она людям."""
,,,,,,,,,,默认5,,,,……,……,...,……,...
,,,,,,,,,,默认6,,,,我伏案疾书，挥毫舞墨，狼毫笔在宣纸上奔走如飞，字字句句倾泻而出。,我伏案疾書，揮毫舞墨，狼毫筆在宣紙上奔走如飛，字字句句傾瀉而出。,"I hunched over the desk, writing furiously as the wolf-hair brush flew across the Xuan paper, words gushing forth in torrents.",机にかじりつき、ひたすらに書き続けた。狼毫筆が宣紙の上を駆け回り、次から次へと文字が溢れ出してくる。,"Склонившись над столом, я лихорадочно писал кистью из шерсти хорька на сюаньчэнской бумаге для каллиграфии - строки лились, словно из неиссякаемого источника."
,,,,,,,,,,默认7,,,,纸页渐满，墨迹纵横，我将每一笔都写得工整恳切，仿佛要将魂灵都刻入字里行间。,紙頁漸滿，墨跡縱橫，我將每一筆都寫得工整懇切，彷彿要將魂靈都刻入字裡行間。,"The pages gradually filled with crisscrossed ink strokes as I penned each character with painstaking precision, as though etching my very soul between the lines.",縦横に墨跡が走り、頁が埋まっていく。一筆一筆に丹精を込めて、私は書く。魂そのものを、文字に刻み付けるように。,"Страницы постепенно заполнялись вдоль и поперёк мазками туши; я выводил каждый иероглиф с мучительной тщательностью, словно высекая между строк собственную душу."
,,,,,,,,,,默认8,,,,——呼。,——呼。,—Huff.,――ふぅ,*Фух.*
,,,,,,,,,,默认9,,,,写罢一页后，我长舒出一口气，从木椅中起身。,寫罷一頁後，我長舒出一口氣，從木椅中起身。,"Having completed a page, I exhaled deeply and stood up from the wooden chair.",一頁書き終えると、私は長めの息を吐き出し、椅子から立ち上がった。,"Закончив страницу, я глубоко вздохнул, откинувшись на стуле."
,,,,,,,,,,默认10,,,,我将写满了字的宣纸似宝贝一般捧起，吹了吹上面的字迹。,我將寫滿了字的宣紙似寶貝一般捧起，吹了吹上面的字跡。,"I lifted the ink-filled Xuan paper like a precious relic, gently blowing on the fresh calligraphy.",文字で埋め尽くされた紙をまるで宝物のようにそっと持ち、書かれている筆跡にそっと息を吹きかけた。,"Подняв исписанный лист бумаги, я держал его, словно бесценный артефакт, легонько обдувая свежую тушь."
,,,,,,,,,,默认11,,,,墨香清冽，扑入鼻息，纸上黑亮的墨迹缓缓变色，变成了更为沉淀的黑灰。,墨香清冽，撲入鼻息，紙上黑亮的墨跡緩緩變色，變成了更為沉澱的黑灰。,The sharp fragrance of ink filled my nostrils as the glossy black characters slowly darkened to a more somber charcoal hue.,心地良い墨の香りが鼻を通る。紙の黒い墨の跡が、徐々により深い黒へと変わっていった。,"Резкий запах туши наполнил ноздри, а глянцево-чёрные иероглифы постепенно темнели, приобретая более сдержанный угольный оттенок."
,,方知宥,,,,,,,,默认12,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认13,,,,我端详着自己写下的文字，一股暖流般的自豪感油然而生，嘴角不自觉地微微扬起。,我端詳著自己寫下的文字，一股暖流般的自豪感油然而生，嘴角不自覺地微微揚起。,"As I examined the words I had written, a warm surge of pride welled up within me, and the corners of my mouth curled into an unconscious smile.",自分の書いた文字を見ていると、暖かい満足感がふつふつと沸き上がり、思わず笑みがこぼれた。,"При виде написанного внутри меня начало разливаться тёплое чувство гордости, а уголки рта непроизвольно изогнулись в улыбке."
,,方知宥,,,,,,,,默认14,,方知宥/30_方知宥_01,,[这几日写得倒顺，不仅试写了前三章，序言也改过一遍了。］,[這幾日寫得倒順，不僅試寫了前三章，序言也改過一遍了。］,"""These past few days, the writing has flowed smoothly—not only have I drafted the first three chapters, but I’ve also revised the preface.""",「ここ数日の進捗はなかなか順調だな。はじめの三章の下書きだけでなく、序章の校閲も一通りできた」,"""Последние пару дней слова прямо сами летят из-под кисти. Я не только набросал первые три главы, но и переработал предисловие."""
,,,,,,,,,,默认15,,,,我笑了笑，掂量着手中半指厚的书稿——这是我写的小说，名为《狮驼国》。,我笑了笑，掂量著手中半指厚的書稿——這是我寫的小說，名為《獅駝國》。,"I chuckled, weighing the half-inch-thick manuscript in my hand—this was my novel, titled ""Lion Camel Kingdom"".",ふふと笑い、指の半分ほどの厚さになった原稿を量る――私が書いた小説だ。題を『獅駝国』と言う。,"Усмехнулся я, взвешивая рукопись толщиной в полпальца. Это была моя книга - ""Королевство Льва и Верблюда""."
,,,,,,,,,,默认16,,,,此书取材自《西游记》，讲述一国臣民被狮驼岭群妖屠尽的悲剧故事。,此書取材自《西遊記》，講述一國臣民被獅駝嶺群妖屠盡的悲劇故事。,"The book draws inspiration from ""Journey to the West"", recounting the tragedy of a kingdom’s people slaughtered by the Horde of Demons at Lion Camel Ridge.",『西遊記』を原型に、とある国の民が獅駝嶺の妖怪たちに虐殺される悲劇を描いた物語だ。,"В своей книге, вдохновляясь ""Путешествием на Запад"", я пересказываю страдания жителей королевства, которых истребляют яогуаи в Львино-Верблюжьем хребте."
,,方知宥,,,,,,,,默认17,,方知宥/30_方知宥_02,,[嗯……将故事的主角设为一介书生，写来固然畅快恣意，只是……会不会有些不真实？］,[嗯……將故事的主角設為一介書生，寫來固然暢快恣意，只是……會不會有些不真實？］,"""Hmm... Making the protagonist a mere Scholar certainly makes the writing feel liberating, but... does it lack realism?""",「うーむ……物語の主人公を一介の書生にしたのは書きやすくて良いが……少し現実味に欠けるか？」,"""Хм-м... Учёный в качестве главного героя даёт свободу для фантазии... но вот насколько правдоподобно это будет выглядеть?"""
,,方知宥,,,,,,,,默认18,,方知宥/30_方知宥_03,,[《西游记》中的狮驼国远在西牛贺州，远离中原，那里不尊孔孟，当真会有书生？可若是改为和尚……这几日的心血岂不白费了……],[《西遊記》中的獅駝國遠在西牛賀州，遠離中原，那裡不尊孔孟，當真會有書生？可若是改為和尚……這幾日的心血豈不白費了……],"""In 'Journey to the West', the Lion Camel Kingdom lies far in the Western Continent of Cattle-Gift, distant from the Central Plains. They don't revere Confucius or Mencius—could there truly be scholars there? But if I change it to monks... wouldn't all these days of effort go to waste...""",「『西遊記』の獅駝国はこの<ruby=ちゅうげん>中原</ruby>から遥か離れた<ruby=さいごけしゅう>西牛賀洲</ruby>だ。孔子や孟子を尊ばぬ地に、はたして書生がいるのだろうか？だが僧に変えると……これまでの努力が水の泡に……」,"""В 'Путешествии на Запад' Королевство находится на западном материке Го-данья, вдалеке от Центральной равнины. Там не почитают Конфуция и Мэн-цзы - так откуда там взяться конфуцианскому учёному? Но если заменю учёного на монаха... то дни труда пойдут на смарку."""
,,,,,,,,,,默认19,,,,我在房中来回踱步，对着稿纸喃喃自语，时而点头，时而蹙眉。,我在房中來回踱步，對著稿紙喃喃自語，時而點頭，時而蹙眉。,"I paced back and forth in my room, muttering to myself over the draft paper—now nodding, now frowning.",部屋の中を行ったり来たりしながら、原稿についてぶつぶつと独り言を放ち、頷いたり首を捻ったりする。,"Я ходил взад-вперёд, бормоча над рукописью, то кивая, то хмурясь."
,,方知宥,,,,,,,,默认20,,,,[……］,[……］,"""...""",「……」,"""..."""
,,,,,,,,,,默认21,,,,忽然，我脚步一顿，眉头紧缩，仿佛想通了什么。,忽然，我腳步一頓，眉頭緊縮，彷彿想通了什麼。,"Suddenly, I stopped mid-step, my brow furrowing deeply, as if I'd finally understood something.",ふと足を止め、眉をひそめた。まるで天啓が下りたような気分だ。,"Вдруг я остановился, сильно нахмурившись, словно наконец что-то понял."
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认22,,,,不行。,不行。,No.,違う。,Не пойдёт.
,,,,,,,,,,默认23,,,,我独自在此处瞎想，也不会有什么结果。,我獨自在此處瞎想，也不會有什麼結果。,Mulling over this alone won't lead anywhere.,こんなところでぐだぐだ考えていたところで、何も変わらない。,"Одна голова - хорошо, а две - лучше."
,,,,,,,,,,默认24,,,,不如去找雁儿姐一趟，听听看她的见解……她博览群书，思路清奇，往往有独特的见解，能提出不错的建议。,不如去找雁兒姐一趟，聽聽看她的見解……她博覽群書，思路清奇，往往有獨特的見解，能提出不錯的建議。,"Perhaps I should visit <ruby=Swan Goose>Sister Yan</ruby> and seek her opinion... She's widely read, with a uniquely sharp mind, often offering fresh perspectives and sound advice.",雁姉のところに行き、彼女の見解を聞いてみればいいじゃないか……彼女は本もたくさん読んでいるし、発想も豊かでいつも独特の見解を出してくれる。きっといい案を出してくれるはずだ。,"Лучше уж будет сходить к сестричке Лебёдушке за её мнением... Она начитанная и умная, часто предлагает новый взгляд на вещи и даёт полезные советы."
,,,,,,,,,,默认25,,,,况且，前两日我托王生去办的路引已经到手，也是时候再见她一面，与她“细商”出逃之事了。,況且，前兩日我托王生去辦的路引已經到手，也是時候再見她一面，與她“細商”出逃之事了。,"Moreover, the travel pass I entrusted Scholar Wang to obtain two days ago has arrived. It's time to see her again and ""discuss in detail"" our plans to escape.",それに、この前王書生に頼んでおいた路引も手に入った。一度彼女と会って、逃亡の件を詳しく話さねば。,"К тому же подорожная грамота, которую я поручил учёному Вану два дня назад, уже готова. Сейчас самое время снова увидеть сестричку Лебёдушку и обсудить наш план побега."
,,方知宥,,,,,,,,默认26,,,,[……］,[……］,"""...""",「……」,"""..."""
,,,,,,,,,,默认27,,,,只是……若是我真与她私奔逃出扬州城，还能有这般安宁的日子容我静心写作吗？,只是……若是我真與她私奔逃出揚州城，還能有這般安寧的日子容我靜心寫作嗎？,"But... if I truly elope with her and flee Yangzhou City, will I still have such peaceful days to devote to my writing?",ただ……もしも彼女と駆け落ちして揚州から逃げ出したら、これほど執筆に打ち込める安寧な日々を送れるだろうか？,"Но... если я и правда сбегу с ней из Янчжоу, то смогу ли спокойно посвятить свою жизнь книгописательству?"
,,,,,,,,,,默认28,,,,一念及此，我不仅有些担忧，也有些迷茫。,一念及此，我不僅有些擔憂，也有些迷茫。,"At this thought, I feel not only worried but also lost.",そう考えると不安だけでなく、迷いも生まれてくる。,"После этой мысли я начал ощущать не только тревогу, но и растерянность."
,,,,,,,,,,默认29,,,,我自然愿与雁儿姐相守终生，无论因此要面对怎样的阻挠，我都做好了心理准备。,我自然願與雁兒姐相守終生，無論因此要面對怎樣的阻撓，我都做好了心理準備。,"I am willing to spend my life with <ruby=Swan Goose>Sister Yan</ruby>, no matter what obstacles we face—I am prepared for them all.",もちろん雁姉と終生を過ごす覚悟はできている。どんな妨害があろうと、心の準備はできている。,"Я хочу посвятить свою жизнь сестричке Лебёдушке, несмотря ни на что... Я готов ко всему."
,,,,,,,,,,默认30,,,,可是，“写作”也是我毕生的追求。,可是，“寫作”也是我畢生的追求。,"Yet ""writing"" is also my lifelong pursuit.",しかし「本を書く」という行為も、私の生涯の夢だ。,Но и книгописательству я тоже хочу посвятить жизнь.
,,,,,,,,,,默认31,,,,这二者可否得兼？,這二者可否得兼？,Can these two coexist?,この二つは両立できるのだろうか？,Смогу ли я усидеть на двух стульях?
,,,,,,,,,,默认32,,,,若是只能选择其中之一，我又该如何去选？,若是只能選擇其中之一，我又該如何去選？,"If I must choose only one, how am I to decide?",どちらかを選ぶしかないとなれば、私はどちらを選ぶべきなのだろうか。,"Если нет, то что же именно мне выбрать?"
,,方知宥,,,,,,,,默认33,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认34,,,,罢了，多想无益！,罷了，多想無益，這樣想下去也不會有結果，最終也只是越想越迷茫，徒增煩惱！,Enough—this endless pondering is futile. It leads only to deeper confusion and needless torment!,やめだ、考えたところで無駄だ。このまま考えたところで何も解決しない。考えるほど深みにはまり、悩みが増えるだけだ。,"Всё, хватит. Смысла нет от этих бесполезных раздумий. Я лишь загоню себя в ещё более глубокую растерянность и напрасные душевные терзания!"
,,,,,,,,,,默认35,,,,与雁儿姐结伴同行，去往更远的地方——或许反而有助于我的写作！,樂觀想想，與雁兒姐結伴同行，去往更遠的地方——或許反而有助於我的寫作！,"On a brighter note, journeying farther with <ruby=Swan Goose>Sister Yan</ruby> might well prove fruitful for my writing!",もっと楽観的にいこう。雁姉と共に行動し、さらに遠くへ行く――それはむしろ、私の物書きの助けになるかもしれないではないか。,"Ну а если думать в более радостном направлении, то путешествие с сестричкой Лебёдушкой и вовсе может пойти на пользу моей книге!"
,,,,,,,,,,默认36,,,,古有李杜纵情山水，近有冯老游历四方。,古有李杜縱情山水，近有馮老遊歷四方。,"The ancients had Li Bai and Du Fu wandering mountains and rivers; in later years, Old Feng traveled the world.",かつては<ruby=りはく>李白</ruby>や<ruby=とほ>杜甫</ruby>だって山水を楽しみ、近世でも<ruby=ふうむりゅう>馮夢竜</ruby>が四方を旅した。,В древности Ли Бо и Ду Фу исходили горы и реки вдоль и поперёк. А в наше время тот старец Фэн Мэнлун совершил путешествие по миру.
,,,,,,,,,,默认37,,,,读万卷书，行万里路，多出去走走——也未必是坏事！,讀萬卷書，行萬里路，多出去走走——也未必是壞事！,"Read ten thousand books, walk ten thousand miles—perhaps venturing out more isn’t so ill-advised!",万巻の書を読み、万里の道を行き、外に出て足を運ぶ――それも悪くない。,"Путешествие в десять тысяч ли не менее важно, чем прочтение десяти тысяч книг: может статься, отправиться повидать иные места - и не такая уж дурная затея!"
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认38,,,,……,……,...,……,...
,FadeOut,black,,wipe_left,,,1,,,,,,,,,,,
,Bg,四艺堂小间冷清,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,,,,,,,,,,默认39,,,,次日一早，我梳洗罢，便匆匆赶往泠音阁，去找雁儿姐。,次日一早，我梳洗罷，便匆匆趕往泠音閣，去找雁兒姐。,"At dawn the next day, I washed up and hastened to <ruby=泠音>Lingyin</ruby> Pavilion to meet <ruby=Swan Goose>Sister Yan</ruby>.",翌日の早朝、身支度を整えるといそいそと泠音閣に向かい、雁姉を呼んだ。,"На рассвете следующего дня я умылся и поспешил в ""Мелодичный павильон"", чтобы увидеться с сестричкой Лебёдушкой."
,,,,,,,,,,默认40,,,,不过，我到的时候，并没有见到雁儿姐，只见到了鹂儿——,不過，我到的時候，並沒有見到雁兒姐，只見到了鸝兒——,"However, when I arrived, I didn't see <ruby=Swan Goose>Sister Yan</ruby>—only Li'er.",しかし私が着くと、いたのは<ruby=りじ>鵹児</ruby>だけで、雁姉の姿は見当たらなかった――,"Но когда я пришёл, вместо сестрички Лебёдушки я встретил Ли'эр."
