#SHEET_NAME,忆-第三回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_3,chapter_bg_Y,chapter_title_Y3,Liang,265,,,,,,,,,,,
,*map_yi_3,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_3,,,,,,,,,,,,,,,
,SetChapterName,忆-第三回,,,,,,,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,
,FadeOut,black,,,,,0
,Bgm,烟云消散,,,,0.2,3,,,,,,,,,,,
,Bg,野外森林,,,,,
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,StopAmbience
,AutoSave,,,,,,,,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认1,,,,不久前，我因为随口说了一句“我要逃”，便被一个女娃从客栈里拽了出来。,不久前，我因為隨口說了一句“我要逃”，便被一個女娃從客棧裡拽了出來。,"Not long ago, just because I muttered ""I want to escape"", a girl yanked me out of the inn.",「逃げたい」,"Буквально только что я ляпнул, что хочу сбежать - и вот уже некая девочка потащила меня из трактира."
,,,,,,,,,,默认2,,,,她的手劲出奇地大，像铁钳般箍着我的手腕。,她的手勁出奇地大，像鐵鉗般箍著我的手腕。,"Her grip was unnaturally strong, clamping my wrist like iron tongs.",彼女の力は驚くほど強く、万力のようにがっちりと私の腕を掴んでいた。,"Её хватка была на удивление сильной, она обхватила моё запястье, словно кузнечными клещами."
,,,,,,,,,,默认3,,,,我们一路狂奔，先是冲过客栈前那条尘土飞扬的土路，随即一头扎进旁边的小树林。,我們一路狂奔，先是衝過客棧前那條塵土飛揚的土路，隨即一頭扎進旁邊的小樹林。,"We ran wildly—first down the dusty road outside the inn, then headlong into a nearby thicket.",私たちはひたすら走った。宿の前を通る剥き出しの土の道を駆け抜け、そのまま小さな林へと飛び込んだ。,"Мы неслись без оглядки - сперва по пыльной дороге у трактира, а затем напрямик в ближайший лес."
,,,,,,,,,,默认4,,,,矮枝刮过脸颊，枯叶在脚下沙沙作响。,矮枝刮過臉頰，枯葉在腳下沙沙作響。,"Twigs lashed our cheeks, dry leaves crackling underfoot.",枝が頬をかすめ、足元でがさがさと枯葉を踏む音がする。,"Ветки хлестали по щекам, а под ногами хрустели сухие листья."
