#SHEET_NAME,记-第五回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Ji_5,chapter_bg_J,chapter_title_J5,Liang,265,,,,,,,,,,,
,*map_ji_5,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_5,,,,,,,,,,,,,,,
,SetChapterName,记-第五回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,FadeOut,black,,,,,1,,,,,,,,,,,
,Bg,破庙夜,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,,,,,,,,,,,,,,,,
,AutoSave,,,,,,,,,,,,,,,,,
,,？？？,小雁儿/通常,,,,,,,默认1,,小雁儿/08_小雁儿_01,,[知宥，醒醒……],[知宥，醒醒……],"""Zhiyou, wake up...""",「知宥、起きて……」,"""Чжию, проснись...""",
,,？？？,小雁儿/通常,,,,,,,默认2,,小雁儿/08_小雁儿_02,,[知宥，你不会醒不过来了吧？快醒醒……妖怪一会儿就要过来了……］,[知宥，你不會醒不過來了吧？快醒醒……妖怪一會就要過來了……］,"""Zhiyou... you won't wake up, will you? Wake up... The demons will be here any second...""",「知宥、起きないの？早く目を覚まして……妖怪がもうすぐ来る……」,"""Чжию, ты же жив? Жив, да? Вставай же... Яогуаи скоро придут.""",
,,,,,,,,,,默认3,,,,黑暗中，一个带着哭腔的细弱声音穿透了混沌。,黑暗中，一個帶著哭腔的細弱聲音穿透了混沌。,"In the darkness, a trembling, tear-choked voice cut through the chaos.",暗闇の中で、涙ぐんだ声が混沌を貫いた。,Сквозь темноту и хаос пробился заплаканный голосок.,
,,,,,,,,,,默认4,,,,我的意识挣脱了记忆的泥沼，缓缓上浮。,我的意識掙脫了記憶的泥沼，緩緩上浮。,"My consciousness wrenched free from memory's quagmire, slowly resurfacing.",記憶の沼から意識をもたげ、ゆっくりと浮かび上がっていく。,Моё сознание вырвалось из трясины воспоминаний и медленно всплыло на поверхность.,
,ImageEffect,SpriteCamera,Blur,BlurIn,,,,,NoWait,,,,,,,,,
,,方知宥,,,,,,,,默认5,,,,[……],[……],"""...""",「……」,"""...""",
,,小雁儿,委屈,,,,,,,,,,,,,,,
,,,,,,,,,,默认6,,,,我费力地睁开眼，模糊的视线里，是小雁儿近在咫尺的脸庞。,我費力地睜開眼，模糊的視線裡，是小雁兒近在咫尺的臉龐。,I forced my eyes open—Little Yan's face loomed inches away in my blurred sight.,私はなんとか目をこじ開ける。ぼんやりとした視界の中、目と鼻の先に小雁の顔があった。,Я с усилием открыл глаза и расплывчато увидел почти вплотную лицо Лебёдушки.,
,,,,,,,,,,默认7,,,,她的小手紧紧抓着我胸前的衣襟，眼眶泛红，噙着泪珠，一看便是刚哭过。,她的小手緊緊抓著我胸前的衣襟，眼眶泛紅，噙著淚珠，一看便是剛哭過。,"Her tiny hands clutched the front of my robe, eyes red-rimmed and brimming with tears—she'd clearly just been crying.",彼女の小さな手は私の襟をぎゅっと握りしめている。目尻は真っ赤で、涙を浮かべていた。一目見て、先ほどまで泣いていたことが分かる。,С опухшими и блестящими от слёз глазами она вцепилась своими ручками в мою одежду.,
,,,,,,,,,,默认8,,,,呵，刚才我一直在昏睡。,呵，剛才我一直在昏睡。,"Hah, I'd been unconscious until now.",ふむ、私はずっと気を失っていたようだ。,"Хм, наверное, я всё это время лежал без сознания.",
,,,,,,,,,,默认9,,,,她一定是担心我一睡不醒，留她一人在孤零零的破庙里。,她一定是擔心我一睡不醒，留她一人在孤零零的破廟裡。,"She must've feared I'd never wake, leaving her alone in that desolate Abandoned Temple.",まったく目を覚ます様子のない私を心配しながら、彼女は一人でこの荒れ寺の中に残されていたわけだ。,"Она подумала, что я умер и оставил её одну в этом заброшенном храме.",
,ImageEffect,SpriteCamera,Blur,BlurOut,,,,,NoWait,,,,,,,,,
