#SHEET_NAME,记-第十九回一
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_19_1,chapter_bg_J,chapter_title_J19_1,Liang,265,,,,,,,,,,,
,*map_ji_19_1,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_19_1,,,,,,,,,,,,,,,
,SetChapterName,记-第十九回一,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,堆尸城墙夜,,,,,,,,,,,,,,,
,Tween,BG,ScaleTo,x=0.5 y=0.5 time=0,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,荒凉城镇,TRUE
,Bgm,重重墙囚,,,,3,3
,AutoSave
,,,,,,,,,,默认1,,,,子时已过，扬州城又安静了下来，连那些残酷的声音也少了许多，几乎听不见了。,子時已過，揚州城又安靜了下來，連那些殘酷的聲音也少了許多，幾乎聽不見了。,"The midnight had passed, and Yangzhou City settled back into silence. Even those harsh sounds had grown faint, almost vanishing from earshot.",子の刻を過ぎ、揚州が再び静まり返った。あの残酷な声もだいぶ収まり、ほぼ聞こえなくなった。,"Миновала <ruby=23:00-01:00>стража Крысы</ruby>, на Янчжоу вновь опустилась тишина. Те жестокие звуки тоже ослабели, став почти неслышными."
,,,,,,,,,,默认2,,,,我与良叔悄然走出了泠音阁。,我與良叔悄然走出了泠音閣。,Uncle Liang and I slipped quietly out of <ruby=泠音>Lingyin</ruby> Pavilion.,私と良はこっそり泠音閣を抜け出した。,"Мы с дядюшкой Ляном потихоньку вышли за пределы ""Мелодичного павильона""."
,,,,,,,,,,默认3,,,,不久前，我们辞别了琼华等人。,不久前，我們辭別了瓊華等人。,"Not long before, we had bid farewell to Qionghua and the others.",少し前に瓊華たちと別れは済ませた。,Незадолго до этого мы попрощались с Цюнхуа и остальными.
,,,,,,,,,,默认4,,,,如今，我们踏上了出扬州城的路。,如今，我們踏上了出揚州城的路。,"Now, we were making our way out of Yangzhou City.",これより私たちは、揚州の町を発つ。,И теперь мы направлялись на выход из Янчжоу.
,,,,,,,,,,默认5,,,,琼华原本想再帮我们去准备两副盔甲，但良叔提到盔甲太重，不易于长途跋涉，便婉拒了。,瓊華原本想再幫我們去準備兩副盔甲，但良叔提到盔甲太重，不易於長途跋涉，便婉拒了。,"Qionghua had initially wanted to prepare two sets of armor for us, but Uncle Liang pointed out their impractical weight for long travel and politely declined.",瓊華は私たちのために鎧を二つ用意しようとしたが、鎧は重すぎるため長い道のりには向かないと良が言い、丁重に断った。,"Цюнхуа хотела было опять приготовить для нас два набора доспехов, но дядюшка Лян сказал, что тяжёлая броня будет помехой в долгом пути, и мягко отказался от этого предложения."
,,,,,,,,,,默认6,,,,况且，此时正值妖兵收到封刀的命令集合之时，穿上盔甲很可能比不穿盔甲更容易招惹是非、徒增盘查之险。,況且，此時正值妖兵收到封刀的命令集合之時，穿上盔甲很可能比不穿盔甲更容易招惹是非、徒增盤查之險。,"Besides, this was when demon soldiers were mustering under sword-sheathed orders—wearing armor would only draw unwanted attention and increase the risk of inspections.",それに、今は妖兵が封刀命で集まっている。鎧を着込んでいる方がむしろ着ていないよりも面倒を招き、いたずらに調べられる危険を増やしかねない。,"К тому же, сейчас, когда войскам яогуаев пришёл приказ ""вложить меч в ножны"" и они стали перегруппировываться, наличие брони на нас могло принести больше проблем, чем её отсутствие - так как повышало риск того, что к нам прицепятся с расспросами."
,,,,,,,,,,默认7,,,,琼华思忖片刻，也觉得有道理，便不再坚持。,瓊華思襯片刻，也覺得有道理，便不再堅持。,"After pondering for a moment, Qionghua also found it reasonable and ceased her insistence.",瓊華は少し考え、一理あると納得すると、それ以上は何も言わなかった。,"Немного поразмыслив, Цюнхуа согласилась с этими выводами и больше не настаивала."
,,,,,,,,,,默认8,,,,她为我们备好了清水与干粮，又将几封书信和饯别之礼仔细包好，交到了良叔手中。,她為我們備好了清水與乾糧，又將幾封書信和餞別之禮仔細包好，交到了良叔手中。,"She prepared clean water and provisions for us, then carefully wrapped several letters and parting gifts before handing them to Uncle Liang.",彼女は水と干し米を用意し、封書と餞別の品も添えて丁寧に包むと、良にそれを持たせた。,"Она подготовила нам в дорогу воды и сухих лепёшек, завязала в узелок письма и прощальные подарки и передала это всё дядюшке Ляну."
,,,,,,,,,,默认9,,,,……,……,...,……,...
,,良,好奇,,,,,,,默认10,,良/32-1_良_01,,[知幼，我们即将出城，你可还有什么想去的地方？],[知幼，我們即將出城，你可還有什麼想去的地方？],"""Zhiyo, we are about to leave the city. Is there anywhere else you'd like to visit?""",「知優、もうすぐ町を出るが、どこか行っておきたい場所はあるか？」,"""Чжию, мы вот-вот покинем город - не хочешь перед этим заглянуть в какое-то место?"""
,,,,,,,,,,默认11,,,,走出泠音阁不远后，良叔放缓脚步，询问着我。,走出泠音閣不遠後，良叔放緩腳步，詢問著我。,"Not long after leaving <ruby=泠音>Lingyin</ruby> Pavilion, Uncle Liang slowed his pace and turned to me.",泠音閣を出てから少しして、良が足を緩めて私に訊いた。,"Когда мы немного отошли от Мелодичного павильона, спросил меня дядюшка Лян, замедлив шаг."
,,方知宥,,,,,,,,默认12,,,,[……］,[……］,"""...""",「……」,"""..."""
,,方知宥,,,,,,,,默认13,,方知宥/32-1_方知宥_01,,[没有，事不宜迟，我们走吧。］,[沒有，事不宜遲，我們走吧。］,"""No, we shouldn’t delay. Let’s go.""",「いや、遅くならないうちに出発しよう」,"""Да нет - лучше не будем тянуть и пойдём уже отсюда."""
,CharacterOff,,,,,,,,,,,,,
,,,,,,,,,,默认14,,,,我略做思考，终是摇了摇头。,我略作思考，終是搖了搖頭。,"After brief consideration, I finally shook my head.",少し考え、結局首を横に振る私。,После недолгих размышлений я в конце концов покачал головой.
,,方知宥,,,,,,,,默认15,,,,[……],[……],"""...""",「……」,"""..."""
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
