#SHEET_NAME,忆-第十一回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_11,chapter_bg_Y,chapter_title_Y11,Liang,265,,,,,,,,,,,
,*map_yi_11,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_11,,,,,,,,,,,,,,,
,SetChapterName,忆-第十一回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,花魁房间开夜,,,,,,,,,,,,,,,
,Bgm,烟花风月,,,,0.2,3,,,,,,,,,,,
,FadeIn,black,,eye,,,1,,,,,,,,,,,
,AutoSave
,,苏怜烟,惊讶,,,,,,,默认1,,苏怜烟/24_苏怜烟_01,,[知宥，怎么了？],[知宥，怎麼了？],"""Zhiyou, what's wrong?""",「知宥、どうしたの？」,"""Чжию, что случилось?"""
,,,,,,,,,,默认2,,,,雁儿姐轻声对我说道。,雁兒姐輕聲對我說道。,<ruby=Swan Goose>Sister Yan</ruby> murmured to me.,雁姉がそっと声をかけてきた。,Прошептала мне сестричка Лебёдушка.
,,苏怜烟,好奇,,,,,,,,,,,
,,,,,,,,,,默认3,,,,她的声音很轻柔，像一片鸿毛拂过耳边。,她的聲音很輕柔，像一片鴻毛拂過耳邊。,Her voice was soft as a feather brushing against my ear.,羽毛が耳元をかすめるような、軽やかな声だ。,"Её голос был мягким, словно перо, коснувшееся моего уха."
,,方知宥,,,,,,,,默认4,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认5,,,,我自朦胧恍惚间醒转，抬眼望向四周。,我自朦朧恍惚間醒轉，抬眼望向四周。,I woke from my daze and glanced around.,朦朧とした意識がはっきりし、周囲を見渡す。,"Очнувшись от забытия, я оглянулся."
,,,,,,,,,,默认6,,,,此时，我在泠音阁的一等厢房内，熟悉的沉香气味萦绕不散。,此時，我在泠音閣的一等廂房內，熟悉的沉香氣味縈繞不散。,"I found myself in <ruby=泠音>Lingyin</ruby> Pavilion's first-class chamber, the familiar sandalwood scent hanging heavy in the air.",泠音閣の一等閨房の中にいた。嗅ぎ慣れた沈香の香りが漂っている。,"Я был в ""Мелодичном павильоне"", а именно в комнате сестрички Лебёдушки, где всё так же чувствовался знакомый аромат сандалового дерева."
,,,,,,,,,,默认7,,,,我与雁儿姐对坐案前，她与我离得很近，近得我能闻见她衣袂间若有似无的馨香。,我與雁兒姐對坐案前，她與我離得很近，近得我能聞見她衣袂間若有似無的馨香。,"<ruby=Swan Goose>Sister Yan</ruby> and I sat facing each other at the table, close enough for me to catch the faint fragrance drifting from her sleeves.",私と雁姉は卓を挟んで向き合って座っていた。服のたもとから仄かな香りを感じるほどの近さだ。,"Вместе с сестричкой Лебёдушкой мы сидели за столом друг напротив друга. Сидели мы так близко, что я чувствовал лёгкий аромат, исходящий от её рукавов."
,,苏怜烟,好奇,,,,,,,默认8,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认9,,,,此刻，她的目光停驻在我身上，温软、关切而隐含着一丝期待。,此刻，她的目光停駐在我身上，溫軟、關切而隱含著一絲期待。,"Her gaze lingered on me—warm, concerned, and tinged with quiet anticipation.",彼女の視線は私に注がれている。優しく、気遣いに満ち、僅かな期待がこもったものだった。,"Она смотрела на меня. В её взгляде чувствовались теплота, обеспокоенность и лёгкая нотка ожидания."
,,方知宥,,,,,,,,默认10,,方知宥/24_方知宥_01,,[没事……方才在想事情，想出神了。],[沒事……方才在想事情，想出神了。],"""It's nothing... I was just lost in thought.""",「なんでもない……少し考え事をしてて、ぼんやりしていた」,"""Да ничего... задумался просто."""
,,苏怜烟,温柔,,,,,,,默认11,,苏怜烟/24_苏怜烟_02,,[哦？我还以为你改了主意，不愿同我一起“逃”了。],[哦？我還以為你改了主意，不願同我一起“逃”了。],"""Oh? I thought you’d changed your mind about ""running away"" with me.""",「え？てっきり気が変わって、一緒に逃げてくれないのかと思った」,"""А? Я уже подумала, что ты перехотел 'сбегать' со мной."""
,,,,,,,,,,默认12,,,,她唇角轻扬，语气中带着几分玩笑之意。,她唇角輕揚，語氣中帶著幾分玩笑之意。,"Her lips curved slightly, her tone playful.",ほんのわずかに口角を上げ、口調には冗談めかした響きがあった。,"Игриво сказав, она улыбнулась."
,,方知宥,,,,,,,,默认13,,方知宥/24_方知宥_02,,[怎么会……雁儿姐无论是去哪，我都愿意陪着……不过……我想先问问，雁儿姐有想好要逃去哪吗？],[怎麼會……雁兒姐無論是去哪，我都願意陪著……不過……我想先問問，雁兒姐有想好要逃去哪嗎？],"""Of course I would... I’d follow <ruby=Swan Goose>Sister Yan</ruby> anywhere... but... have you decided where we’re escaping to?""",「まさか……雁姉がどこへ行こうと、私はついていくつもりだ……ただ……一つ聞いておきたいんだ。どこに逃げるか、当てはあるのか？」,"""Да ни за что... За тобой я пойду хоть на край света... но... ты уже решила, куда мы сбежим-то?"""
,,,,,,,,,,默认14,,,,我压低了声音问道，以防被房间外的人听到。,我壓低了聲音問道，以防被房間外的人聽到。,"I lowered my voice as I asked, careful not to be heard by anyone outside the room.",部屋の外にいる者に聞かれないよう、声をひそめて訊く。,"Тихо спросил я, чтобы за дверью никто не услышал."
,,苏怜烟,担忧,,,,0.3,,,默认1001,,,,[……],,,,
,,,,,,,,,,默认1002,,,,雁儿姐听到我的提问后，脸上泛起一丝忧伤的神色。,雁兒姐聽到我的提問後，臉上泛起一絲憂傷的神色。,"After hearing my question, Yan'er's face showed a hint of sadness.",雁児姉は私の質問を聞いて、少し悲しそうな顔をした。,"После того, как гусиная сестра услышала мой вопрос, ее лицо стало грустным."
,,,,,,,,,,默认1003,,,,但这神色转瞬即逝，很快便消失了。,但這神色轉瞬即逝，很快便消失了。,"But this expression disappeared in an instant, and soon disappeared.",しかしその表情は瞬く間に消え、すぐに消えてしまった。,Но этот взгляд мгновенно исчез и вскоре исчез.
,,苏怜烟,平静,,,,,,,默认15,,苏怜烟/24_苏怜烟_03,,[能逃多远，就逃多远……我想逃到一个没人认得我的地方。],[能逃多遠，就逃多遠……我想逃到一個沒人認得我的地方。],"""Run as far as we can... I want to escape to a place where no one knows me.""",「行けるだけ遠くへ……誰も私のことを知らない場所まで逃げたい」,"""Чем дальше - тем лучше. Я хочу сбежать туда, где меня никто не знает."""
,,方知宥,,,,,,,,默认16,,方知宥/24_方知宥_03,,[啧……那看来雁儿姐是想逃到天涯海角？或者是……想逃到异邦异国？],[嘖……那看來雁兒姐是想逃到天涯海角？或者是……想逃到異邦異國？],"""Tsk... So <ruby=Swan Goose>Sister Yan</ruby> wants to flee to the ends of the earth? Or perhaps... to a foreign land?""",「はは……地の果てまで逃げるつもりか？それとも……異国の地まで？」,"""Хм... Значит ты хочешь сбежать на край света? Или... вовсе из Поднебесной?"""
,,苏怜烟,通常,,,,,,,默认17,,苏怜烟/24_苏怜烟_04,,[呵……那也不必这么远。],[呵……那也不必這麼遠。],"""Heh... No need to go that far.""",「ふふっ……そこまで遠くなくたっていいわ」,"""Хех... нет, ну не так далеко."""
,,,,,,,,,,默认18,,,,她淡笑一声，继而目光望向一边，仿佛若有所思。,她淡笑一聲，繼而目光望向一邊，彷彿若有所思。,"She gave a faint laugh, then gazed aside as if lost in thought.",くすりと笑うと、何か思う所があるかのように遠い目になる彼女。,"Захихикав, она отвела взгляд и о чём-то задумалась."
,,苏怜烟,悲伤,,,,,,,默认19,,苏怜烟/24_苏怜烟_05,,[从前种种，譬如昨日死；从后种种，譬如今日生……可若是在这泠音阁、在这扬州……我这一生都只能听凭他人摆布，不像是作为一个“人”活过。],[從前種種，譬如昨日死；從後種種，譬如今日生……可若是在這泠音閣、在這揚州……我這一生都只能聽憑他人擺布，不像是作為一個“人”活過。],"""All that came before is like yesterday’s death; all that follows is like today’s birth... But if I stay in <ruby=泠音>Lingyin</ruby> Pavilion, in Yangzhou... my whole life will be at the mercy of others, never truly living as a 'person'.""",「『今までの私は死んだ。これから私は生まれ変わる』ってね……でも泠音閣じゃ、揚州じゃ……ずっと誰かの言いなりで、『人』として生きている気がしなかった」,"""'Живи так, будто всё, что было в прошлом, растворилось вчера, а всё, что будет, начинается сегодня...'<i>(Цитата из ""Четырёх наставлений"" минского чиновника Юань Ляофаня.) Если я останусь в 'Мелодичном павильоне', в Янчжоу... вся моя жизнь будет зависеть от кого-то, я не смогу жить по-настоящему."""
,,苏怜烟,温柔,,,,,,,默认20,,苏怜烟/24_苏怜烟_06,,[所以，我想能逃多远，就逃多远，哪怕外面如今兵荒马乱，哪怕有一日我会死在颠沛流离的路上……但至少在这段逃亡的路，我算是真正活过了。],[所以，我想能逃多遠、就逃多遠，哪怕外面如今兵荒馬亂，哪怕有一日我會死在顛沛流離的路上……但至少在這段逃亡的路，我算是真正活過了。],"""So, I wanted to escape as far as I could, even if the world outside was in chaos, even if I might one day die on this turbulent journey... But at least during this escape, I truly lived.""",「だからできる限り遠くまで逃げたいの。たとえ外が戦乱の<ruby=さなか>最中</ruby>であろうと、いつの日か流浪の旅で野垂れ死のうと……その逃亡の旅路が、生きた証になるから」,"""Поэтому я хочу сбежать как можно дальше. Даже если сейчас времена неспокойные, даже если я умру в дороге... то хотя бы на время нашего побега я буду жить по-настоящему."""
