#SHEET_NAME,忆-第七回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_7,chapter_bg_Y,chapter_title_Y7,Liang,265,,,,,,,,,,,
,*map_yi_7,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_7,,,,,,,,,,,,,,,
,SetChapterName,忆-第七回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,二十四桥忆篇,,,,,,,,,,,,,,,
,Bgm,青梅竹马,,,,0.2,3,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,AutoSave
,,林翩翩忆,开心,,,,,,,默认1,,林翩翩/15_林翩翩_001,,[知宥，快过来呀，到这桥上来。],[知宥，快過來呀，到這橋上來。],"""Zhiyou, hurry—come up onto the bridge.""",「知宥、早く早く。ほら、おいで」,"""Чжию, быстрее поднимайся на мост."""
,,,,,,,,,,默认2,,,,林翩翩站在不远处的桥面上，裙袂随风飘扬。,林翩翩站在不遠處的橋面上，裙袂隨風飄揚。,"Lin Pianpian stood on the bridge ahead, her skirt rippling in the breeze.",林翩翩が近くの橋に立っている。ひらひらと裾が風に揺れた。,"Линь Пяньпянь стояла впереди меня на мосту, её юбка колыхалась на ветру."
,,,,,,,,,,默认3,,,,我仍伫立桥头，望着远处的河面怔然出神。,我仍佇立橋頭，望著遠處的河面怔然出神。,"I lingered at the bridge’s edge, gazing absently at the distant river.",私は橋のたもとに立ち、遠くの川を見つめてぼんやりしていた。,"Я всё ещё стоял у начала моста, рассеянно глядя на реку вдалеке."
,,林翩翩忆,钦佩,,,,,,,默认4,,林翩翩/15_林翩翩_002,,[怎么留在桥头这么久呀？],[怎麼留在橋頭這麼久呀？],"""Why have you been standing here so long?""",「どうして端っこでじっとしてるの？」,"""Ты чего так долго стоишь там?"""
,,林翩翩忆,微笑,,,,,,,,,,,,,
,,,,,,,,,,默认5,,,,她察觉我迟迟未动，翩然凑近，前倾身体探出头，语带好奇。,她察覺我遲遲未動，翩然湊近，前傾身體探出頭，語帶好奇。,"Noticing my stillness, she drifted closer, tilting her head with playful curiosity.",私がなかなか動かないことに気付くと、彼女はひらりと私の方へ近づき、身を乗り出して不思議そうに尋ねた。,"Заметив, что я всё никак не иду дальше, она подошла поближе, наклонив голову с игривым любопытством."
,,方知宥,,,,,,,,默认6,,方知宥/15_方知宥_01,,[我在看鸳鸯。],[我在看鴛鴦。],"""I was watching the mandarin ducks.""",「おしどりを見てるんだ」,"""На мандаринок смотрю."" <i>(Мандаринка - небольшая утка из рода лесных уток, в китайской культуре - символ любви и верности.)</i>"
,,林翩翩忆,好奇,,,,,,,默认7,,林翩翩/15_林翩翩_003,,[鸳鸯？],[鴛鴦？],"""Mandarin ducks?""",「おしどり？」,"""Мандаринок?"""
,,,,,,,,,,默认8,,,,她顺着我的目光望去。,她順著我的目光望去。,She followed my line of sight.,彼女も私の視線の先を見る。,Она взглянула в ту же сторону.
,,,,,,,,,,默认9,,,,日光穿透薄云，洒落一池碎金。,日光穿透薄雲，灑落一池碎金。,"Sunlight pierced the thin clouds, scattering shards of gold across the water.",薄雲を透かして差し込む日が、水面に金粉をまぶしたように輝いている。,"Солнечный свет пробивался сквозь тонкие облака, рассыпая по воде золотые отблески."
,,,,,,,,,,默认10,,,,岸边垂柳依依，蘸水轻舞，一对鸳鸯正悠然嬉戏，红翠相映，搅动满湖春水。,岸邊垂柳依依，蘸水輕舞，一對鴛鴦正悠然嬉戲，紅翠相映，攪動滿湖春水。,"By the bank, weeping willows sway, their tips skimming the water in a delicate dance. A pair of mandarin ducks frolic, their crimson and emerald plumage shimmering as they ripple the spring-stirred lake.",川べりでは柳の葉が垂れ、水に浸り軽やかに揺れている。そこに一対のおしどりがのんびりと戯れ、赤と翠の色相が春の水辺に波を立てる。,"У берега колыхались ивы, и их кончики, словно в танце, нежно касались воды. Пара мандаринок, в оперении которых переливались алый и изумрудный цвет, резвилась, рассекая взволнованную весной гладь озера."
,,林翩翩忆,开心,,,,,,,默认11,,林翩翩/15_林翩翩_004,,[哦……原来指的是这俩水禽呀，嗯，它们确实生得讨喜！],[哦……原來指的是這兩個水禽呀，嗯，它們確實生得討喜！],"""Oh... So these are the waterfowl you meant—they’re utterly charming!""",「へえ……あの水鳥のことね。確かに可愛らしいわ！」,"""А... Ты про этих уточек. Они и правда очень милые!"""
