#SHEET_NAME,结局-新朝
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_4,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_4,,,,,,,,,,,,,,,
,SetChapterName,结局-新朝,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,王家大院街道夜,,,,,,,,,,,,,,,
,Bgm,曲终人散,,,,0.2,3,,,,,,,,,,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认1,,,,乙酉年五月初一，残夏未尽，扬州城的血腥味也未散尽。,乙酉年五月初一，殘夏未盡，揚州城的血腥味也未散盡。,"On the first day of the fifth month, Yiyou year, the waning summer heat persisted, and the stench of blood still hung over Yangzhou.",乙酉の年、五月一日。夏の終わりの暑さがいまだに尾を引き、揚州の血の臭いもまだ消えず残っている。,"В первый день пятого месяца года <ruby=1645>Синего Петуха</ruby> летняя жара всё ещё не спала, как не спадал ещё запах крови в городе Янчжоу."
,,,,,,,,,,默认2,,,,这一日，我跟随王家的部队离开了扬州城。,這一日，我跟隨王家的部隊離開了揚州城。,"That day, I departed Yangzhou with General Wang's troops.",この日、私は王家の隊と共に揚州を去った。,В этот день я вместе с войсками под командованием семьи Ван покинул город.
,,,,,,,,,,默认3,,,,从此，我成了王小将军帐下的一名幕僚，为他撰写文书、参赞军务，随军辗转征战。,從此，我成了王小將軍帳下的一名幕僚，為他撰寫文書、參贊軍務，隨軍輾轉征戰。,"Thereafter, I served as an aide to Little General Wang, drafting documents and advising on military strategy as we marched from battle to battle.",こうして私は王小将軍配下の幕僚となり、文書を書き、軍務に助言し、軍に付いて各地で戦いを繰り広げた。,"С тех пор я стал советником в ставке генерала Вана-младшего, составлял для него военные документы, участвовал в совещаниях по военным делам, следуя за войском от одного похода к другому."
,,,,,,,,,,默认4,,,,王将军一家虽是汉人、是东虏阵营之中算得上温和的派系……但我心底总是横着一根刺——不时便想到我和他都是在为“东虏”的异族皇帝效力。,王將軍一家雖是漢人、是東虜陣營之中算得上溫和的派系……但我心底總是橫著一根刺——不時便想到我和他都是在為“東虜”的異族皇帝效力。,"Though General Wang's family were Han and belonged to a relatively moderate faction among the Eastern Barbarians... a thorn always pricked my heart—I couldn't shake the thought that both he and I served the foreign emperor of those ""Eastern Barbarians"".",王将軍の一家は漢人であり、東虜の陣営でも比較的穏健派ではある……しかしいつも胸にちくりと刺さったような気分になる――時折、私も彼も「東虜」という異民族の皇帝に仕えていることを思い出すのだ。,"Пусть семья Ван и была из ханьцев и среди ""восточных лу"", можно сказать, была достаточно умеренной фракцией... Но в моём сердце всё ещё оставалась заноза - я не мог избавиться от мысли о том, что мы с ним оба служим иноземному ""варварскому"" императору."
,,,,,,,,,,默认5,,,,夜深人静时，我常常辗转难眠，一闭上眼，眼前总会浮现那些被我幻视成妖兵的东虏血屠扬州的画面。,夜深人靜時，我常常輾轉難眠，，一閉上眼，眼前總會浮現那些被我幻視成妖兵的東虜血屠揚州的畫面。,"In the stillness of night, I often lie awake, restless. The moment I close my eyes, visions flood my mind—the Eastern Barbarians' bloody massacre of Yangzhou, which I hallucinated as demon soldiers.",夜が更け皆が寝静まる頃も、私はよく寝返りを打って寝付けなかった。目をつぶると、幻覚で妖兵となった東虜が揚州を血の海にする場面が浮かんできてしまうのだ。,"В ночные часы я часто ворочался, не в силах уснуть - стоило мне закрыть глаза, как перед глазами вспыхивали сцены резни в Ячнжоу теми самыми ""восточными лу"", что виделись мне в образе яогуаев."
,BgEvent,新朝2,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认6,,,,他们劫杀男人，凌辱女人，他们用枪尖挑起老者，用马蹄践踏婴儿。,他們劫殺男人，凌辱女人，他們用槍尖挑起老者，用馬蹄踐踏嬰兒。,"They slaughtered men, violated women, impaled elders on spears, and crushed infants beneath horses' hooves.",男を殺し、女を犯し、老人を槍で突き上げ、馬で赤子を踏み潰す。,"Они грабили и убивали мужчин, бесчестили женщин, пронзали стариков копьями и топтали младенцев копытами лошадей."
,,,,,,,,,,默认7,,,,这些画面如烙印般深深刻在我的脑海中，化作了梦魇。,這些畫面如烙印般深深刻在我的腦海中，化作了夢魘。,"These scenes are branded into my mind, becoming nightmares.",あの光景が私の頭に烙印のように焼き付き、悪夢を見せる。,"Эти сцены были выжжены в моей памяти словно клеймо, став пищей для ночных кошмаров."
,,,,,,,,,,默认8,,,,那些人、那些声音夜夜拷问着我，怒吼着问我为何要为杀他们的人效力，这更令我难以心安。,那些人、那些聲音夜夜拷問著我，怒吼著問我為何要為殺他們的人效力，這更令我難以心安。,"Those people, those voices torment me night after night, roaring and demanding why I serve those who killed them—this weighs even heavier on my conscience.",彼らが、彼らの声が、夜な夜な私を責め立てる。なぜ自分たちを殺した連中に与するのかと怒鳴る。そのせいで心が休まることがなかった。,"Эти люди, эти голоса ночь за ночью яростно вопрошали меня, почему я служу тем самым людям, которые их убили, не давая покоя моему сердцу."
,,,,,,,,,,默认9,,,,不过，虽然一直被梦魇所扰，日子还是得继续过——我并未从王小将军这里辞官而去，而是继续做我的幕僚。,不過，雖然一直被夢魘所擾，日子還是得繼續過——我並未從王小將軍這裡辭官而去，而是繼續做我的幕僚。,"Yet, though haunted by nightmares, life must go on—I did not resign from Little General Wang’s service but continued as his advisor.",しかし悪夢に悩まされながらも日々は流れていく――王小将軍の下を離れることなく、引き続き幕僚の仕事を務めた。,"Тем не менее, пусть меня и обуревали эти кошмары, но нужно было как-то жить дальше - я не стал отказываться от службы генералу Вану-младшему и продолжал работать его советником."
,,,,,,,,,,默认10,,,,在得知了雁儿姐死亡的真相后，我失去了写作的动力，也不知道此生还能为何而活。,在得知了雁兒姐死亡的真相後，我失去了寫作的動力，也不知道此生還能為何而活。,"After learning the truth of <ruby=Swan Goose>Sister Yan</ruby>’s death, I lost all motivation to write and no longer knew what to live for.",雁姉の死の真相を知ってから、本を書く気力を失い、何のために生きているのかわからなくなってしまった。,"Узнав правду о смерти сестрички Лебёдушки, я утратил мотивацию писать и не знал, ради чего же мне теперь стоит жить."
,,,,,,,,,,默认11,,,,琼华姐和王小将军认可了我，给我指引了一条活下去的道路。,瓊華姐和王小將軍認可了我，給我指引了一條活下去的道路。,Sister Qionghua and Little General Wang acknowledged me and showed me a path forward.,瓊華と王将軍はそんな私を認め、生きる道を示してくれた。,"А сестричка Цюнхуа и генерал Ван-младший, приняв меня к себе, тем самым указали мне новый жизненный путь."
,,,,,,,,,,默认12,,,,我在认真考虑后选取了这条道路，自然也应当坚持。,我在認真考慮後選取了這條道路，自然也應當堅持。,"Having carefully considered this path, I naturally must persevere.",真剣に考えた末にこの道を進むと決めたのだ。それは貫かなければならない。,"Я выбрал этот путь после тщательных размышлений и, само собой, мне стоит продолжать следовать ему дальше."
