#SHEET_NAME,忆-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_6,chapter_bg_Y,chapter_title_Y6,Liang,265,,,,,,,,,,,
,*map_yi_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_6,,,,,,,,,,,,,,,
,SetChapterName,忆-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,牵灯夜行1,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,AutoSave
,,,,,,,,,,默认1,,,,说起来，我从未在如此深夜归家。,說起來，我從未在如此深夜歸家。,"Now that I think of it, I’d never come home this late before.",そういえば、深夜に家に帰ることなどこれまでになかった。,"Если подумать, то я впервые возвращаюсь домой так поздно.",
,,,,,,,,,,默认2,,,,时近子时，长街早已陷入一片墨色，万籁俱寂，只余我俩一前一后的脚步声，在空旷的街巷中回荡。,時近子時，長街早已陷入一片墨色，萬籟俱寂，只有余我倆一前一後的腳步聲，在空曠的街巷中迴盪。,"Nearing the Hour of the Rat, the long street had dissolved into pitch-black silence, broken only by the hollow echoes of our footsteps—one trailing the other—through the empty alleyways.",既に子の刻も近い。長い通りは墨をこぼしたように暗く、ひっそりと静まり返っている。私たち二人の足音だけが、こつこつと開けた路地に反響した。,"Ближе к страже <ruby=23:00-01:00>Крысы</ruby> длинная улица растворилась во мраке, а всё погрузилось в тишину, которую нарушало лишь эхо наших шагов - моих и той, что шла позади.",
,,,,,,,,,,默认3,,,,我提着一盏灯，昏黄的光晕仅能照亮脚下方寸之地。,我提著一盞燈，昏黃的光暈僅能照亮腳下方寸之地。,"I carried a lantern, its dim yellow glow barely illuminating the patch of ground beneath my feet.",私が提げている微かな光では、足元のごくわずかな範囲しか照らすことができない。,Тусклый желтоватый свет фонаря в моих руках едва освещал землю под ногами.,
,,,,,,,,,,默认4,,,,它随着我的步伐轻轻晃动，像一只温顺的萤火虫，指引着前方的道路，使得我们不会摔倒。,它隨著我的步伐輕輕晃動，像一隻溫順的螢火蟲，指引著前方的道路，使得我們不會摔倒。,"It swayed gently with my steps, like a docile firefly, lighting the path ahead to keep us from stumbling.",それは私が歩くたびにおとなしい蛍のように軽く揺れ、私たちが転んでしまわないよう、進む先を示してくれている。,"Он мягко покачивался в такт моих шагов, словно послушный светлячок, освещающий путь впереди, чтобы мы не споткнулись.",
,,,,,,,,,,默认5,,,,身后那细碎却坚定的脚步声，无时无刻不在提醒着我——今夜，我方知宥并非是独自归家。,身後那細碎卻堅定的腳步聲，無時無刻不在提醒著我——今夜，我方知宥並非是獨自歸家。,"The faint yet relentless footsteps behind me never ceased their reminder——that tonight, Fang Zhiyou was not returning home alone.",背後で聞こえる小さな、それでいてはっきりとした足音が、ずっと私にこう告げている――今夜、方知宥は一人で帰宅しない、と。,"Мелкие, но уверенные шажки за моей спиной постоянно напоминали мне - этой ночью Фан Чжию идёт домой не один.",
,,,,,,,,,,默认6,,,,约莫一炷香前，在我即将离开二十四桥柳巷之际，撞见了一位蜷缩暗处、呜咽垂泪的女子。,約莫一炷香前，在我即將離開二十四橋柳巷之際，撞見了一位蜷縮暗處、嗚咽垂淚的女子。,"About an hour ago, as I neared the end of Willow Lane at Twenty-Four Bridges, I spotted a woman hunched in the shadows, weeping softly.",およそ一炷香前。二十四橋の柳巷を抜けようとしたところで、暗がりにうずくまって泣いている女と出会った。,"Примерно время горения одной палочки благовоний тому назад, собираясь уже покидать ""Ивовый переулок"", я наткнулся на свернувшуюся в калачик и горько плакавшую девушку.",
,,,,,,,,,,默认7,,,,我给了她一两银子，本意是劝她早些归去，她却以无处可归为由，一路默默相随，直至此地。,我給了她一兩銀子，本意是勸她早些歸去，她卻以無處可歸為由，一路默默相隨，直至此地。,"I gave her one tael of silver, hoping to persuade her to leave, but she silently followed me all the way here, claiming she had nowhere else to go.",さっさと帰らせてやるつもりで少し金をやったのだが、帰る場所がないという理由でついてきてしまい、現在に至る。,"Я дал ей таэль серебра с мыслью, чтобы она поскорее могла вернуться домой, но вместо этого, под предлогом того, что ей больше некуда идти, она стала молча следовать за мной всю дорогу.",
,Se,推门,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,方院外街道忆夜,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,——吱呀,——吱呀,—Creak,――ギイ,*Скрип.*,
,,,,,,,,,,默认9,,,,我推开了方院的木门。,我推開了方院的木門。,I pushed open the wooden door of Fang's Courtyard.,方院の門を押し開けた。,Я распахнул деревянные ворота двора семьи Фан.,
,CharacterOff,,,,,,3,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,方院夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,3,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认10,,,,方院不算轩敞，一庭三室，但于我一人而言，已是绰绰有余。,方院不算軒敞，一庭三室，但於我一人而言，已是綽綽有餘。,"Fang's Courtyard wasn’t particularly spacious—just a single courtyard with three rooms—but for me alone, it was more than enough.",庭が一つに家屋が三つ、そう広い屋敷ではない。だが一人暮らしの私には、十分すぎるほどのゆとりだ。,Двор был не особенно просторен - всего два флигеля и главный дом - но для одного меня этого было более чем достаточно.,
,,,,,,,,,,默认11,,,,此地与我缘分匪浅。曾几何时，我与雁儿姐便隔着一扇门，背靠背地倚坐于此。,此地與我緣分匪淺。曾幾何時，我與雁兒姐便隔著一扇門，背靠背地倚坐於此。我們一同背書，一同奏樂，分享彼此的悲喜，如此度過了一年多的光陰。後來，方家人察覺了我們的私會，再見她便難如登天。,"This place held a deep connection for me. Once, <ruby=Swan Goose>Sister Yan</ruby> and I sat back-to-back here, separated only by a door. We studied together, played music together, shared each other’s joys and sorrows—over a year passed like this. Later, the Fang Family discovered our secret meetings, and seeing her again became as difficult as climbing to the heavens.",この場所には深い縁がある。かつて雁姉と門一枚挟んで背中合わせに座っていたものだ。共に本を読み、曲を奏で、一年近く苦楽を共にする暮らしをした。その後は密会がばれ、再び会うことは難しくなった。,"Это место было связано со мной нитями судьбы. Когда-то мы с сестричкой Лебёдушкой сидели здесь спина к спине, разделённые лишь воротами. Больше года мы вместе учились, играли музыку, делились радостями и бедами. Затем в семье Фан прознали про наши тайные встречи, и снова повидаться с ней стало задачей крайне трудной.",
,,,,,,,,,,默认1111,,,,我们一同背书，一同奏乐，分享彼此的悲喜，如此度过了一年多的光阴。后来，方家人察觉了我们的私会，再见她便难如登天。,,,,
,,,,,,,,,,默认12,,,,再后来，伯父死了，她被伯母送走了，不知所踪。,再後來，伯父死了，她被伯母送走了，不知所蹤。,"Later, Uncle died, and Aunt sent her away—no one knows where she went.",後に伯父が死に、彼女は伯母にどこかにやられてしまい、行方知れずとなった。,"Ну а потом дядя умер, а тётя её выслала в неизвестном направлении.",,,
,,,,,,,,,,默认13,,,,我问过两次，伯母皆缄口不言，我便也不再追问。,我問過兩次，伯母皆緘口不言，我便也不再追問。,"I asked twice, but Aunt refused to speak, so I stopped asking.",二度、伯母に訊いてみたが、固く口を閉ざしたため、私もそれ以上訊くことはなかった。,"Я спрашивал её пару раз куда, но та наотрез отказывалась говорить, так что я бросил эту затею.",,,
,,,,,,,,,,默认14,,,,唉，不知她如今可还安好？,唉，不知她如今可還安好？,Sigh... I wonder if she’s even alive now?,ああ……彼女は今、元気にしてるのだろうか？,"Эх... Не знаю, как она там сейчас, в порядке ли?",,,
,,林翩翩忆,欣喜,,,,1,,,默认15,,林翩翩/13_林翩翩_001,,[这儿……便是你的住处？],[這裡……便是你的住處？],"""Here... is where you live?""",「ここが……あんたの住んでるところ？」,"""Это... тут ты живёшь?""",,,
,,,,,,,,,,默认16,,,,正当我沉湎往事之际，林翩翩的声音将我的思绪拉回现实。,正當我沉湎往事之際，林翩翩的聲音將我的思緒拉回現實。,"As I drowned in memories, Lin Pianpian’s voice yanked me back to reality.",私が過去に思いをはせていると、林翩翩の声で現実に引き戻された。,"Пока я размышлял о прошлом, голос Линь Пяньпянь вернул меня к реальности.",,,
,,,,,,,,,,默认17,,,,此刻，她正小心翼翼地跨过门槛，如同初探新地的孩童，好奇地四下张望。,此刻，她正小心翼翼地跨過門檻，如同初探新地的孩童，好奇地四下張望。,"She was carefully crossing the threshold just then, wide-eyed like a child exploring unfamiliar ground.",彼女はそっと敷居を跨ぐと、未知の場所を探検する子供のように、好奇心いっぱいであたりを見回した。,"В этот момент она как раз осторожно перешагивала порог, по-детски любопытными глазами осматривая всё вокруг.",,,
,,方知宥,,,,,,,,默认18,,方知宥/13_方知宥_01,,[嗯，寒舍简陋，这里正是我家。］,[嗯，寒舍簡陋，這裡正是我家。］,"""Yeah, it’s a dump, but this is home.""",「ああ、粗末なところだが、私の家だ」,"""Ага, это неприглядное обиталище и есть дом.""",,,
,,,,,,,,,,默认19,,,,我微微颔首，率先缓步而入。,我微微頷首，率先緩步而入。,"I gave a slight nod and stepped inside first, taking my time.",私はこくりと頷くと、先頭に立ってゆっくりと入った。,"Кивнув, я не спеша первым вошёл внутрь.",,,
,,林翩翩忆,好奇,,,,,,,默认20,,林翩翩/13_林翩翩_002,,[你一人住这般大的屋子……不怕？］,[你一人住這般大的屋子……不怕？］,"""You live alone in such a big house... Aren't you afraid?""",「一人でこんなに大きな家に住んでて……怖くない？」,"""Ты один живёшь в таком большом доме... тебе не страшно?""",,,
,,方知宥,,,,,,,,默认21,,方知宥/13_方知宥_02,,[这屋子在东城并不算大，住惯了，倒也不怕。］,[這屋子在東城並不算大，住慣了，倒也不怕。］,"""This house isn't considered large in the East District. Once you're used to it, there's nothing to fear.""",「東城区じゃそう大きい方じゃない。慣れれば怖くないさ」,"""По сравнению с другими домами в Восточном квартале мой дом не сказать чтобы большой. Да и я уже давно привык к этому месту, так что не страшно.""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认22,,,,我淡笑着应答，同时带领她走向右侧的厢房。,我淡笑著應答，同時帶領她走向右側的廂房。,I answered with a faint smile while leading her toward the Right Chamber.,私は笑って答えながら、彼女を右の傍屋へ案内した。,"Ответил я с лёгкой улыбкой, пока вёл её в правый флигель.",,,
,Bg,右屋夜,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认23,,,,右屋平日被我用来堆放杂物。,右屋平日被我用來堆放雜物。,The Right Chamber is where I usually store miscellaneous items.,右の傍屋は、普段私が雑物を置いてある場所だ。,В правом флигеле я обычно складировал всё подряд:,,,
,,,,,,,,,,默认24,,,,这里显眼的位置上，堆着一些蒙尘的旧书、旧被旧褥，以及便于贮存的干果瓜脯。,這裡顯眼的位置上，堆著一些蒙塵的舊書、舊被舊褥、以及便於貯存的乾果瓜脯。,"In prominent spots lie piles of dusty old books, worn bedding, and preserved dried fruits and melon strips for easy storage.",目立つ場所には埃をかぶった古本や、古びた布団、保存に適した干した果物や瓜が放置されている。,"На видном месте стояли стопки старых пыльных книг, старые одеяла и циновки, а так же запасы сушёных фруктов и овощей.",,,
,,,,,,,,,,默认25,,,,墙角的阴暗之处，则堆着些干草与柴薪。,牆角的陰暗之處，則堆著些乾草與柴薪。,"In the shadowy corners, stacks of dry grass and firewood are piled up.",隅の暗がりには、干し草や薪が積んである。,В тёмных углах были навалены стога сена и поленья.,,,
,,,,,,,,,,默认26,,,,值得一提的是，此屋有一扇小窗。,值得一提的是，此屋有一扇小窗。,"Notably, this room has a small window.",だが特筆すべきは、この家屋にある小窓だ。,"Стоило также упомянуть, что в флигеле было маленькое окошко.",,,
,,,,,,,,,,默认27,,,,只要踩着一些杂物垫脚，便可以从小窗往外看，正好能看到东城区的一条主干道。,只要踩著一些雜物墊腳，便可以從小窗往外看，正好能看到東城區的一條主幹道。,"By stepping on scattered debris for height, one could peer through the small window—just enough to glimpse a main thoroughfare in the East District.",雑物を足掛かりにして小窓から外を見ると、ちょうど東城区の大通りを眺めることができる。,"Если забраться вверх по хламу, то можно будет взглянуть через это окошко на главную улицу Восточного квартала.",,,
,,,,,,,,,,默认28,,,,我想，当初雁儿姐被关在方院时，她应该经常会借着这扇小窗，眺望墙外街道的景象。,我想，當初雁兒姐被關在方院時，她應該經常會藉著這扇小窗，眺望牆外街道的景象。,"I imagine when <ruby=Swan Goose>Sister Yan</ruby> was confined in Fang's Courtyard, she must have often used this little window to gaze at the streets beyond the walls.",雁姉が方院に閉じ込められていた時、きっと彼女はいつもこの小窓から壁の外の街道を見ていたことだろう。,"Наверное, когда сестричка Лебёдушка была тут взаперти, она часто наблюдала через него за происходящим на улице.",,,
,,方知宥,,,,,,,,默认29,,方知宥/13_方知宥_03,,[今夜你便在这屋子休息吧，屋内有干草，也有一床旧褥，可自行铺就一席床铺。］,[今夜你便在這屋子休息吧，屋內有乾草，也有一床舊褥，可自行鋪就一席床鋪。］,"""You'll rest in this chamber tonight. There's dry grass inside and an old mattress—you can make yourself a bed.""",「今夜はここで休むといい。中には干し草もあるし古い布団もある。好きに使ってくれて構わない」,"""Можешь переночевать тут. В углу есть сено и старая циновка, можешь сделать себе кровать.""",,,
,,林翩翩忆,惊讶,,,,,,,默认30,,林翩翩/13_林翩翩_003,,[我不必跟你一起睡吗？］,[我不必跟你一起睡嗎？］,"""Shouldn't I sleep with you?""",「一緒に寝なくていいの？」,"""Мне не нужно спать с тобой?""",,,
,,方知宥,,,,,,,,默认31,,方知宥/13_方知宥_04,,[不必。］,[不必。］,"""No need.""",「必要ない」,"""Не нужно.""",,,
,,,,,,,,,,默认32,,,,我摇了摇头，言毕便欲关上木门，仅留她一人在右屋内休息。,我搖了搖頭，言畢便欲關上木門，僅留她一人在右屋內休息。,"I shook my head and moved to shut the Wooden Door, leaving her alone to rest in the Right Chamber.",私は首を振ってそう言う。彼女一人を右の傍屋で休ませようと、扉を閉めようとした。,"Помахав головой, я пошёл закрывать дверь, чтобы оставить её здесь отдыхать.",,,
,,林翩翩忆,着急,,,,,,,默认33,,林翩翩/13_林翩翩_004,,[且慢！不要急着关门！],[且慢！不要急著關門！],"""Wait! Don't shut the door yet!""",「待って！閉めないで！」,"""Стой! Не закрывай дверь!""",,,
