#SHEET_NAME,忆-第十回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_10,chapter_bg_Y,chapter_title_Y10,Liang,265,,,,,,,,,,,
,*map_yi_10,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_10,,,,,,,,,,,,,,,
,SetChapterName,忆-第十回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,四艺堂小间,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Bgm,与雁同行,,,,0.2,3,,,,,,,,,,,
,AutoSave
,,,,,,,,,,默认1,,,,青铜香炉中飘出袅袅青烟，如纱如雾，在这小间中缓缓流转。,青銅香爐中飄出裊裊青煙，如紗如霧，在這小間中緩緩流轉。,"Tendrils of blue smoke rose from the bronze Incense Burner, gauzy as mist, drifting slowly through the small chamber.",青銅の香炉から、紫煙が薄絹のようにゆらゆらと小間の中に漂っている。,"Бронзовая курильница испускала ниточки зеленоватого дыма, медленно плывущие по маленькому помещению."
,,苏怜烟,通常,,,,1,,,,,,,
,,,,,,,,,,默认2,,,,烟影朦胧间，她端坐于我对面的桌案前，如玉的指尖轻搭案缘。,煙影朦朧間，她端坐於我對面的桌案前，如玉的指尖輕搭案緣。,"Amidst the hazy smoke, she sat poised across the table from me, her jade-like fingertips resting lightly on the edge.",煙がおぼろげに立ち込める中、彼女は向かいの卓の前で、玉のように透き通った指をそっと机の縁に乗せている。,"Посреди этих ниточек дымки, она сидела за столом напротив меня, положив пальцы, кончики которых напоминали яшму, на край стола."
,,,,,,,,,,默认3,,,,她抬眼望来，眸中荡漾着若有若无的笑意。,她抬眼望來，眸中盪漾著若有若無的笑意。,"She lifted her gaze, her eyes shimmering with a faint, elusive smile.",彼女が視線を上げると、その瞳には仄かな笑みが浮かんでいる。,"Она подняла на меня взгляд, в котором читалась слабая, едва различимая улыбка."
,,苏怜烟,说话,,,,,,,默认4,,苏怜烟/19_苏怜烟_06,,[好久不见，知宥。],[好久不見，知宥。],"""Long time no see, Zhiyou.""",「久しぶり、知宥」,"""Давно не виделись, Чжию."""
,,,,,,,,,,默认5,,,,她的一声轻语，宛若石子投入心湖，在我心中荡开层层涟漪。,她的一聲輕語，宛若石子投入心湖，在我心中蕩開層層漣漪。,"Her soft whisper was like a pebble dropped into the lake of my heart, sending ripples through my soul.",彼女の囁き。それは石を湖に投げ込んだかのように、私の心にさざ波を立てた。,"Её тихий шёпот был словно камень, брошенный прямо в озеро моего сердца, - от него по всей душе разошлись волны."
,,,,,,,,,,默认6,,,,八年光阴飞逝，我与她终得重逢。,八年光陰飛逝，我與她終得重逢。,"Eight years had flown by, and at last we were reunited.",八年という月日を越え……ようやく、ようやく彼女と再会した。,Прошло восемь лет - и мы снова встретились.
