#SHEET_NAME,Localize
Key,SC,TC,English,Japanese,Russian
ChacacterCountOnImport,文字计数={0},文字数={0},Character count = {0}.
Import,导入 {0},导入 {0},Import {0}
NotLinkedScenarioLabel,{0} is not linked scenario label.{1}
RedefinitionScenarioLabel,{0} is redefinition scenario label.{1}
NotFoundScnarioLabel,{0} is not found in all scenario labels.
NotSettingSheet,{0} is not setting sheet.
UnknownTag,{0} is unknown tag.
SoudType,Sound[{0}] is {1} type. But to uesed {2} type.
BgLayerIsNotDefined,Bg layer is not defined
ReadLayerSaveData,Read Layer save data error.
ElseIf,If-else-endif logic error.
Else,If-else-endif logic error.
Endif,If-else-endif logic error.
CommandParseNull,Command parse error.
NotScenarioLabel,{0} is not scnario label.
NotFoundTweenGameObject,Gameobject {0} is not found. By tween animation.
UpdateSceneLabel,"Scene {0} has not finished, but new scene {1} has started. Use EndSceneGallery before moving to another scenario."
EndSceneGallery,This Scenario is not set in SecneGallery. But EndSceneGallery is called.
StartGame,Start Game
Load,Load
Config,Config
Back,Back
Title,Title
ResetDefault,ResetDefault
MessageSpeed,MessageSpeed
AutoMessageSpeed,AutoMessageSpeed
WindowTransparent,WindowTransparent
SkipUnread,SkipUnread
SkipReleasedBySelection,SkipReleasedBySelection
SendMesssageByMouseWheel,SendMesssageByMouseWheel
FullScreen,FullScreen
SoundVolume,SoundVolume
All,All
Bgm,Bgm
Se,Se
Ambience,Ambience
Voice,Voice
ContinueUntilNext,ContinueUntilNext
StopOnClick,StopOnClick
CgGallery,CgGallery
SceneGallery,SceneGallery
SoundRoom,SoundRoom
Gallery,Gallery
NotFound,{0} is not found
UnknownType,{0} is unknown type
UnknownVersion,{0} is unknown version
ColorParse,Color:{0} is error
SpriteMimMap,Cant make sprite from mimmap texture.
UnknownFontData,unknown font data. [ {0} ]
StringGridRowPraseColumnName,Column {0} is null or empty.
StringGridRowPraseColumnIndex,Column  index of {0} is null or emptyr.
StringGridRowPrase,Column {0}: {1}. Parser Error.
