#SHEET_NAME,结局-寻闯
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_1,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_1,,,,,,,,,,,,,,,
,SetChapterName,结局-寻闯,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,泰州渡口夜,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风
,,良,,,,,0.5
,,方知宥,,,,,,,,默认1,,方知宥/32-1-1_方知宥_01,,[良叔，大概我们要在此分别了——我想往西去找闯王。],[良叔，大概我們要在此分別了——我想往西去找闖王。],"""Uncle Liang, it seems we must part ways here—I intend to head west to join Dashing King Li.""",「良さん、ここでお別れのようだ――私は西へ、<ruby=ちんおう>闖王</ruby>を探しに行く」,"""Дядюшка Лян, думаю, здесь нам стоит разделиться - я хочу отправиться на запад искать Короля, Идущего Напролом.""",
,,,,,,,,,,默认2,,,,泰州渡口前，江风猎猎，吹动着我和良叔的衣袍。,泰州渡口前，江風獵獵，吹動著我和良叔的衣袍。,"At the Taizhou ferry, the river wind howled, whipping through Uncle Liang's and my robes.",<ruby=たいしゅう>泰州</ruby>の渡し場。川風がびょうと吹き、私と良の服を翻した。,"У переправы в Тайчжоу завывал речной ветер, раздувая наши с дядюшкой Ляном одежды.",
,,,,,,,,,,默认3,,,,我向他说出了我的决定。,我向他說出了我的決定。,I told him of my decision.,彼に向かって、自分の決意を話す。,Я сообщил ему своё решение.,
,,良,张嘴愣住,,,,,,,默认4,,良/32-1-1_良_01,,[哦？去找闯王作甚？],[哦？去找闖王做什麼？],"""Oh? Why seek out Dashing King Li?""",「ほう？闖王を尋ねてどうするんだ？」,"""А? Зачем тебе его искать?""",
,,,,,,,,,,默认5,,,,良叔驻足，转身望向我，眼中带着疑惑。,良叔駐足，轉身望向我，眼中帶著疑惑。,"Uncle Liang stopped, turning to face me with questioning eyes.",良が足を止め、不思議そうに私を見た。,"Дядюшка Лян остановился и обернулся ко мне, его глаза были полны недоумения.",
,,方知宥,,,,,,,,默认6,,方知宥/32-1-1_方知宥_02,,[为了写书。],[為了寫書。],"""To write a book.""",「本を書くのさ」,"""Чтобы написать книгу.""",
,,,,,,,,,,默认7,,,,我扯了扯嘴角，露出一抹淡笑。,我扯了扯嘴角，露出一抹淡笑。,I curled the corner of my lips into a faint smile.,口の端を上げ、微かに微笑む。,Растянул я уголки рта в слабой улыбке.,
,,良,惊喜,,,,,,,默认8,,,,[……],[……],"""...""",「……」,"""...""",
,,方知宥,,,,,,,,默认9,,方知宥/32-1-1_方知宥_03,,[良叔，你听说过《三国演义》吗？],[良叔，你聽說過《三國演義》嗎？],"""Uncle Liang, have you heard of 'Romance of the Three Kingdoms'?""",「良さん、『三国志演義』は知ってるか？」,"""Дядюшка Лян, слышали ли Вы про роман 'Троецарствие'?""",
,,良,好奇,,,,,,,默认10,,良/32-1-1_良_02,,[当然，这本书我全书都读过。],[當然，這本書我全書都讀過。],"""Of course, I've read the entire work.""",「もちろんだ。全部読んだ」,"""Конечно, я эту книгу даже полностью читал.""",
