#SHEET_NAME,记-第十八回三
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_18_3,chapter_bg_J,chapter_title_J18_3,Liang,265,,,,,,,,,,,
,*map_ji_18_3,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_18_3,,,,,,,,,,,,,,,
,SetChapterName,记-第十八回三,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,青楼中庭破败夜,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,,方知宥,,,,,,,,默认1,,方知宥/34_方知宥_01,,[我还是留在城里吧。],[我還是留在城裡吧。],"""I'll stay in the city after all.""",「やはり、この町に残ることにするよ」,"""Я думаю, что лучше останусь в городе."""
,,,,,,,,,,默认2,,,,沉吟片刻后，我轻声笑了笑，对琼华说出了我的决定。,沉吟片刻後，我輕聲笑了笑，對瓊華說出了我的決定。,"After a moment of contemplation, I chuckled softly and revealed my decision to Qionghua.",少し考えた後、からりと笑い、瓊華にそう答えた。,"Немного подумав, я, усмехнувшись, озвучил своё решение Цюнхуа."
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认3,,,,我虽不敢自比史阁部那般高风亮节，却也绝非是趋炎附势、轻易屈从之人。,我雖不敢自比史閣部那般高風亮節，卻也絕非是趨炎附勢、輕易屈從之人。,"Though I dare not claim the same moral fortitude as Minister Shi, I am no sycophant who bends easily to power.",私は史閣部ほど高潔ではないと自負している。しかし長い物に巻かれ、易々と屈するほど落ちぶれてもいない。,"Я хоть и не силён духом, как тот же министр Ши, но всё же и не подхалим, который легко подчиняется любой власти."
,,,,,,,,,,默认4,,,,这数日之间，我目睹了太多暴虐，见证了太多生死……我实在无法在经历了这一切之后，还选择追随那些施暴之人。,這數日之間，我目睹了太多暴虐，見證了太多生死……我實在無法在經歷了這一切之後，還選擇追隨那些施暴之人。,"These past few days, I’ve seen too much cruelty, too much death... Having endured all this, I cannot bring myself to follow those who inflict such violence.",この数日間、私はあまりにも多くの暴虐を目にし、死を目の当たりにしてきた……このような経験をしてなお、この暴力の当事者についていくことはできない。,"За эти пару дней я насмотрелся на столько жестокости, увидел столько смертей..."
,,,,,,,,,,默认5,,,,即便琼华所属的王家，是东虏阵营中尚存良善之心的存在，但他们终究效忠于那位“金翅大鹏王”——这一点，我无法视而不见，也注定无法释怀。,即便瓊華所屬的王家，是東虜陣營中尚存良善之心的存在，但他們終究效忠於那位“金翅大鵬王”——這一點，我無法視而不見，也注定無法釋懷。,"Even if Qionghua’s royal family harbors some decency among the Eastern Barbarians, they still serve the ""Golden Eagle King""—a truth I cannot overlook or ever accept.",いくら瓊華が王家の者で、東虜の陣営でも良心ある存在だとしても、つまるところ「金翼鵬王」に忠誠を誓う者たちだ――その事実を見過ごすことも、許すこともできない。,"Даже если семья Ван, к которой принадлежит Цюнхуа, и ведёт себя порядочнее, чем остальные ""восточные лу"", они всё равно служат Великому Златокрылому Кондору - на этот факт я не могу закрыть глаза."
,,,,,,,,,,默认6,,,,当然，这些话，我不会对琼华明说。,當然，這些話，我不會對瓊華明說。,"Of course, I wouldn't say these things to Qionghua openly.",もちろん、瓊華に面と向かっては言わないが。,"Конечно, самой Цюнхуа ничего этого я вслух не сказал."
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,大琼华,自责,,,,,,,默认666,,,,[……],[……],[……],[……],...
,,,,,,,,,,默认7,,,,……,……,...,……,...
,,,,,,,,,,默认8,,,,琼华听完我的决定，她唇瓣微动，似乎想说什么，却终究没有开口。,瓊華聽完我的決定，她唇瓣微動，似乎想說什麼，卻終究沒有開口。,"After hearing my decision, Qionghua's lips quivered as if she wanted to speak, but in the end, she said nothing.",瓊華は私の決断を聞くと、何か言いたそうに唇をわずかに動かしたが、結局何も言うことはなかった。,"Когда Цюнхуа услышала моё решение, её губы дрогнули, словно она хотела что-то сказать, но в итоге она просто промолчала."
,,,,,,,,,,默认9,,,,她默默递给我一些银两和干粮，然后便转身随军离去了。,她默默遞給我一些銀兩和乾糧，然後便轉身隨軍離去了。,"Wordlessly, she handed me some silver taels and provisions, then turned to leave with the troops.",彼女は黙って金と食料を私に渡すと、くるりと身を翻し隊列と共に去っていった。,"Молча она дала мне несколько таэлей серебра и еды, а затем, развернувшись, отправилась вслед за войсками."
,,,,,,,,,,默认10,,,,……,……,...,……,...
,CharacterOff,,,,,,,,,,,,,
,Bgm,繁华落尽,,,,0.2,2,,,,,,,,,,,
,CharacterOff,,,,,,1.5,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,琼华离去1,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,ReInk,,Linear,,1.5,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认11,,,,王将军他们启程、离开泠音阁的那一刻——那些曾受他们庇护的百姓，纷纷聚在道路两旁相送。,王將軍他們啟程、離開泠音閣的那一刻——那些曾受他們庇護的百姓，紛紛聚在道路兩旁相送。,As General Wang and his soldiers set off from <ruby=泠音>Lingyin</ruby> Pavilion—the people they'd protected gathered along the roadside to bid them farewell.,王将軍たちが出発し、泠音閣を去っていくとき――これまで保護されていた民たちがぞろぞろと道の両側に並び、彼らを見送った。,"После того, как войска генерала Вана покинули ""Мелодичный павильон"", спасённые ими люди выстроились вдоль дороги, чтобы проводить их."
,,,,,,,,,,默认12,,,,有人踮脚远望，有人掩面低泣，有人伏地叩首，感激涕零。,有人踮腳遠望，有人掩面低泣，有人伏地叩首，感激涕零。,"Some stood on tiptoes for a last glimpse, some hid their faces and sobbed quietly, while others prostrated themselves, weeping with gratitude.",ある者はつま先立ちで眺め、ある者は顔を覆って泣き、ある者は叩頭して感激のあまり涙をこぼした。,"Кто-то стоял на носочках, желая увидеть их, другие, закрыв лица, плакали, а некоторые падали на колени и били земные поклоны в благодарности."
,,,,,,,,,,默认13,,,,更多的人，只是睁着湿润的双眼，静静地望着军队远去的方向，一言不发。,更多的人，只是睜著濕潤的雙眼，靜靜地望著軍隊遠去的方向，一言不發。,"But most simply stood with tear-filled eyes, silently watching the army's retreating figures without a word.",しかし多くの者は、ただ潤んだ目で、軍が遠のいていくのを黙って見送った。,"Многие просто смотрели широко раскрытыми влажными глазами, молча наблюдая, как войско исчезает вдали."
,CharacterOff,,,,,,1.5,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,琼华离去2,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,Ink2,,Linear,,1.5,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认14,,,,人们的手中都握着一朵花——那是扬州城里随处可见的琼花。,人們的手中都握著一朵花——那是揚州城裡隨處可見的瓊花。,In everyone's hands was a flower—the Qiong Flower that could be seen everywhere in the City of Yangzhou.,人々の手には一輪の花が握られている――揚州ならどこにでもある瓊花だ。,"Большинство провожающих держали в руках цветок - самый обычный для Янчжоу цветок калины, который растёт здесь на каждом шагу."
,,,,,,,,,,默认15,,,,一朵，两朵，三朵……,一朵，兩朵，三朵……,"One, two, three...",一輪、二輪、三輪……,"Один, два, три..."
,,,,,,,,,,默认16,,,,琼花连成一片，沿着长街一路蔓延，仿佛整条街都在这一刻化作了一条流动的花河。,瓊花連成一片，沿著長街一路蔓延，彷彿整條街都在這一刻化作了一條流動的花河。,"The Qiong Flowers merged into a continuous stretch, spreading along the long street as if the entire road had transformed into a flowing river of blossoms at that moment.",瓊花が連なり、街道に沿って続いていく。それはまるで、通りが一本の流れる花の川になったかのようだった。,"Один за другим цветки калины создавали белое море на длинной улице, нежно покачиваясь под порывами янчжоуского ветра."
,,,,,,,,,,默认17,,,,——春风十里扬州路，尽是琼花送琼华。,——春風十里揚州路，盡是瓊花送瓊華。,"—For ten miles along Yangzhou Road in spring breeze, nothing but Qiong Flowers bidding farewell to Qionghua.",――<ruby=春風十里 揚州の道>春風十里揚州路</ruby>、<ruby=尽く瓊花が瓊華を送る>尽是瓊花送瓊華</ruby>。,"Целых десять ли на янчжоуской дороге, продуваемой весенним ветром, были видны только цветки калины - прощальный подарок Цюнхуа."
,,,,,,,,,,默认18,,,,或许，这些活下来的扬州人，永远也不会知道，那所谓的“琼花夫人”，其实是叫“琼华夫人”。,或許，這些活下來的揚州人，永遠也不會知道，那所謂的“瓊花夫人”，其實是叫“瓊華夫人”。,"Perhaps these surviving citizens of Yangzhou would never know that the so-called ""Madam Qionghua"" was actually named ""Madam Qionghua"".",生き残った揚州の人は、「瓊花夫人」が「瓊華夫人」であることを永遠に知ることもないかもしれない。,"Люди, наверное, и не догадываются, что <ruby=琼花 (Цюнхуа)>""госпожу Калиновый Цветок""</ruby> на самом деле зовут <ruby=琼华 (Цюнхуа)>""госпожа Цюнхуа"".</ruby>"
,,,,,,,,,,默认19,,,,他们只是以一朵朵琼花，铭记她的救命之恩，并将这份感念，口耳相传，流传给后世子孙……,他們只是以一朵朵瓊花，銘記她的救命之恩，並將這份感念，口耳相傳，流傳給後世子孫……,"They simply used the Qiong Flowers to honor her life-saving grace, passing down this gratitude through word of mouth to future generations...",彼らは一輪の瓊花に命を救われた恩を刻み、その感謝の念を口づてで子や孫の世代へと語り継いでいくだけだろう……,"Местные, связав её милосердие с цветком калины, будут передавать эту историю из поколения в поколение."
,,,,,,,,,,默认20,,,,……,……,...,……,...
,CharacterOff,,,,,,1.5,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,琼华离去3,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,Ink2,,Linear,,1.5,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认21,,,,琼华他们离去后不久，昨日才草草设立的官府，便派人敲锣打鼓，穿街走巷，宣告“开仓放赈”的消息。,瓊華他們離去後不久，昨日才草草設立的官府，便派人敲鑼打鼓，穿街走巷，宣告“開倉放賑”的消息。,"Shortly after Qionghua and the others departed, the hastily established government office from the day before sent people beating gongs and drums through the streets, proclaiming the ""granary opening for famine relief"".",瓊華が去ってから間もなく、急ごしらえの官府の役人が銅鑼を打ち鳴らして街道を回り、「食料の配給」を伝えた。,"Вскоре после отъезда Цюньхуа и остальных поспешно созданная вчерашним днём местная власть послала глашатаев с барабанами по улицам и переулкам, чтобы объявить об ""открытии житницы для голодающих""."
,,,,,,,,,,默认22,,,,他们说，粮食都屯在“缺口关”，幸存的扬州城民都可以前去领取，一人能领到一小碗米。,他們說，糧食都屯在“缺口關”，倖存的揚州城民都可以前去領取，一人能領到一小碗米。,"They claimed the grain was stockpiled at ""Quekou Pass"", and any surviving residents of Yangzhou could collect a small bowl per person.",食料は全て「<ruby=けっこうかん>欠口関</ruby>」にあり、生き残った揚州の住民であれば誰でも一人につき一杯の米を受け取れるそうだ。,"Они кричали, что зерно хранится у проломанных ворот, и все выжившие могут получить по одной миске зерна на человека."
,,,,,,,,,,默认23,,,,消息刚传开时，几乎无人敢信。,消息剛傳開時，幾乎無人敢信。,"When the news first broke, scarcely anyone dared believe it.",知らせが広まったばかりの頃は、ほぼ誰もそれを信用しようとしなかった。,"Когда новость только разошлась, мало кто поверил в неё."
,,,,,,,,,,默认24,,,,官差敲着锣，大摇大摆地走在空旷的街上，却无人上前应答。,官差敲著鑼，大搖大擺地走在空曠的街上，卻無人上前應答。,"The officials swaggered down the deserted streets, clanging their gongs, yet no one came forward to acknowledge them.",役人が銅鑼を叩いてがらんとした街道をのんびりと歩いているものの、誰も反応しない。,"Чиновники ходили по пустым улицам и били в барабан, но никто не выходил им навстречу."
