#SHEET_NAME,忆-第五回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Yi_5,chapter_bg_Y,chapter_title_Y5,Liang,265,,,,,,,,,,,
,*map_yi_5,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_5,,,,,,,,,,,,,,,
,SetChapterName,忆-第五回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,城门前,,,,,,,,,,,,,,,
,FadeIn,black,,square,,,1,,,,,,,,,,,
,Bgm,青梅竹马,,,,0.2,3,,,,,,,,,,,
,AutoSave,,,,,,,,,,,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认1,,,,乡试、会试、殿试，此乃天下读书人毕生所求的龙门三跃。,鄉試、會試、殿試，此乃天下讀書人畢生所求的龍門三躍。,"The Provincial Exams, Metropolitan Exams, and Palace Exams—these three leaps through the Dragon Gate are the lifelong pursuit of all scholars under heaven.",郷試、会試、殿試。天下の読書人が生涯をかけて目指す科挙の三大登竜門である。,"Провинциальные экзамены, столичные экзамены, а затем экзамены при дворце - сии суть три вехи, преодолению коих надлежит посвятить свою жизнь учёному мужу, стремящемуся к славе."
,,,,,,,,,,默认2,,,,若欲搏个功名、得个官身，那便要先过乡试，跻身举人之列。,若欲搏個功名、得個官身，那便要先過鄉試，躋身舉人之列。,"To earn Scholarly Honor and secure an official post, one must first pass the Provincial Exams and join the ranks of Provincial Graduates.",功名を立て官職を得たければ、まずは郷試に受かり挙人の列に並ばなければならない。,"Ежели желаешь получить степень, достаточную для должности обычного чиновника - тогда нужно прежде всего сдать провинциальный экзамен, дабы удостоиться звания ""цзюйжэнь""."
,,,,,,,,,,默认3,,,,若嫌官小位卑，便须再接再厉，赴京赶考，参加会试、殿试。,若嫌官小位卑，便須再接再厲，赴京趕考，參加會試、殿試。,"For those who scorn petty titles and lowly stations, the path leads onward to the capital—to the Metropolitan and Palace Exams.",その官位で満足できなければさらに研鑽に励み、都へと赴き、会試すや殿試に挑むことになる。,"Ежели простая чиновничья должность тебе не по нраву, тогда нужно продолжать усилия - отправиться в столицу и пройти столичные экзамены, а также экзамены при дворце."
,,,,,,,,,,默认4,,,,殿试乃天子亲策于廷，得中者即为“进士”，天子门生。,殿試乃天子親策於廷，得中者即為“進士”，天子門生。,"The Palace Exams are personally administered by the Son of Heaven in court. Those who pass are granted the title of ""Jinshi"", the Emperor’s own disciples.",殿試は天子（皇帝）みずから朝廷で行う試験であり、合格した者は「進士」となり、天子の門下生となる。,"При дворце ты сдаёшь экзамены под началом самого Сына Неба, и в случае успеха удостаиваешься звания ""цзиньши"" и считаешься одним из его учеников."
,,,,,,,,,,默认5,,,,头甲第一者，便是那万众瞩目的“状元郎”。,頭甲第一者，便是那萬眾矚目的“狀元郎”。,"The foremost among the First Class is the ""Zhuangyuan"".",中でも第一位が、万人の注目を浴びる「状元」だ。,"Тот же, кто вырвется вперёд всех, награждается титулом ""чжуанъюань"", ""сильнейший муж"", стяжающим восхищение тысяч людей."
,,,,,,,,,,默认6,,,,大明开国近三百载，状元郎总数也不满百人。,大明開國近三百載，狀元郎總數也不滿百人。,"In the Great Ming’s nearly three centuries of rule, fewer than a hundred have achieved the rank of Zhuangyuan.",大明が始まり早や三百年となるが、状元は歴代の者も含め百人にも満たない。,"С самого основания Великой Мин, за все эти три столетия число тех, кому удалось заполучить подобный титул, не достигало и ста человек."
,,,,,,,,,,默认7,,,,成为状元，大约是天下读书人梦寐以求的巅峰。,成為狀元，大約是天下讀書人夢寐以求的巔峰。,To become a Zhuangyuan is the pinnacle of every scholar’s dream.,状元になることはすなわち、天下の読書人が夢見る頂点なのだ。,"Стать чжунъюанем - можно сказать, высшая точка мечтаний любого образованного человека в Поднебесной."
,,,,,,,,,,默认8,,,,而一般不敢奢望那么高，其实只要能成为进士，甚至成为举人，大概便能入朝为官，青史留名，从而光耀门楣。,而一般不敢奢望那麼高，其實只要能成為進士、甚至成為舉人，大概便能入朝為官，青史留名，從而光耀門楣。,"Most dare not aspire so high; in truth, becoming a Jinshi or even a Provincial Graduate would suffice to secure an official post, earn a place in history, and bring honor to one's family.",しかし普通はそんな高みなど目指さない。実のところ、進士……もとい、挙人にでもなれれば、だいたいは朝廷の官僚となり、歴史に名を残して一族の名誉と称えられるだろう。,"Но и тем, кто не метил настолько высоко, достаточно было стать цзиньши или хотя бы цзюйжэнем, чтобы получить официальную должность, оставить свой след в истории и принести славу своему роду."
,,,,,,,,,,默认9,,,,好了，以上种种宏图伟业——皆与我方知宥无关。,好了，以上種種宏圖偉業------皆與我方知宥無關。,"Enough—all these grand ambitions------have nothing to do with me, Fang Zhiyou.",さて、つらつらと壮大な計画と偉業を述べたが――この方知宥には何ら関係がない。,"Как бы то ни было, все вышеперечисленные грандиозные свершения - меня, Фан Чжию, не касаются."
,,,,,,,,,,默认11,,,,我只愿院试及第，得个“秀才”功名便足矣。,我只願院試及第，得個“秀才”功名便足矣。,"I only wish to pass the County Exam and attain ""Scholar"", the title of Scholar—that would be enough.",私は院試に合格し、「秀才」の称号を得られればそれで十分なのだ。,"Мне достаточно лишь сдать экзамен при местном учебном дворе, дабы получить самую низшую степень - ""сюцай""."
,,,,,,,,,,默认12,,,,功名利禄非所求，著书立说为吾志。,功名利祿非所求，著書立說為吾志。,Scholarly Honor and wealth hold no appeal; my ambition lies in writing enduring works.,功名利禄を求めず、著書を立て吾が志を語る。,"Меня не манят положение и достаток, книгописательство - вот моя стезя."
,,,,,,,,,,默认13,,,,入朝为官，封侯拜相？我无半分兴趣。,入朝為官，封侯拜相？我無半分興趣。,"To serve in court, earn titles and rank? I've not the slightest interest.",官僚となり朝廷に仕える？諸侯に封じられ宰相となる？微塵も興味はない。,"Идти в чиновники, удостаиваться высоких титулов, достигать министерского ранга? Мне это вообще не интересно."
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认15,,,,……,……,...,……,...
,,,,,,,,,,默认16,,,,今日不同寻常，乃是院试放榜之日。,今日不同尋常，乃是院試放榜之日。,Today was unusual—it was the day the County Exam results were posted.,今日は院試の合格発表がされる特別な日だ。,"Сегодня день особый - вывесили списки тех, кому удалось сдать местные экзамены."
,,,,,,,,,,默认17,,,,我名居第十二位，成了有资格参与“乡试”的“秀才”。,我名居第十二位，成了有資格參與“鄉試”的“秀才”。,"My name ranked twelfth, granting me eligibility to participate in ""Provincial Exams"" as a ""Scholar"".",私は十二番ということで、「郷試」を受ける資格を有する「秀才」となった。,"Моё имя было на двенадцатом месте - таким образом, я стал сюцаем и имел право участвовать в провинциальном экзамене."
,,,,,,,,,,默认18,,,,以十七之龄得此功名，虽算得上年少有为，但放眼大明朝的历史，也算不得什么惊世骇俗。,以十七之齡得此功名，雖算得上年少有為，但放眼大明朝的歷史，也算不得什麼驚世駭俗。,"Earning this Scholarly Honor at seventeen, while commendable for one's youth, hardly counts as earth-shattering in the annals of Ming Dynasty history.",齢十七にしてこの功名を得られたのは些か早咲きであるものの、明の歴史まで俯瞰すればそう驚くほどのことではない。,"В семнадцать лет получить такую степень - с одной стороны, вполне тянуло на ""подающего надежды юнца"", но, с другой стороны, в масштабах истории Великой Мин ничего особенно выдающегося здесь не было."
,,,,,,,,,,默认19,,,,毕竟，万历朝的首辅，江陵张太岳，十五岁便已高中举人。,畢竟，萬曆朝的首輔，江陵張太岳，十五歲便已高中舉人。,"After all, Zhang Juzheng, the Chief Grand Secretary of the Wanli era, passed the Provincial Exams at just fifteen.",なにせ、万歴朝の宰相である江陵の張居正は、なんと十五にして挙人になったのだ。,"Ведь советник императора Ваньли родом из Цзянлина, именем Чжан Тайюэ, уже в пятнадцать лет смог заполучить степень самого цзюйжэня."
,,,,,,,,,,默认20,,,,那些会考上进士的，大多都在我这个年纪中了秀才。,那些會考上進士的，大多都在我這個年紀中了秀才。,Most who later achieved the Jinshi degree had already earned their Scholar status by my age.,進士に合格する者の多くは、私と同じ年頃で秀才に合格している。,"Те, кто способен стать цзиньши, в мои годы по большей части уже достигали степени сюцая."
,,,,,,,,,,默认23,,,,自今往后，我不用再翻看那些无趣的四书五经了，大可将它们束之高阁。,自今往後，我不用再翻看那些無趣的四書五經了，大可將它們束之高閣。,"From now on, I need no longer pore over those tedious Four Books and Five Classics—I could consign them to the highest shelf.",これで二度とあの退屈な四書五経を読まなくて済む。,"С этих пор мне уже не нужно будет в очередной раз перечитывать опостылевшие ""Четверокнижие"" с ""Пятикнижием"" - можно будет убрать их на полку и больше оттуда не доставать."
,,,,,,,,,,默认24,,,,往后见了官老爷，我也不必下跪，可以免役免刑，也可蓄养奴婢了。,往後見了官老爺，我也不必下跪，可以免役免刑，也可蓄養奴婢了。,"From now on, I won’t need to kneel before magistrates. I’ll be exempt from conscription and punishment—even permitted to keep servants.",官僚と会ってもぺこぺこする必要もなく、役務や刑も免除される。奴婢をとることだって許される。,"Теперь при виде чиновных господ мне уже не нужно будет припадать перед ними на колени, я не буду подвержен трудовым повинностям, меня не смогут судить как обычного простолюдина, и мне будет дозволено иметь рабов."
,,王生少年,<Off>,,,,1,,,默认25,,王生/11_王生_01,,[啧啧啧，第十二名！方小弟真是了得！初次应试便一举及第……为兄虚长你三岁，此番已是二度赴考，才勉强上榜……真是人比人、气煞人！哈哈！］,[嘖嘖嘖，第十二名！方小弟真是了得！初次應試便一舉及第……為兄虛長你三歲，此番已是二度赴考，才勉強上榜……真是人比人、氣煞人！哈哈！］,"""Tsk tsk, twelfth place! Brother Fang is exceptional! Passing the imperial exams on your first attempt... I am three years older and barely scraped onto the list on my second try... How galling to compare! Haha!""",「かかか！十二番とはやるじゃないか、方！初めての試験でその順位か……俺はおまえより三つ年上だが、二度受けてなんとか合格なのに……まったく、おまえと比べると気が滅入ってくるよ。ははは！」,"""Тц-тц-тц, двенадцатое место! А ты неплох, братишка Фан! С первого же раза удалось сдать... Я хоть вроде как старше тебя на три года, в этот раз сдавал уже во второй, и то еле-еле попал в списки... Вот уж точно, всегда сыщется тот, кто тебя обгонит! Ха-ха!"""
,,,,,,,,,,默认26,,,,身后传来清朗笑语。,身後傳來清朗笑語。,Clear laughter echoed behind me.,背後から爽やかな笑い声が聞こえた。,Раздался звонкий смех за моей спиной.
,,,,,,,,,,默认27,,,,我微笑着回头，见到一白衣青年信步走来。,我微笑著回頭，見到一白衣青年信步走來。,I turned with a smile to see a white-robed youth strolling toward me.,ふっと笑いながら振り返ると、白衣の青年がこちらに歩いてくるところだった。,"С улыбкой обернувшись, я увидел неторопливо подходившего молодого человека в белой одежде."
,,王生少年,微笑,,,,,,,,,,,,,,,
,,,,,,,,,,默认28,,,,他穿着一身素白儒衫，发髻一丝不苟，手中一柄素面折扇轻摇，端的是风度翩翩。他是住在我家附近的王生，我们都住在东城区。,他穿著一身素白儒衫，髮髻一絲不苟，手中一柄素麵摺扇輕搖，端的是風度翩翩。他是住在我家附近的王生，我們都住在東城區。,"Clad in pristine scholar’s robes, his hair perfectly coiled, he fanned himself with an unadorned folding fan—the epitome of grace. This was Scholar Wang, my neighbor in the East District.",真っ白な儒服に身を包み、髪をきっちりと結い上げている。無地の扇子を軽く揺らし、実に風流な風貌だ。彼は私の家の近くに住む王という青年で、私と同じく東城区に住んでいる。,"Одетый в белоснежный конфуцианский наряд, с безупречно уложенной причёской, в руке он держал простой складной веер и элегантно им обмахивался. Это был учёный Ван, живший со мной по соседству в Восточном квартале."
,,,,,,,,,,默认29,,,,王生与我同出一塾，我们在县试的时候相识。,王生與我同出一塾，我們在縣試的時候相識。,Scholar Wang and I attended the same academy; we met during the County Exams.,王書生と私は同じ塾で学び、県試の際に知り合った。,"Мы с учёным Ваном были однокашниками, и познакомились как раз, когда сдавали местные экзамены."
,,,,,,,,,,默认30,,,,我素来朋友寥寥，与他虽不算深交，但勉强能称得上是朋友。,我素來朋友寥寥，與他雖不算深交，但勉強能稱得上是朋友。,"I've never had many friends. Though we weren't close, I suppose you could call us acquaintances.",友人の少ない私にとって、そこまで親密ではないものの、彼は友人と呼べる数少ない関係だった。,"У меня отродясь друзей было мало, и нас с ним хоть и нельзя было назвать лучшими друзьями, но всё же дружба между нами была."
,,方知宥,,,,,,,,默认31,,方知宥/11_方知宥_01,,[王兄过谦了，小弟不过侥幸超常发挥，全赖运气罢了。],[王兄過謙了，小弟不過僥倖超常發揮，全賴運氣罷了。],"""You flatter me, Brother Wang. I merely overperformed by luck—nothing more.""",「謙遜を。私などこの上なく運が良かっただけだ」,"""Ты скромничаешь, братец Ван - мне в этот раз просто повезло, удача склонилась в мою пользу, не более."""
,,,,,,,,,,默认32,,,,我拱了拱手说道。,我拱了拱手說道。,I clasped my hands and replied.,いやいやと手を振りながら私はそう言う。,"Сказал я, складывая руки в приветствии."
,,王生少年,坏笑,,,,,,,默认33,,王生/11_王生_02,,[哈哈，你才是过谦！接下来打算何时去考乡试？],[哈哈，你才是過謙！接下來打算何時去考鄉試？],"""Hah! You're the modest one! When do you plan to take the Provincial Exams?""",「ははは、それこそ謙虚が過ぎるというものだ！郷試はいつ受けるつもりだ？」,"""Ха-ха, да это ты скромничаешь! Когда теперь отправишься на провинциальные экзамены?"""
,,方知宥,,,,,,,,默认34,,方知宥/11_方知宥_02,,[我……不打算考了。],[我……不打算考了。],"""I... I won’t be taking them.""",「郷試は……受けないつもりだ」,"""Да... я не буду их сдавать."""
,,王生少年,震惊,,,,,,,默认35,,王生/11_王生_03,,[啊？怎就不考了？],[啊？怎就不考了？],"""What? Why not?""",「む？なぜだ？」,"""А? Как это не будешь?"""
