#SHEET_NAME,记-第十四回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,ChapterAnimation,BG_Ji_14,chapter_bg_J,chapter_title_J14,Liang,265,,,,,,,,,,,
,*map_ji_14,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_ji_14,,,,,,,,,,,,,,,
,SetChapterName,记-第十四回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,地窖夜,,,,,,,,,,,,,,,
,Ambience,室内沙沙,,,,,,,,,,,,,,,
,AutoSave
,Bgm,雨井烟垣,,,,3,3
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认1,,,,我竟想不起翠儿的模样了。,我竟想不起翠兒的模樣了。,I actually couldn't remember what Cui'er looked like anymore.,翠児の顔も思い出せないとは。,"Я почему-то был не в состоянии вспомнить, как выглядела Цуй'эр."
,,,,,,,,,,默认2,,,,这份“记忆”中的空缺带来了某种违和感。,這份“記憶”中的空缺帶來了某種違和感。,"This gap in ""memory"" created a strange sense of dissonance.",「記憶」の空白のせいで、違和感を感じていた。,"Этот пробел в ""воспоминаниях"" вызывал какое-то чувство неправильности."
,,,,,,,,,,默认3,,,,这违和感如退潮般将方才浮现的种种画面悉数卷走，只留下一片漆黑。,這違和感如退潮般將方才浮現的種種畫面悉數捲走，只留下一片漆黑。,"The dissonance swept away all the images that had just surfaced like a receding tide, leaving only darkness.",その違和感が、潮が引くようにこれまで現れていた景色を巻き取っていき、漆黒だけが残った。,"И чувство это, подобно волнам отлива, смыло все возникшие передо мной образы, оставив лишь черноту."
,,,,,,,,,,默认4,,,,黑暗中，我听见两人对话的声音。,黑暗中，我聽見兩人對話的聲音。,"In the darkness, I heard two voices conversing.",暗闇の中で、二人が話しているのが聞こえる。,В этой тьме я услышал разговор двух людей.
,,红儿,惊讶,,,,,,,默认5,,红儿/25_红儿_01,,[良爷，方兄怎么不说话了？],[良爺，方兄怎麼不說話了？],"""Master Liang, why has Brother Fang gone silent?""",「良様、方兄さんが何も言わなくなっちゃった」,"""Господин Лян, а чаго братик Фан молчит?"""
,,良清兵,无奈,,,,,,,默认6,,良/25_良_01,,[没事，一会儿就好了。],[沒事，一會就好了。],"""It's nothing, he'll be fine in a moment.""",「大丈夫だ、すぐに元に戻る」,"""Всё в порядке, скоро это пройдёт."""
,,红儿,惊讶,,,,,,,默认7,,红儿/25_红儿_02,,[真的没事吗？怎么看都像当年那个弥勒佛附体似的……],[真的沒事嗎？怎麼看都像當年那個彌勒佛附體似的……],"""Are you sure he's all right? No matter how you look at it, it's like that Maitreya possession from back then...""",「ほんとに大丈夫？どう見ても弥勒菩薩が取り憑いたあの時みたいだけど……」,"""Правда усё у порадке? Он выглядит, словно у яго вселился тот Будда Майтрея..."""
