#SHEET_NAME,忆-第八回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_8,chapter_bg_Y,chapter_title_Y8,Liang,265,,,,,,,,,,,
,*map_yi_8,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_8,,,,,,,,,,,,,,,
,SetChapterName,忆-第八回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,王生茶馆5,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Bgm,曳曳夜灯,,,,0.2,3,,,,,,,,,,,
,AutoSave
,,王生少年,,,,,,,,默认1,,王生/17_王生_01,,[什么！？知宥，我没听错吧？],[什麼！？知宥，我沒聽錯吧？],"""What!? Zhiyou, did I hear that right?""",「は！？<ruby=ちゆう>知宥</ruby>、俺の聞き間違いじゃないよな？」,"""Чего?! Чжию, я это не ослышался?""",
,,方知宥,,,,,,,,默认2,,方知宥/17_方知宥_01,,[我想去青楼逛逛，要成为青楼高手。],[我想去青樓逛逛，要成為青樓高手。],"""I want to visit a pleasure house and become an expert in the scene.""",「青楼を巡って、青楼遊びの達人になりたい」,"""Я хочу пройтись по 'зелёным теремам', стать тем, кто разбирается в них.""",
,,,,,,,,,,默认3,,,,在东城区一家清净的茶馆里，我与王生对坐。窗外日影西斜，茶烟袅袅，我向他道出了心中思量许久的念头。,在東城區一家清淨的茶館裡，我與王生對坐。窗外日影西斜，茶煙裊裊，我向他道出了心中思量許久的念頭。,"In a quiet teahouse in the East District, I sat across from Scholar Wang. As the sun cast its slanting rays outside the window and the tea steam curled upward, I voiced the thought that had been weighing on my mind for some time.",東城区の静かな茶館にて。私と王は向かい合って座っていた。窓の外から夕陽が射し込み、茶から湯気が立ち上っている。私は考え抜いた末の思いを彼に打ち明けた。,"Мы с учёным Ваном сидели друг напротив друга в одной тихой чайной Восточного квартала. Солнце за окном клонилось к закату, аромат чая струился в воздухе. Тут я ему как раз и высказал мысль, что всё это время не давала мне покоя.",
,BgEvent,王生茶馆1,,,,,,,,,,,,
,,王生少年,,,,,,,,默认4,,王生/17_王生_02,,[这……知宥啊！你怎么突然生出这等想法？是嫌柳巷脏了，还是嫌勾栏俗了？],[這……知宥啊！你怎突然生出這等想法？是嫌柳巷髒了，還是嫌勾欄俗了？],"""This... Zhiyou! How could you suddenly have such an idea? Do you find Willow Lane too filthy or the brothel too vulgar?""",「おいおい……知宥！変な物でも食ったのか？柳巷が汚いからか？それとも勾欄では俗っぽすぎるからか？」,"""Э... Чжию! Откуда у тебя возникла такая идея? Тебе что, 'Ивовый переулок' слишком грязным показался, или 'изогнутая балюстрада' слишком низкопробной?""",
,,王生少年,,,,,,,,默认5,,王生/17_王生_03,,[唉，你可得想明白，青楼可不是甚么好去处，沉溺其中，荒废学业、耽误前程啊！],[唉，你可得想明白，青樓可不是什麼好去處，沉溺其中、荒廢學業、耽誤前程啊！],"""Ah, you must think carefully—pleasure houses are no place for good. Indulging in them will ruin your studies and waste your future!""",「はぁ……よく考えろ。青楼なんてそんなにいい所じゃないぞ。のめり込んで学業は疎かになって、将来をふいにすることになるんだぞ！」,"""Эх, ты должен понимать, что 'зелёные терема' - это не самые подходящие места. Погрязнешь во всём этом, забросишь учёбу - и карьеру себе загубишь!""",
